Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,03/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,FINEGREEN ASSOCIATES,3000044123,29055.6,Payment for interim IT specialists,M12 6JH,SME,Programme
Cabinet Office,Government Procurement Service,03/02/2014,Whitehall heating systems management,Whitehall District Heating Systems,Cofely,PINVP2P 2439,54337.9,Whitehall heating systems management,HP12 3TA,Large,Programme 
Cabinet Office,CABINET OFFICE,04/02/2014,OTHER IS IT COSTS VAT RECOV,PMO ICTS,VODAFONE LTD,3000044178,30782.89,Telephony charges,MK3 5JP,Large,Admin
Cabinet Office,CABINET OFFICE,04/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000044197,55329.06,"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,04/02/2014,INSIGNIA COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000044166,67422,Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme
Cabinet Office,CABINET OFFICE,04/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000044196,144750.84,"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,05/02/2014,SUB-CONTRACTED TRAINING COURSE,ERTP ERO DELIVERY,TRAINING SYNERGY LTD,3000044214,37453,Delivery of training courses for Electoral Administrators as part of the transition to Individual Electoral Registration,DL19HN,SME,Programme
Cabinet Office,CABINET OFFICE,05/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000044227,60987.59,"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,05/02/2014,RESOURCE GRANTS PRIVATE SECTOR,CHARITABLE GIVING,CITIZENSHIP FOUNDATION,3000044232,75000,Go Givers and Giving Nation Projects Grant,EC1Y 8RT,SME,Grants
Cabinet Office,CABINET OFFICE,05/02/2014,BRIDGES SOCIAL ENTREPRENEURS FUND ADDITIONS,SE EQUITY FUND,BRIDGES VENTURES LTD,3000044201,79858.68,Risk capital fund for social enterprise,W2 3EN,Large,Programme
Cabinet Office,CABINET OFFICE,05/02/2014,ADDITIONS -AUC IT FEES NON VAT REC,ERTP ERO DIGITAL,SPECIALIST COMPUTER CENTRE PLC,3000044205,81608.59,Delivering the Digital capability that supports the business change from household to individual electoral registration through government framework ,B112LE,Large,Programme
Cabinet Office,CABINET OFFICE,05/02/2014,RESOURCE GRANTS PRIVATE SECTOR,CHARITABLE GIVING,INSTITUTE OF FUNDRAISING,3000044204,100000,Subsidised training opportunities for small charities.,SW8 1UD,SME,Grants
Cabinet Office,CABINET OFFICE,05/02/2014,RESOURCE GRANTS PRIVATE SECTOR,ADULT VOLUNTEERING,RED TRUST,3000044215,130000,"Support for transferring the Do-it service from YouthNet to Red Trust, and ongoing cost of Do-it volunteering platform",SE17NQ,Large,Grants
Cabinet Office,CABINET OFFICE,05/02/2014,RESOURCE GRANTS PRIVATE SECTOR,TSS STRATEGIC FUNDING,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,3000044234,166667,National Council for Voluntary Organisations strategic grant ,N1 9RL,Large,Grants
Cabinet Office,CABINET OFFICE,05/02/2014,SOFTWARE LEASE/LICENSE,ERTP ERO DIGITAL,IDOX SOFTWARE LTD,1000923,300000,Design and development work required for the delivery of changes to local authority Electoral Management Systems required to interface with the new Individual Electoral Digital Service ,G2 7JZ,SME,Programme
Cabinet Office,CABINET OFFICE,07/02/2014,ADDITIONSAUC F/H NON RES BLDGS,70 WHITEHALL,BOUYGUES E&S FM UK LTD,3000044294,48000,Facilities Management Services ,BN1 1HG,Large,Programme
Cabinet Office,CABINET OFFICE,07/02/2014,ADDITIONSAUC F/H RES CONSULTANCY (FEES) VAT REC,70 WHITEHALL,BOUYGUES ENERGIES & SERVICES FM UK LTD,3000044288,50045.76,Facilities Management Services,BN11HG,Large,Programme
Cabinet Office,CABINET OFFICE,07/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000044297,79132.14,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,07/02/2014,OTHER IS IT COSTS VAT RECOV,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000044282,83014.25, DWP data migration costs,SK30XN,Large,Admin
Cabinet Office,CABINET OFFICE,10/02/2014,CONSULTANTS VAT RECOVERABLE,PUBLIC SERVICES NETWORK,CESG,3000044325,37500,Support for Public Service Network Technical Workstreams.,DL19HN,Government Department,Programme
Cabinet Office,CABINET OFFICE,10/02/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,MOUCHEL MANAGEMENT CONSULTANTS LTD,3000044315,88084.93,Support under the Mutuals Support Programme for developing mutuals,OL19LH,SME,Programme
Cabinet Office,CABINET OFFICE,10/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,ADVALUS LTD,3000044326,157380,"Project and Programme Management, business analysis and business case review and development.",SN130RP,SME,Programme
Cabinet Office,CABINET OFFICE,10/02/2014,STAFF RELATED COSTS,SME CONTRACT MANAGMENT LEAD,HM REVENUES & CUSTOMS,3000397,180388,Payment of tax on Civil Service Pension Scheme,W55DJ,Government Department,Admin
Cabinet Office,CABINET OFFICE,10/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000044317,257452.67,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,11/02/2014,FM CONTRACT PROFITS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000044355,25205.64,Facilities Management Services,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,11/02/2014,ADDITIONS IT HARDWARE,GDS BUSINESS TECHNOLOGY,SPECIALIST COMPUTER CENTRES PLC,3000044357,26907.87,GOV.UK software development,WA37PS,Large,Programme
Cabinet Office,Government Procurement Service,11/02/2014,"FM Contracting Model, technical expertise",Property,ATKINS LTD,PINDOH 37917,27200,Facilities Management Services,KT19 8DX,Large,Admin
Cabinet Office,CABINET OFFICE,11/02/2014,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,CITY UNIVERSITY LONDON,3000044368,33333,Grant payment to support the AmberHill Programme,EC1V0HB,Large,Programme
Cabinet Office,CABINET OFFICE,11/02/2014,FM CONTRACT FIXED COSTS,ADMIRALTY ARCH,BOUYGUES E&S FM UK LTD,3000044355,42255.94,Facilities Management Services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,11/02/2014,FM CONTRACT LIFECYCLE,TOTAL FM CONTRACT,BOUYGUES ENERGIES & SERVICES FM UK LTD,3000044349,127500,Facilities Management Services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,11/02/2014,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000044355,535526.84,Facilities Management Services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,12/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000044396,25274.88,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,12/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DATA GOV UK,CAPITA RESOURCING LTD,3000044444,27905.33,DATA.GOV.UK web improvement ,DL19HN,Large,Admin
Cabinet Office,CABINET OFFICE,12/02/2014,Research and Development (VAT recoverable),ERG MAJOR PROJECTS LEADERSHIP ACADEMY,OXFORD SAID BUSINESS SCHOOL LTD,3000044461,28755.33,"Departmental Workshop at the Government’s Major Projects Leadership Academy, a dedicated training programme transforming project leadership capability across Whitehall",OX15NY,SME,Admin
Cabinet Office,CABINET OFFICE,12/02/2014,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,"MEDIA PLANNING, BUYING AND EVALUATION",EBIQUITY ASSOCIATES LTD,3000044472,29845,Media Audit Services,W1F7QH,SME,Admin
Cabinet Office,CABINET OFFICE,12/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000044387,31002.25,"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,12/02/2014,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,TREASURY SOLICITOR TSOL,3000044448,34118.88,Legal services,E145LB,Government Department,Admin
Cabinet Office,CABINET OFFICE,12/02/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,PA CONSULTING SERVICES LTD,3000044424,34200,Support under the Mutuals Support Programme to deliver the Mutuals Information Service ,SG8 6DP,SME,Programme
Cabinet Office,CABINET OFFICE,12/02/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000044388,38676,"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",DL19HN,Large,Programme
