Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,29/01/2016,"5,351,042","1,299,083",RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/01/2016,"5,351,023","211,088.80",PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/01/2016,"5,351,009","-316,234.60",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges
FCO,FCO,29/01/2016,"5,350,961","63,380.15",LEITHS,Inward visits to the UK and UK Conferences
FCO,FCO,29/01/2016,"5,350,840","85,319",NON VIOLENT PEACE FORCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2016,"5,350,247","40,961.64",HURIDOCS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2016,"5,350,243","900,000",NORDIC INTERNATIONAL SUPPORT FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2016,"5,350,142","25,281.47",INTERNATIONAL TRADE CENTRE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2016,"5,350,141","47,083.88",IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2016,"5,350,131","111,090.80",INTERPEACE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2016,"5,350,001","47,678.82",NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2016,"5,349,966","54,261.52",ZENITH COUNCIL DEUTSCHER LEVANTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2016,"5,349,946","235,148.40",INTERNATIONAL RELIEF AND DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2016,"5,349,888","28,952.13",ISS FACILITY SERVICES LTD FCO OP - POE,Telephone Call Charges
FCO,FCO,28/01/2016,"5,349,886","65,217.74",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,28/01/2016,"5,349,885","49,435.26",ISS FACILITY SERVICES LTD FCO OP - POE,Electricity Non-Residential
FCO,FCO,28/01/2016,"5,349,883","77,370.51",ISS FACILITY SERVICES LTD FCO OP - POE,Telephone Call Charges
FCO,FCO,28/01/2016,"5,349,882","25,437.17",ISS FACILITY SERVICES LTD FCO OP - POE,Rates Taxes Residential
FCO,FCO,28/01/2016,"5,349,880","34,670.18",ISS FACILITY SERVICES LTD FCO OP - POE,Electricity Non-Residential
FCO,FCO,28/01/2016,"5,349,879","42,389.63",ISS FACILITY SERVICES LTD FCO OP - POE,Gas Residential
FCO,FCO,28/01/2016,"5,349,878","64,324.97",ISS FACILITY SERVICES LTD FCO OP - POE,Electricity Residential
FCO,FCO,28/01/2016,"5,349,875","175,460.70",ISS FACILITY SERVICES LTD FCO OP - POE,Water Residential
FCO,FCO,28/01/2016,"5,349,874","75,193.47",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,28/01/2016,"5,349,872","190,803.10",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,28/01/2016,"5,349,871","25,681.90",ISS FACILITY SERVICES LTD FCO OP - POE,Electricity Residential
FCO,FCO,28/01/2016,"5,349,870","32,177.24",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
