Posted date,Internal voucher No.,  Invoice Line amount Net GBP  ,Supplier Name,Account Code Description
14/07/2016,7107818,"13,150,000.00",BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
05/07/2016,7041669,"5,911,692.41",HMRC HM REVENUE AND CUSTOMS,Multiple Accounts
05/07/2016,7041758,"4,587,425.25",CABINET OFFICE,Multiple Accounts
07/07/2016,7053003,"3,781,683.00",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
26/07/2016,7211509,"3,076,956.56",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges
26/07/2016,7224426,"2,863,323.00",BBC  BRITISH BROADCASTING CORPORATION,Programme Spend (Oracle Projects Control Account)
01/07/2016,7107732,"2,158,877.48",THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account
19/07/2016,7144497,"1,773,503.92",THE ROYAL BANK OF SCOTLAND,Multiple Accounts
19/07/2016,7143900,"1,741,584.44",G4S RISK MANAGEMENT LTD,UK Guarding Contracts Overseas
05/07/2016,7035544,"1,505,004.00",FCO SERVICES,Specialist Contractors
08/07/2016,7056699,"1,410,000.00",ISS FACILITY SERVICES LTD FCO OP - POE,FMCU POE Trust Account Debtor
01/07/2016,7107704,"1,325,240.55",THE ROYAL BANK OF SCOTLAND,Travel Package Advance Overseas Posting (Credit Card Payments Only)
12/07/2016,7081391,"1,206,357.35",SIREN ASSOCIATES LTD,Programme Spend (Oracle Projects Control Account)
26/07/2016,7217463,"1,083,830.49",EUROPEAN BANKING AUTHORITY,Protocol - General VAT Refunds to Other Organisations
29/07/2016,7264489,"1,075,519.84",EUROPEAN MEDICINES AGENCY,Protocol - General VAT Refunds to Other Organisations
05/07/2016,7032536,"973,911.31",GARDA WORLD LTD,UK Mobile Guarding Contract overseas
25/07/2016,7194464,"847,863.80",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts
21/07/2016,7173463,"800,000.00",THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
11/07/2016,7069525,"797,546.07",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges
04/07/2016,7022763,"790,922.43",SHELL NIG CLOSED PENSION FUND ADMIN,Rental Payments - residential
08/07/2016,7057574,"742,975.50",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
14/07/2016,7107667,"721,428.00",COMPUTACENTER UK LTD,IT/IS Consultancy
12/07/2016,7081395,"700,000.00",UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
18/07/2016,7135463,"608,907.45",POPEYES NIGERIA LTD,Rental Payments - residential
21/07/2016,7171610,"600,000.00",UN DEVELOPMENT PROGRAMME,Programme Spend (Oracle Projects Control Account)
20/07/2016,7165476,"564,926.85",SECUREX AGENCIES LTD,Multiple Accounts
14/07/2016,7110492,"562,724.82",ARTEOS GMBH,Multiple Accounts
08/07/2016,7057700,"555,921.36",TORCHLIGHT SOLUTIONS LTD,Programme Spend (Oracle Projects Control Account)
11/07/2016,7068812,"481,290.81",MICROSOFT LIMITED,IT/IS Consultancy
07/07/2016,7053633,"460,470.03",VODAFONE LTD CABLE AND WIRELESS UK,IT/IS Consultancy
25/07/2016,7197468,"450,626.25",THE ROYAL BANK OF SCOTLAND,Multiple Accounts
29/07/2016,7263459,"432,212.00",CITY OF WESTMINSTER,Rates Taxes Non-Residential
07/07/2016,7053923,"429,288.92",INCOSTRAT,Programme Spend (Oracle Projects Control Account)
22/07/2016,7187424,"401,479.34",STABILISATION NETWORK,Programme Spend (Oracle Projects Control Account)
19/07/2016,7143915,"397,541.90",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
11/07/2016,7069895,"351,700.00",FCO SERVICES,Security: Works Non-Residential
22/07/2016,7180440,"344,993.00",CROWN AGENTS,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
18/07/2016,7124745,"344,083.31",THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
18/07/2016,7126441,"343,819.18",H M EXCHEQUER,CFER Payments to The Exchequer (CSC Use Only)
29/07/2016,7264486,"332,658.10",FCO SERVICES,Residential Property Services
07/07/2016,7053515,"314,044.97",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges
20/07/2016,7156546,"307,178.75",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
04/07/2016,7022804,"304,120.75",COMMISSION FOR JUSTICE AND ACCOUNTABILITY,Programme Spend (Oracle Projects Control Account)
08/07/2016,7057482,"302,153.88",INSTITUTE FOR SECURITY STUDIES ISS,Programme Spend (Oracle Projects Control Account)
08/07/2016,7057605,"279,720.00",FCO SERVICES,Security: Works Non-Residential
27/07/2016,7229836,"278,510.45",PLAZA TOWER LLC,Multiple Accounts
21/07/2016,7173455,"265,750.00",THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
27/07/2016,7229688,"262,423.75",845 THIRD LP,Multiple Accounts
22/07/2016,7186536,"260,576.57",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
22/07/2016,7182485,"260,000.00",UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
28/07/2016,7247477,"256,295.38",GIZ UKRAINE,Programme Spend (Oracle Projects Control Account)
20/07/2016,7151936,"252,902.65",AFGHAN CONNECTION,Programme Spend (Oracle Projects Control Account)
19/07/2016,7143888,"250,000.00",UN DEVELOPMENT PROGRAMME,Programme Spend (Oracle Projects Control Account)
12/07/2016,7081620,"249,077.12",MORSON HUMAN RESOURCES LTD,Residential Property Services
22/07/2016,7186534,"249,016.60",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
18/07/2016,7124601,"240,000.00",UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
18/07/2016,7126438,"239,073.69",H M EXCHEQUER,CFER Payments to The Exchequer (CSC Use Only)
20/07/2016,7159460,"237,847.19",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
29/07/2016,7264443,"235,000.00",UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
14/07/2016,7111438,"232,173.00",STABILIZATION SUPPORT SERVICES,Programme Spend (Oracle Projects Control Account)
05/07/2016,7035448,"225,312.00",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
21/07/2016,7171743,"220,407.83",THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Sponsorship (Income and Expenditure)
22/07/2016,7186538,"220,375.99",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
05/07/2016,7035538,"219,738.45",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
05/07/2016,7031433,"215,957.00",AEGIS DEFENCE SERVICES LTD,Multiple Accounts
14/07/2016,7107805,"210,789.14",LONDON ENERGY,Electricity Non-Residential
19/07/2016,7143963,"209,034.00",BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
27/07/2016,7236435,"208,194.35",URSSAF,Multiple Accounts
29/07/2016,7265571,"207,462.31",KJAER AND KJAER AS,Assets Under Construction (Oracle PA Control Account)
22/07/2016,7186525,"200,850.60",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
22/07/2016,7180434,"200,000.00",UNICEF,Programme Spend (Oracle Projects Control Account)
14/07/2016,7108455,"192,569.83",SERVEST MULTI SERVICE GROUP,Manned Guarding Services
22/07/2016,7185438,"192,483.56",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
08/07/2016,7057608,"191,700.00",FCO SERVICES,Security: Works Non-Residential
13/07/2016,7093431,"190,253.47",KELLOGG BROWN & ROOT LTD,Estates Management Services
07/07/2016,7053921,"187,943.73",DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
05/07/2016,7035425,"186,151.00",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts
21/07/2016,7171600,"186,150.00",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts
11/07/2016,7069753,"185,670.80",KPMG FIDUCIAIRE,Multiple Accounts
22/07/2016,7186539,"183,162.09",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
05/07/2016,7032526,"180,387.99",CAPGEMINI UK PLC,IT/IS Consultancy
04/07/2016,7023075,"179,859.39",ARK GROUP DMCC,Programme Spend (Oracle Projects Control Account)
27/07/2016,7227445,"179,240.63",PAKISTAN PEACE COLLECTIVE,Programme Spend (Oracle Projects Control Account)
18/07/2016,7126434,"178,048.90",PA CONSULTING GROUP,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
22/07/2016,7179506,"176,237.04",GNE LE STAFF PAY,Multiple Accounts
15/07/2016,7115679,"173,438.40",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
27/07/2016,7229569,"167,731.03",DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account)
05/07/2016,7035452,"166,872.31",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
29/07/2016,7264506,"164,741.34",INTERNATIONAL ALERT,Programme Spend (Oracle Projects Control Account)
11/07/2016,7067456,"162,368.37",HOTELLINE FOR TOURISTIC INVESTMENT LTD,Rental Payments - residential
18/07/2016,7124587,"159,209.91",AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
11/07/2016,7068504,"158,801.58",HOTELLINE FOR TOURISTIC INVESTMENT LTD,Multiple Accounts
19/07/2016,7143555,"158,438.74",INTERSERVE FM LTD,Construction Project more than £10k
05/07/2016,7030704,"157,673.30",DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account)
21/07/2016,7171449,"157,276.76",SEGURIDAD SOCIAL,Multiple Accounts
25/07/2016,7194428,"154,843.00",UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
18/07/2016,7124853,"154,643.16",BRITISH HIGH COMMISSIONS,Interbank Transfers/Withdrawals
13/07/2016,7093478,"152,013.32",OVERSEAS SUPPLY SERVICES LTD,Estates Management Services
