Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
28/06/2016,6993485,16614321.1,COUNCIL OF EUROPE,Programme Spend (Oracle Projects Control Account)
10/06/2016,6848506,13150000,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
14/06/2016,6875172,8110761.06,H M EXCHEQUER,CFER Payments to The Exchequer (CSC Use Only)
20/06/2016,6918441,6136616.8,INTERNATIONAL CRIMINAL COURT,Programme Spend (Oracle Projects Control Account)
07/06/2016,6824480,5832519.76,HMRC HM REVENUE AND CUSTOMS,Multiple Accounts
20/06/2016,6918470,5724199.96,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
07/06/2016,6824492,4578812,CABINET OFFICE,Multiple Accounts
09/06/2016,6842463,4515012,FCO SERVICES,Specialist Contractors
01/06/2016,6861479,1999266.55,THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account
20/06/2016,6919424,1869234.13,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
22/06/2016,6949448,1830935.91,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
21/06/2016,6932473,1712231.84,G4S RISK MANAGEMENT LTD,UK Guarding Contracts Overseas
01/06/2016,6914489,1512112.19,THE ROYAL BANK OF SCOTLAND,Travel Package Advance Overseas Posting (Credit Card Payments Only)
20/06/2016,6918478,1435570.35,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
08/06/2016,6834958,1280000,ISS FACILITY SERVICES LTD FCO OP - POE,FMCU POE Trust Account Debtor
21/06/2016,6931436,1262573.49,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
23/06/2016,6954592,1249691.5,FCO SERVICES,Residential Property Services
08/06/2016,6839452,1180737.59,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
27/06/2016,6972543,1059276.75,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
14/06/2016,6875169,1021114.75,H M EXCHEQUER,CFER Payments to The Exchequer (CSC Use Only)
06/06/2016,6801564,996094.24,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
03/06/2016,6797791,903226.18,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts
09/06/2016,6842790,800000,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
17/06/2016,6904730,792501.42,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts
14/06/2016,6874445,724890.59,SHELL NIG CLOSED PENSION FUND ADMIN,Rental Payments - residential
20/06/2016,6925426,721428,COMPUTACENTER UK LTD,IT/IS Consultancy
21/06/2016,6931430,721428,COMPUTACENTER UK LTD,IT/IS Consultancy
22/06/2016,6946495,656428,COMPUTACENTER UK LTD,IT/IS Consultancy
23/06/2016,6956492,616701,FCO SERVICES,Postal Services
20/06/2016,6914447,539004.91,INTERSERVE FM LTD,Multiple Accounts
23/06/2016,6954691,531780.6,KPMG FIDUCIAIRE,Multiple Accounts
27/06/2016,6973427,503000.78,UNDP MULTI PARTNER TRUST FUND OFFICE,Programme Spend (Oracle Projects Control Account)
03/06/2016,6797670,480693.05,ARTEOS GMBH,Multiple Accounts
20/06/2016,6914470,476715.56,INTERSERVE FM LTD,Multiple Accounts
22/06/2016,6945526,470291.06,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
21/06/2016,6937458,440033,BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
