UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC1,01-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł757.68,1
MODGPC2,01-Apr-11,Auto Rental                        ,Auto Rental                        ,"Ł1,097.50",2
MODGPC3,01-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł581.81,3
MODGPC4,01-Apr-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"Ł1,706.40",4
MODGPC5,01-Apr-11,Books and Periodicals              , BOOK STORES,Ł987.94,5
MODGPC6,01-Apr-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł806.70,6
MODGPC7,01-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,289.80",7
MODGPC8,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,320.00",8
MODGPC9,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł3,362.88",9
MODGPC10,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł696.00,10
MODGPC11,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,269.36",11
MODGPC12,01-Apr-11,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł9,190.66",12
MODGPC13,01-Apr-11,Catering and Catering Supplies     , CATERERS,"Ł3,823.49",13
MODGPC14,01-Apr-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł737.50,14
MODGPC15,01-Apr-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł1,708.00",15
MODGPC16,01-Apr-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł554.00,16
MODGPC17,01-Apr-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł638.00,17
MODGPC18,01-Apr-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,729.09",18
MODGPC19,01-Apr-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł1,788.00",19
MODGPC20,01-Apr-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,169.86",20
MODGPC21,01-Apr-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,179.40",21
MODGPC22,01-Apr-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł8,179.10",22
MODGPC23,01-Apr-11,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY",Ł600.00,23
MODGPC24,01-Apr-11,Financial Services                 , INSURANCE SALES/UNDERWRITE,Ł922.50,24
MODGPC25,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,779.84",25
MODGPC26,01-Apr-11,General Retail and Wholesale       , PET STORES/FOOD & SUPPLY,"Ł1,707.66",26
MODGPC27,01-Apr-11,General Retail and Wholesale       ," GIFT, CARD, NOVELTY STORES",Ł500.00,27
MODGPC28,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,068.78",28
MODGPC29,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł940.84,29
MODGPC30,01-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,404.00",30
MODGPC31,01-Apr-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,Ł715.54,31
MODGPC32,01-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł799.20,32
MODGPC33,01-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł6,871.25",33
MODGPC34,01-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,Ł676.50,34
MODGPC35,01-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,Ł540.00,35
MODGPC36,01-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,Ł571.14,36
MODGPC37,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,275.76",37
MODGPC38,01-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł3,196.80",38
MODGPC39,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł3,945.31",39
MODGPC40,01-Apr-11,General Retail and Wholesale       , ELECTRONICS STORES,"Ł1,645.43",40
MODGPC41,01-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,Ł687.06,41
MODGPC42,01-Apr-11,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"Ł1,771.89",42
MODGPC43,01-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł7,194.00",43
MODGPC44,01-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł8,971.20",44
MODGPC45,01-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,"Ł1,469.01",45
MODGPC46,01-Apr-11,General Retail and Wholesale       , DISCOUNT STORES,Ł767.45,46
MODGPC47,01-Apr-11,General Retail and Wholesale       , DISCOUNT STORES,Ł978.72,47
MODGPC48,01-Apr-11,General Retail and Wholesale       , DISCOUNT STORES,Ł651.64,48
MODGPC49,01-Apr-11,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"Ł1,800.00",49
MODGPC50,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł830.59,50
MODGPC51,01-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł1,000.00",51
MODGPC52,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł7,236.79",52
MODGPC53,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł3,185.16",53
MODGPC54,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł4,607.16",54
