Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Spend 
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001536172," 31,662.92 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001536229," 411,717.58 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001536241," 27,367.85 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER,1001536243," 52,050.11 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE,1001536246," 97,127.90 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DERBYSHIRE,1001536258," 43,635.77 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL,1001536259," 32,080.10 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR NORTH WALES,1001536261," 74,834.71 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE,1001536262," 63,233.37 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY,1001536263," 34,113.61 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE),1001536264," 26,030.81 "
Home Office,DBS - Disclosure & Barring Service,10/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1001536290," 31,312.35 "
Home Office,DBS - Disclosure & Barring Service,11/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR ESSEX,1001536945," 190,598.02 "
Home Office,DBS - Disclosure & Barring Service,11/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001536947," 40,760.39 "
Home Office,DBS - Disclosure & Barring Service,11/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HERTFORDSHIRE,1001536949," 32,368.25 "
Home Office,DBS - Disclosure & Barring Service,19/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001540384," 53,878.61 "
Home Office,DBS - Disclosure & Barring Service,19/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001540390," 39,899.50 "
Home Office,DBS - Disclosure & Barring Service,19/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL,1001540391," 32,071.10 "
Home Office,DBS - Disclosure & Barring Service,19/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR GLOUCESTERSHIRE,1001540392," 39,082.59 "
Home Office,DBS - Disclosure & Barring Service,19/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THAMES VALLEY POLICE,1001540421," 124,917.20 "
Home Office,DBS - Disclosure & Barring Service,19/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR WILTSHIRE,1001540425," 32,110.04 "
Home Office,DBS - Disclosure & Barring Service,19/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,WEST MERCIA PCC,1001540433," 30,411.63 "
Home Office,DBS - Disclosure & Barring Service,19/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001540434," 106,621.38 "
Home Office,DBS - Disclosure & Barring Service,26/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001543588," 26,023.17 "
Home Office,DBS - Disclosure & Barring Service,26/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001543599," 39,980.21 "
Home Office,DBS - Disclosure & Barring Service,26/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THAMES VALLEY POLICE,1001543635," 63,457.67 "
Home Office,DBS - Disclosure & Barring Service,26/02/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR LANCASHIRE,1001543639," 44,011.07 "
Home Office,DBS - Disclosure & Barring Service,03/02/2014,Direct Costs,DBS - Disclosure & Barring Service,CGI IT UK LTD,1001531730," 52,320.00 "
Home Office,DBS - Disclosure & Barring Service,05/02/2014,IT & Telecoms,DBS - Disclosure & Barring Service,HOME OFFICE,9000082," 63,425.81 "
Home Office,DBS - Disclosure & Barring Service,11/02/2014,IT & Telecoms,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001536916," 125,685.26 "
Home Office,DBS - Disclosure & Barring Service,17/02/2014,IT & Telecoms,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001539479," 391,872.24 "
Home Office,HMPO - HM Passport Office,03/02/2014,Accomodation - Rent,HMPO - HM Passport Office,MAPELEY ABI PROVIDER LTD,1001531792," 190,955.24 "
Home Office,HMPO - HM Passport Office,17/02/2014,Accomodation - Rent,HMPO - HM Passport Office,DTZ DEBENHAM TIE LEUNG LTD,1001539498," 580,750.00 "
Home Office,HMPO - HM Passport Office,19/02/2014,Accomodation - Rent,HMPO - HM Passport Office,DEPARTMENT FOR WORK & PENSIONS (DWP),3000047857, 41.77 
