Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,DBS - Disclosure & Barring Service,03/01/2014,IT Run Cost,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001520116,"33,403.56"
Home Office,DBS - Disclosure & Barring Service,03/01/2014,IT Run Cost,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001520116,"286,384.32"
Home Office,DBS - Disclosure & Barring Service,03/01/2014,IT Run Cost,DBS - Disclosure & Barring Service,HOME OFFICE,9000066,"112,284.46"
Home Office,DBS - Disclosure & Barring Service,06/01/2014,IT Run Cost,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001520775,"35,190.00"
Home Office,DBS - Disclosure & Barring Service,10/01/2014,DBS Direct Costs,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001522816,"55,847.30"
Home Office,DBS - Disclosure & Barring Service,10/01/2014,DBS Direct Costs,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001522816,"330,552.14"
Home Office,DBS - Disclosure & Barring Service,10/01/2014,DBS Direct Costs,DBS - Disclosure & Barring Service,CGI IT UK LTD,1001522820,"52,320.00"
Home Office,DBS - Disclosure & Barring Service,10/01/2014,IT Run Cost,DBS - Disclosure & Barring Service,HOME OFFICE,9000069,"56,142.23"
Home Office,DBS - Disclosure & Barring Service,14/01/2014,IT Run Cost,DBS - Disclosure & Barring Service,HOME OFFICE,9000070,"56,142.23"
Home Office,DBS - Disclosure & Barring Service,17/01/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001525377,"439,723.85"
Home Office,DBS - Disclosure & Barring Service,17/01/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1001525487,"92,647.62"
Home Office,DBS - Disclosure & Barring Service,17/01/2014,IT Run Cost,DBS - Disclosure & Barring Service,HOME OFFICE,9000075,"56,142.23"
Home Office,DBS - Disclosure & Barring Service,22/01/2014,Contingent Labour,DBS - Disclosure & Barring Service,HOME OFFICE,9000077,"96,974.40"
Home Office,DBS - Disclosure & Barring Service,23/01/2014,Legal Fees,DBS - Disclosure & Barring Service,HOME OFFICE,9000079,"54,052.96"
Home Office,DBS - Disclosure & Barring Service,24/01/2014,DBS Direct Costs,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001528785,"1,080,344.75"
Home Office,DBS - Disclosure & Barring Service,24/01/2014,DBS Direct Costs,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001528785,"-330,552.14"
Home Office,DBS - Disclosure & Barring Service,24/01/2014,DBS Direct Costs,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001528785,"330,552.14"
Home Office,DBS - Disclosure & Barring Service,27/01/2014,IT Run Cost,DBS - Disclosure & Barring Service,MINISTRY OF JUSTICE,3000047730,"33,576.04"
Home Office,DBS - Disclosure & Barring Service,28/01/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,AVON & SOMERSET POLICE & CRIME COMMISSIONER,1001530187,"82,639.96"
