Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,DBS - Disclosure & Barring Service,09/07/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001440127,"27,479.36"
Home Office,DBS - Disclosure & Barring Service,10/07/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001440325,"31,396.80"
Home Office,DBS - Disclosure & Barring Service,10/07/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001440325,"157,725.60"
Home Office,DBS - Disclosure & Barring Service,10/07/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001440325,"30,403.20"
Home Office,DBS - Disclosure & Barring Service,10/07/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001440325,"57,075.60"
Home Office,DBS - Disclosure & Barring Service,18/07/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001444660,"1,537,957.55"
Home Office,DBS - Disclosure & Barring Service,18/07/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001444660,"71,929.90"
Home Office,DBS - Disclosure & Barring Service,18/07/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001444660,"392,486.58"
Home Office,DBS - Disclosure & Barring Service,18/07/2013,"IT, Telecomms - Managed Service",DBS - Disclosure & Barring Service,MINISTRY OF JUSTICE,3000046852,"109,777.92"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,AVON & SOMERSET POLICE & CRIME COMMISSIONER,1001447956,"35,607.81"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,AVON & SOMERSET POLICE & CRIME COMMISSIONER,1001447956,"35,567.90"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001447964,"32,239.32"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001447964,"32,239.32"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001448006,"439,481.82"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001448018,"26,270.71"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER,1001448020,"37,367.42"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,1001448021,"86,680.35"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE,1001448022,"71,788.92"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE),1001448023,"46,941.26"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE,1001448024,"93,122.94"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001448026,"28,155.93"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001448026,"26,422.18"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,PCC FOR THAMES VALLEY,1001448030,"125,845.64"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001448034,"37,949.10"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DERBYSHIRE,1001448036,"44,893.51"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL,1001448037,"56,197.15"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL,1001448037,"29,965.80"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001448042,"36,386.20"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001448042,"40,366.21"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HERTFORDSHIRE,1001448043,"67,091.63"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR NORTH WALES,1001448045,"71,897.30"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE,1001448046,"27,457.73"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY,1001448047,"31,596.01"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,ROYAL MILITARY POLICE FORCE,1001448060,"47,086.30"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,THE NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001448069,"28,184.86"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR LANCASHIRE,1001448070,"44,604.58"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,WEST MERCIA PCC,1001448076,"32,457.90"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001448077,"96,108.58"
Home Office,DBS - Disclosure & Barring Service,25/07/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001448077,"97,033.37"
