Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,CPG - Crime & Policing Group,02/02/2015,Grant,CPG - Crime & Policing Group,BROKEN RAINBOW (G),1001688847,"30,000.00"
Home Office,CPG - Crime & Policing Group,02/02/2015,Professional & Administration Services,CPG - Crime & Policing Group,DEPARTMENT FOR ENVIRONMENT FOOD AND RURAL AFFAIRS(DEFRA),3000049554,"42,249.00"
Home Office,CPG - Crime & Policing Group,02/02/2015,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001688850,"98,729.32"
Home Office,CPG - Crime & Policing Group,02/02/2015,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001688858,"76,897.66"
Home Office,CPG - Crime & Policing Group,02/02/2015,Grant,CPG - Crime & Policing Group,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER (G),1001688863,"89,349.00"
Home Office,CPG - Crime & Policing Group,02/02/2015,Contingent Labour,CPG - Crime & Policing Group,PA CONSULTING SERVICES LTD,1001689101,"290,871.47"
Home Office,CPG - Crime & Policing Group,02/02/2015,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISIONER FOR THAMES VALLEY (G),1001688865,"30,167.87"
Home Office,CPG - Crime & Policing Group,02/02/2015,Grant,CPG - Crime & Policing Group,SOUTH YORKSHIRE POLICE & CRIME COMMISSIONER (G),1001688875,"105,191.89"
Home Office,CPG - Crime & Policing Group,02/02/2015,Grant,CPG - Crime & Policing Group,WEST MIDLANDS OFFICE FOR POLICING & CRIME (G),1001688878,"41,906.43"
Home Office,CPG - Crime & Policing Group,03/02/2015,Grant,CPG - Crime & Policing Group,ACPO (G),1001689549,"478,583.09"
Home Office,CPG - Crime & Policing Group,03/02/2015,Education & Training Services,CPG - Crime & Policing Group,CAADA - CO-ORDINATED ACTION AGAINST DOMESTIC ABUSE,1001689693,"98,574.50"
