Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,Home Office,06/03/2015,"Editorial, Design & Graphics",CSG - Corporate Services Group,RADLEY YELDAR LTD,1001702575,"27,566.40"
Home Office,UKVI - UK Visa & Immigration,05/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,6POINT6 LTD,1001701806,"240,060.00"
Home Office,UKVI - UK Visa & Immigration,04/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,6POINT6 LTD,1001701373,"69,252.00"
Home Office,UKVI - UK Visa & Immigration,04/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,6POINT6 LTD,1001701373,"34,560.00"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,6POINT6 LTD,1001709272,"206,340.00"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,6POINT6 LTD,1001709272,"68,592.00"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,6POINT6 LTD,1001709272,"38,400.00"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,ACTICA CONSULTING LTD,1001708586,"26,704.80"
Home Office,UKVI - UK Visa & Immigration,05/03/2015,"IT, Broadcasting & Telecomms",UKVI - UK Visa & Immigration,ATOS IT SERVICES UK LTD,1001701809,"25,297.06"
Home Office,UKVI - UK Visa & Immigration,02/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,ATOS IT SERVICES UK LTD,1001700154,"127,515.12"
Home Office,UKVI - UK Visa & Immigration,02/03/2015,"IT, Broadcasting & Telecomms",UKVI - UK Visa & Immigration,ATOS IT SERVICES UK LTD,1001700154,"65,834.23"
Home Office,UKVI - UK Visa & Immigration,02/03/2015,"IT, Telecomms Managed Service",UKVI - UK Visa & Immigration,ATOS IT SERVICES UK LTD,1001700154,"101,926.44"
Home Office,UKVI - UK Visa & Immigration,05/03/2015,IT - Other Costs,UKVI - UK Visa & Immigration,ATOS IT SERVICES UK LTD,1001701809,"208,116.25"
Home Office,UKVI - UK Visa & Immigration,02/03/2015,"IT, Broadcasting & Telecomms",UKVI - UK Visa & Immigration,ATOS IT SERVICES UK LTD,1001700154,"64,077.60"
Home Office,UKVI - UK Visa & Immigration,11/03/2015,"IT, Telecomms Managed Service",UKVI - UK Visa & Immigration,ATOS IT SERVICES UK LTD,1001704409,"28,803.60"
Home Office,UKVI - UK Visa & Immigration,10/03/2015,Professional & Administration Services,UKVI - UK Visa & Immigration,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,1001703779,"29,952.00"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,BEDFORD BOROUGH COUNCIL (G),1001707266,"28,712.00"
Home Office,UKVI - UK Visa & Immigration,10/03/2015,Grant,UKVI - UK Visa & Immigration,BRITISH REFUGEE COUNCIL 2 (G),1001703627,"215,326.00"
Home Office,UKVI - UK Visa & Immigration,25/03/2015,Grant,UKVI - UK Visa & Immigration,BRITISH REFUGEE COUNCIL 2 (G),1001710475,"87,109.35"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,BUCKINGHAMSHIRE COUNTY COUNCIL 1 (G),1001707271,"46,283.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,CAPGEMINI UK PLC,1001705041,"61,520.36"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,CAPGEMINI UK PLC,1001705041,"244,741.44"
