Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Spend 
Home Office,DBS - Disclosure & Barring Service,04/07/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THE NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001602635,"28,921.29"
Home Office,DBS - Disclosure & Barring Service,04/07/2014,IT Run Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001602565,"183,042.10"
Home Office,DBS - Disclosure & Barring Service,07/07/2014,Early Retirement Costs,DBS - Disclosure & Barring Service,HOME OFFICE,9000117,"103,940.67"
Home Office,DBS - Disclosure & Barring Service,14/07/2014,Accommodation,DBS - Disclosure & Barring Service,PRINCES DOCK DEVELOPMENT COMPANY NO 4 LTD,1001606359,"281,852.88"
Home Office,DBS - Disclosure & Barring Service,14/07/2014,Accommodation,DBS - Disclosure & Barring Service,PRINCES DOCK DEVELOPMENT COMPANY NO 4 LTD,1001606359,"77,491.62"
Home Office,DBS - Disclosure & Barring Service,14/07/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001606377,"4,042,527.30"
Home Office,DBS - Disclosure & Barring Service,14/07/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001606377,"295,638.97"
Home Office,DBS - Disclosure & Barring Service,14/07/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001606377,"107,724.38"
Home Office,DBS - Disclosure & Barring Service,14/07/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001606377,"-200,000.00"
Home Office,DBS - Disclosure & Barring Service,18/07/2014,IT Run Costs,DBS - Disclosure & Barring Service,CAPITA,1001608765,"42,537.60"
Home Office,DBS - Disclosure & Barring Service,18/07/2014,IT Run Costs,DBS - Disclosure & Barring Service,CAPITA,1001608765,"86,468.40"
