Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  ,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,04/01/2016,Professional & Admin Services,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001815336,4089284.87,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,05/01/2016,Professional & Admin Services,DBS - Disclosure & Barring Service,HOME OFFICE,9000217,31498.38,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,05/01/2016,Criminal Records,DBS - Disclosure & Barring Service,HOME OFFICE,9000216,132404.73,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,15/01/2016,Criminal Records,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISIONER FOR THAMES VALLEY,2016011501,-182953.95,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/01/2016,Control,DBS - Disclosure & Barring Service,HOME OFFICE,9000219,113502.19,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001820602,55922.4,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001820602,397338,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001820602,1459.2,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001820602,1459.2,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001820602,1459.2,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001820602,1459.2,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,20/01/2016,Control,DBS - Disclosure & Barring Service,HOME OFFICE,9000222,80702,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,20/01/2016,Control,DBS - Disclosure & Barring Service,HOME OFFICE,9000221,81498,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,25/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001823132,21960.48,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,25/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001823132,35291.68,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,25/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001823132,6395.64,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,25/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001823132,1921.55,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,25/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001823132,43920.96,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,25/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001823132,27222.06,,,,,,,,
