Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,01/02/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HOME OFFICE,9000224,"71,791.70",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,01/02/2016,Public Administration Services,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001826138,"-160,731.73",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,01/02/2016,Public Administration Services,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001826138,"219,261.76",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,03/02/2016,Home Office Sponsorship Charges,DBS - Disclosure & Barring Service,HOME OFFICE,9000225,"92,606.00",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,05/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,HOME OFFICE,9000226,"82,125.28",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,05/02/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001828364,"60,979.20",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,05/02/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001828364,"169,681.20",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,05/02/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001828364,"75,865.20",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,05/02/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001828364,"1,459.20",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,05/02/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001828364,"1,459.20",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,05/02/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001828364,"178,197.60",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,09/02/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HOME OFFICE,9000227,"32,040.00",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,09/02/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HOME OFFICE,9000227,"7,426.68",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,22/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,HOME OFFICE,9000230,"245,310.00",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,24/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001835201,"35,220.71",,,,,,,,
