Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  
Home Office,Home Office,02/10/2015,Legal Services,CPG - Crime & Policing Group,HER MAJESTY'S COURTS & TRIBUNAL SERVICE,3000050629," 41,260.80 "
Home Office,Home Office,02/10/2015,Grant,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001781620," 2,522,654.00 "
Home Office,Home Office,02/10/2015,Grant,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001781620," 32,022.00 "
Home Office,Home Office,02/10/2015,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001781622," 794,432.32 "
Home Office,Home Office,02/10/2015,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001781622," 455,921.98 "
Home Office,Home Office,02/10/2015,Professional & Admin Services,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE),1001781776," 29,638.73 "
Home Office,Home Office,02/10/2015,Legal Services,CPG - Crime & Policing Group,THREE RAYMOND BUILDINGS,1001781800," 29,468.40 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001782150," 80,131.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001782150," 948,158.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001782150," 4,734,604.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001782150," 197,449.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001782150," 8,802,036.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001782153," 401,871.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001782153," 2,045,084.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001782153," 97,709.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001782153," 4,065,294.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001782154," 2,818,219.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001782154," 1,542,389.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CITY OF LONDON POLICE AUTHORITY (G),1001782155," 236,934.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,COLLEGE OF POLICING (G),1001782156," 4,000,000.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001782159," 332,662.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001782159," 2,583,239.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001782159," 71,484.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001782159," 2,407,130.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001782160," 500,784.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001782160," 1,452,681.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001782160," 110,876.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001782160," 3,456,009.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,EARLY INTERVENTION FOUNDATION (G),1001782161," 30,300.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001782162," 9,972,993.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001782162," 62,841,305.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001782162," 72,202,279.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001782162," 14,470,789.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001782165," 38,815.20 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001782165," 86,210.52 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001782167," 38,294.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001782167," 421,117.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001782167," 2,026,548.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001782167," 94,294.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001782167," 3,618,184.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001782168," 699,508.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001782168," 4,033,218.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001782168," 111,008.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001782168," 6,531,577.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001782169," 656,386.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001782169," 2,411,624.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001782169," 118,991.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001782169," 4,208,900.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001782169," 271,287.00 "
Home Office,Home Office,05/10/2015,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001782170," 448,512.00 "
