Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  ,
Home Office,DBS - Disclosure & Barring Service,02/11/2015,"IT, TelecommsManaged Service",DBS - Disclosure & Barring Service,HOME OFFICE,9000196," 73,463.28 ",
Home Office,DBS - Disclosure & Barring Service,12/11/2015,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001796674," 44,202.64 ",
Home Office,DBS - Disclosure & Barring Service,20/11/2015,"IT,TelecommsMan Service",DBS - Disclosure & Barring Service,ACCESS NORTHERN IRELAND,1001799822," 41,215.20 ",
Home Office,DBS - Disclosure & Barring Service,20/11/2015,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001799946," 4,172,592.04 ",
Home Office,DBS - Disclosure & Barring Service,20/11/2015,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001799946," 235,007.58 ",
Home Office,DBS - Disclosure & Barring Service,20/11/2015,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001799946," 260,321.98 ",
Home Office,DBS - Disclosure & Barring Service,26/11/2015,Building & Construction,DBS - Disclosure & Barring Service,BROADSTOCK OFFICE FURNITURE LTD,1001801778," 3,000.00 ",
Home Office,DBS - Disclosure & Barring Service,26/11/2015,Building & Construction,DBS - Disclosure & Barring Service,BROADSTOCK OFFICE FURNITURE LTD,1001801778," 6,192.00 ",
Home Office,DBS - Disclosure & Barring Service,26/11/2015,Building & Construction,DBS - Disclosure & Barring Service,BROADSTOCK OFFICE FURNITURE LTD,1001801778," 49,420.80 ",
Home Office,Home Office,02/11/2015,Grant,CPG - Crime & Policing Group,FOOTBALL SUPPORTERS' FEDERATION (INTERNATIONAL) (G),1001792667," 26,438.37 ",
Home Office,Home Office,02/11/2015,Grant,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001792671," 53,759.27 ",
Home Office,Home Office,02/11/2015,Grant,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001792671," 57,800.00 ",
Home Office,Home Office,02/11/2015,Grant,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001792671," 60,629.00 ",
Home Office,Home Office,02/11/2015,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001792673," 79,782.28 ",
