Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount 
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001850350,"35,176.79"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Facilities management Services,DTZ DEBENHAM TIE LEUNG LTD,1001850392,"100,065.00"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Facilities management Services,DTZ DEBENHAM TIE LEUNG LTD,1001850392,"11,914.00"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Advertising Media,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MRI,1001850466,"45,990.00"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001850474,"621,545.16"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001850489,"71,347.76"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE,1001850496,"52,179.77"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001850498,"31,410.73"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001850500,"67,912.65"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001850500,"102,327.65"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,POLICE & CRIME COMMISIONER FOR THAMES VALLEY,1001850508,"190,112.66"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001850509,"45,344.49"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,POLICE & CRIME COMMISSIONER FOR LANCASHIRE (THE),1001850519,"50,894.31"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,POLICE & CRIME COMMISSIONER FOR SURREY,1001850522,"81,627.40"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,POLICE & CRIME COMMISSIONER FOR WILTSHIRE,1001850524,"41,908.55"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,ROYAL MILITARY POLICE FORCE,1001850546,"25,999.07"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001850572,"3,760,433.64"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001850572,"172,034.10"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001850572,"201,718.81"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001850572,"183,612.89"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001850572,"153,390.07"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001850572,"245,017.97"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001850572,"290,700.68"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE,1001850576,"37,898.63"
Home Office,DBS - Disclosure & Barring Service,01/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,WEST MERCIA PCC,1001850600,"33,150.45"
Home Office,DBS - Disclosure & Barring Service,05/04/2016,DBS - Disclosure & Barring Service,Facilities management Services,PRINCES DOCK OFFICE NO 9 LTD,1001851791,"77,491.62"
Home Office,DBS - Disclosure & Barring Service,06/04/2016,DBS - Disclosure & Barring Service,"IT, TelecommsManaged Service",MINISTRY OF JUSTICE,3000052139,"25,500.00"
Home Office,DBS - Disclosure & Barring Service,06/04/2016,DBS - Disclosure & Barring Service,"IT, TelecommsManaged Service",MINISTRY OF JUSTICE,3000052139,"85,842.00"
Home Office,DBS - Disclosure & Barring Service,06/04/2016,DBS - Disclosure & Barring Service,Facilities management Services,PRINCES DOCK OFFICE NO 9 LTD,1001852249,"281,852.88"
Home Office,DBS - Disclosure & Barring Service,06/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001852267,"537,420.00"
Home Office,DBS - Disclosure & Barring Service,06/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001852267,"177,006.00"
Home Office,DBS - Disclosure & Barring Service,15/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001855961,"3,986,628.16"
Home Office,DBS - Disclosure & Barring Service,15/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001855961,"144,784.50"
Home Office,DBS - Disclosure & Barring Service,15/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001855961,"271,236.13"
Home Office,DBS - Disclosure & Barring Service,15/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001855961,"157,848.02"
Home Office,DBS - Disclosure & Barring Service,15/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001855961,"1,036,379.98"
Home Office,DBS - Disclosure & Barring Service,15/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001855961,"66,463.20"
Home Office,DBS - Disclosure & Barring Service,18/04/2016,DBS - Disclosure & Barring Service,"Professional, Management, Outsourcing & Admin Services",TATA CONSULTANCY SERVICES LTD,1001856539,"297,878.20"
Home Office,DBS - Disclosure & Barring Service,21/04/2016,DBS - Disclosure & Barring Service,Grant,AVON & SOMERSET CONSTABULARY (G),1001857768,"48,416.37"
Home Office,DBS - Disclosure & Barring Service,21/04/2016,DBS - Disclosure & Barring Service,Grant,POLICE & CRIME COMMISSIONER FOR DERBYSHIRE (G),1001857776,"55,097.16"
Home Office,DBS - Disclosure & Barring Service,21/04/2016,DBS - Disclosure & Barring Service,Grant,POLICE AND CRIME COMMISSIONER FOR BEDFORDSHIRE (THE) (G),1001857777,"29,777.81"
Home Office,DBS - Disclosure & Barring Service,22/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE),1001858317,"92,848.37"
Home Office,DBS - Disclosure & Barring Service,22/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001858321,"71,715.07"
Home Office,DBS - Disclosure & Barring Service,22/04/2016,DBS - Disclosure & Barring Service,Criminal Record Checks,POLICE & CRIME COMMISSIONER FOR NORTH WALES,1001858329,"52,014.89"
