Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Spend 
Home Office,DBS - Disclosure & Barring Service,01/08/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HOME OFFICE,9000255,"60,720.00"
Home Office,DBS - Disclosure & Barring Service,01/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001895760,"740,866.70"
Home Office,DBS - Disclosure & Barring Service,01/08/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001896104,"3,449,124.62"
Home Office,DBS - Disclosure & Barring Service,01/08/2016,"IT,Telecomms Managed Service",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001896104,"1,241,977.80"
Home Office,DBS - Disclosure & Barring Service,01/08/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001896104,"256,825.07"
Home Office,DBS - Disclosure & Barring Service,01/08/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001896104,"204,019.75"
Home Office,DBS - Disclosure & Barring Service,03/08/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HOME OFFICE,9000256,"87,511.00"
Home Office,DBS - Disclosure & Barring Service,05/08/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001898169,"35,594.64"
Home Office,DBS - Disclosure & Barring Service,05/08/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001898169,"46,449.00"
Home Office,DBS - Disclosure & Barring Service,05/08/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001898169,"7,502.15"
Home Office,DBS - Disclosure & Barring Service,05/08/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001898169,"42,282.00"
Home Office,DBS - Disclosure & Barring Service,05/08/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001898169,"44,460.00"
Home Office,DBS - Disclosure & Barring Service,05/08/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001898169,"33,048.00"
Home Office,DBS - Disclosure & Barring Service,05/08/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001898169,"16,416.00"
Home Office,DBS - Disclosure & Barring Service,08/08/2016,Marketing,DBS - Disclosure & Barring Service,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MRI,1001898861,"56,772.00"
Home Office,DBS - Disclosure & Barring Service,10/08/2016,Accommodation,DBS - Disclosure & Barring Service,CRIPPS HARRIES HALL,1001899801,"158,260.00"
Home Office,DBS - Disclosure & Barring Service,15/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CLEVELAND,1001901369,"52,242.33"
Home Office,DBS - Disclosure & Barring Service,15/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR WILTSHIRE,1001901371,"42,481.24"
Home Office,DBS - Disclosure & Barring Service,15/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1001901385,"112,592.10"
Home Office,DBS - Disclosure & Barring Service,15/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1001901385,"97,509.64"
Home Office,DBS - Disclosure & Barring Service,19/08/2016,Training,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001903185,"46,682.93"
Home Office,DBS - Disclosure & Barring Service,22/08/2016,"IT,Telecomms Managed Service",DBS - Disclosure & Barring Service,ORACLE CORPORATION UK LIMITED,1001903805,"56,473.98"
Home Office,DBS - Disclosure & Barring Service,22/08/2016,"IT,Telecomms Managed Service",DBS - Disclosure & Barring Service,ORACLE CORPORATION UK LIMITED,1001903805,"12,427.25"
Home Office,DBS - Disclosure & Barring Service,24/08/2016,"IT, Broadcasting & Telecomms Components",DBS - Disclosure & Barring Service,HEWLETT PACKARD ENTERPRISE SERVICES UK LTD,1001904482,"639,169.20"
Home Office,DBS - Disclosure & Barring Service,25/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001904813,"35,533.43"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001905079,"103,817.52"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001905082,"761,612.08"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001905083,"33,651.40"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001905084,"50,893.35"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001905085,"160,712.47"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001905087,"43,242.19"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001905089,"54,197.93"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE (G),1001905092,"46,668.50"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DERBYSHIRE (G),1001905093,"181,868.19"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL (G),1001905094,"67,350.18"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR GLOUCESTERSHIRE (G),1001905096,"26,361.66"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HERTFORDSHIRE (G),1001905098,"160,670.33"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR LANCASHIRE (THE) (G),1001905099,"112,777.08"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR NORTH WALES (G),1001905101,"113,765.70"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE (G),1001905102,"46,318.60"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE (G),1001905103,"55,081.32"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY (G),1001905104,"92,194.65"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE) (G),1001905105,"36,892.90"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE AND CRIME COMMISSIONER FOR BEDFORDSHIRE (THE) (G),1001905106,"49,356.57"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,WEST MERCIA PCC (G),1001905109,"39,187.58"
Home Office,DBS - Disclosure & Barring Service,26/08/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME (G),1001905110,"400,434.07"
Home Office,Home Office,02/08/2016,Advertising & Publishing Media,Communications,MUNRO & FORSTER COMMUNICATIONS LTD,1001896603,"32,400.00"
Home Office,Home Office,24/08/2016,Professional & Admin Services,Communications,HM REVENUE & CUSTOMS,1001904483,"79,325.00"
Home Office,Home Office,30/08/2016,Professional & Admin Services,Communications,HM REVENUE & CUSTOMS,6200061929,"-14,087.00"
Home Office,Home Office,01/08/2016,"IT,Telecomms Mobile Telephony",CPG - Crime & Policing Group,BABCOCK CRITICAL SERVICES LTD,1001895961,"667,096.49"
Home Office,Home Office,01/08/2016,"IT,Telecomms Mobile Telephony",CPG - Crime & Policing Group,BABCOCK CRITICAL SERVICES LTD,1001895961,"667,096.49"
Home Office,Home Office,01/08/2016,Grant,CPG - Crime & Policing Group,BEDFORD BOROUGH COUNCIL (G),1001895747,"32,170.00"
