Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  ,,,
Home Office,DBS - Disclosure & Barring Service,01/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001884381," 19,440.00 ",,,
Home Office,DBS - Disclosure & Barring Service,01/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001884381," 21,060.00 ",,,
Home Office,DBS - Disclosure & Barring Service,01/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001884381," 4,490.56 ",,,
Home Office,DBS - Disclosure & Barring Service,01/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001884381," 23,400.00 ",,,
Home Office,DBS - Disclosure & Barring Service,01/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001884381," 19,440.00 ",,,
Home Office,DBS - Disclosure & Barring Service,01/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001884381, 912.00 ,,,
Home Office,DBS - Disclosure & Barring Service,05/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001885587,"-18,678.93 ",,,
Home Office,DBS - Disclosure & Barring Service,07/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001886535," 13,461.78 ",,,
Home Office,DBS - Disclosure & Barring Service,07/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001886535," 34,505.42 ",,,
Home Office,DBS - Disclosure & Barring Service,07/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001886535," 4,809.06 ",,,
Home Office,DBS - Disclosure & Barring Service,07/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001886535," 38,430.84 ",,,
Home Office,DBS - Disclosure & Barring Service,07/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001886535," 20,531.16 ",,,
Home Office,DBS - Disclosure & Barring Service,07/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001886535,"-13,450.80 ",,,
Home Office,DBS - Disclosure & Barring Service,07/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001886535,"-34,509.89 ",,,
Home Office,DBS - Disclosure & Barring Service,07/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001886535,"-4,809.06 ",,,
Home Office,DBS - Disclosure & Barring Service,07/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001886535,"-20,524.00 ",,,
Home Office,DBS - Disclosure & Barring Service,07/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001886535,"-38,430.84 ",,,
Home Office,DBS - Disclosure & Barring Service,08/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001887018," 13,450.80 ",,,
Home Office,DBS - Disclosure & Barring Service,08/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001887018," 34,509.89 ",,,
Home Office,DBS - Disclosure & Barring Service,08/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001887018," 4,809.06 ",,,
Home Office,DBS - Disclosure & Barring Service,08/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001887018," 38,430.84 ",,,
Home Office,DBS - Disclosure & Barring Service,08/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001887018," 20,524.00 ",,,
Home Office,DBS - Disclosure & Barring Service,08/07/2016,Accommodation charges,DBS - Disclosure & Barring Service,LIVERPOOL CITY COUNCIL,1001887035," 511,910.00 ",,,
Home Office,DBS - Disclosure & Barring Service,08/07/2016,Accommodation charges,DBS - Disclosure & Barring Service,PRINCES DOCK DEVELOPMENT COMPANY NO 4 LTD,1001887063," 281,852.88 ",,,
Home Office,DBS - Disclosure & Barring Service,08/07/2016,Accommodation charges,DBS - Disclosure & Barring Service,PRINCES DOCK DEVELOPMENT COMPANY NO 4 LTD,1001887063," 77,491.62 ",,,
Home Office,DBS - Disclosure & Barring Service,20/07/2016,Accommodation charges,DBS - Disclosure & Barring Service,DTZ DEBENHAM TIE LEUNG LTD,1001891679," 100,065.00 ",,,
Home Office,DBS - Disclosure & Barring Service,20/07/2016,Accommodation charges,DBS - Disclosure & Barring Service,DTZ DEBENHAM TIE LEUNG LTD,1001891679," 100,065.00 ",,,
Home Office,DBS - Disclosure & Barring Service,20/07/2016,Accommodation charges,DBS - Disclosure & Barring Service,DTZ DEBENHAM TIE LEUNG LTD,1001891679," 12,010.83 ",,,
Home Office,DBS - Disclosure & Barring Service,21/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001892199," 1,403,956.66 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,HEWLETT PACKARD ENTERPRISE SERVICES UK LTD,1001892706," 562,879.20 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER,1001892729," 45,848.26 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001892734," 35,533.43 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001892740," 46,326.13 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR GWENT,1001892742," 51,303.83 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE,1001892743," 46,570.87 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001892764," 345,878.40 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001892764," 71,253.60 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001892764," 91,340.40 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001892764," 66,546.00 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001892764," 282,741.00 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001892764," 106,478.95 ",,,
Home Office,DBS - Disclosure & Barring Service,22/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE,1001892768," 35,851.11 ",,,
Home Office,DBS - Disclosure & Barring Service,25/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,AVON & SOMERSET CONSTABULARY (G),1001893134," 47,638.68 ",,,
Home Office,DBS - Disclosure & Barring Service,25/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001893139," 65,653.17 ",,,
Home Office,DBS - Disclosure & Barring Service,25/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001893140," 82,455.61 ",,,
Home Office,DBS - Disclosure & Barring Service,25/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER (G),1001893141," 71,733.56 ",,,
Home Office,DBS - Disclosure & Barring Service,25/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR ESSEX  (G),1001893143," 83,466.18 ",,,
Home Office,DBS - Disclosure & Barring Service,25/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY (G),1001893145," 44,092.64 ",,,
Home Office,DBS - Disclosure & Barring Service,25/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE) (G),1001893146," 69,478.39 ",,,
Home Office,DBS - Disclosure & Barring Service,26/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,HOME OFFICE,9000251," 134,439.84 ",,,
Home Office,DBS - Disclosure & Barring Service,27/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,HOME OFFICE,9000252," 70,475.54 ",,,
Home Office,DBS - Disclosure & Barring Service,28/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001895084," 40,824.00 ",,,
Home Office,DBS - Disclosure & Barring Service,28/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001895084," 53,059.50 ",,,
Home Office,DBS - Disclosure & Barring Service,28/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001895084," 4,081.16 ",,,
Home Office,DBS - Disclosure & Barring Service,28/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001895084," 56,160.00 ",,,
Home Office,DBS - Disclosure & Barring Service,28/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001895084," 34,992.00 ",,,
Home Office,DBS - Disclosure & Barring Service,28/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001895084," 12,768.00 ",,,
Home Office,DBS - Disclosure & Barring Service,28/07/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE,1001895117," 89,043.24 ",,,
Home Office,DBS - Disclosure & Barring Service,28/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001895144," 609,541.50 ",,,
Home Office,DBS - Disclosure & Barring Service,28/07/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001895144," 171,322.80 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001884159," 44,903,789.20 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001884164," 19,124,689.75 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001884165," 19,492,096.52 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,COLLEGE OF POLICING (G),1001884167," 3,000,000.00 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001884168," 16,944,525.07 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001884170," 25,590,127.32 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001884449," 316,739,095.35 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001884179," 23,499,006.80 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001884180," 29,792,772.25 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001884181," 21,534,687.03 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001884182," 24,481,652.91 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001884183," 32,301,465.92 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001884450," 99,255,259.05 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001884184," 34,542,117.84 ",,,
Home Office,Home Office,01/07/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001884185," 25,926,083.42 ",,,
