Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  
Home Office,DBS - Disclosure & Barring Service,03/10/2016,Professional & Admin Services,DBS - Disclosure & Barring Service,HOME OFFICE,9000263," 99,491.76 "
Home Office,DBS - Disclosure & Barring Service,03/10/2016,Professional & Admin Services,DBS - Disclosure & Barring Service,HOME OFFICE,9000262," 97,494.56 "
Home Office,DBS - Disclosure & Barring Service,03/10/2016,Professional & Admin Services,DBS - Disclosure & Barring Service,HOME OFFICE,9000261," 124,696.00 "
Home Office,DBS - Disclosure & Barring Service,03/10/2016,"IT, Telecomms Managed Service",DBS - Disclosure & Barring Service,HOME OFFICE,9000260," 355,336.34 "
Home Office,DBS - Disclosure & Barring Service,03/10/2016,Grants,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE) (G),1001917405," 37,408.41 "
Home Office,DBS - Disclosure & Barring Service,05/10/2016,"IT, Telecomms. IT Run Costs & Other Costs",DBS - Disclosure & Barring Service,HEWLETT PACKARD ENTERPRISE SERVICES UK LTD,1001918849," 622,584.00 "
Home Office,DBS - Disclosure & Barring Service,07/10/2016,"IT, Telecomms. IT Run Costs & Other Costs",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001919920," 24,960.00 "
Home Office,DBS - Disclosure & Barring Service,07/10/2016,"IT, Telecomms. IT Run Costs & Other Costs",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001919920," 20,280.00 "
Home Office,DBS - Disclosure & Barring Service,07/10/2016,"IT, Telecomms. IT Run Costs & Other Costs",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001919920," 7,126.19 "
Home Office,DBS - Disclosure & Barring Service,07/10/2016,"IT, Telecomms. IT Run Costs & Other Costs",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001919920," 38,880.00 "
Home Office,DBS - Disclosure & Barring Service,07/10/2016,"IT, Telecomms. IT Run Costs & Other Costs",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001919920," 14,094.00 "
