Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num,,
Department of Health,Department of Health,01-Jan-11,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1721001-18-JAN-11,41659.77,,,
Department of Health,Department of Health,04-Jan-11,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),730959,22919.32,,,
Department of Health,Department of Health,04-Jan-11,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),730945,37411,,,
Department of Health,Department of Health,04-Jan-11,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),730937,77066,,,
Department of Health,Department of Health,04-Jan-11,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),730932,92541,,,
Department of Health,Department of Health,04-Jan-11,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),730927,96512.5,,,
Department of Health,Department of Health,04-Jan-11,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6474639,89.6,,,
Department of Health,Department of Health,04-Jan-11,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6474639,853.95,,,
Department of Health,Department of Health,04-Jan-11,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6474639,3100.16,,,
Department of Health,Department of Health,04-Jan-11,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6474639,5280.14,,,
Department of Health,Department of Health,04-Jan-11,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6474639,6799.81,,,
Department of Health,Department of Health,04-Jan-11,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6474639,10161.24,,,
Department of Health,Department of Health,04-Jan-11,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6474639,10256.47,,,
Department of Health,Department of Health,04-Jan-11,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6474639,17763.85,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),HAFS-9715,1000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NATIONAL PATIENT SAFETY AGENCY (NPSA),HAFS-9714,2100000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-9685,4000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-9713,4250000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,HAFS-9720,8500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BASSETLAW PCT,HAFS-9629,13000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HARTLEPOOL PCT,HAFS-9682,13000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DARLINGTON PCT,HAFS-9658,14212000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOLIHULL CARE TRUST,HAFS-9750,15500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SWINDON PCT,HAFS-9770,16000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ISLE OF WIGHT NHS PCT,HAFS-9693,17500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),REDCAR AND CLEVELAND PCT,HAFS-9742,18000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),TORBAY CARE TRUST,HAFS-9773,18250000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),TELFORD & WREKIN PCT,HAFS-9772,18487000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH LINCOLNSHIRE PCT,HAFS-9726,18800000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BARKING AND DAGENHAM PCT,HAFS-9626,19000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KINGSTON PCT,HAFS-9696,19000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,HAFS-9636,19628000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BATH & NORTH EAST SOMERSET PCT,HAFS-9630,20000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH TYNESIDE PCT,HAFS-9758,20900000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BLACKPOOL PCT,HAFS-9637,21209000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,HAFS-9723,21350000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WARRINGTON PCT,HAFS-9780,22200000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MIDDLESBOROUGH PCT,HAFS-9711,22500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BEXLEY CARE TRUST,HAFS-9634,23000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HAMMERSMITH AND FULHAM PCT,HAFS-9678,23000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH SOMERSET PCT,HAFS-9727,23000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),RICHMOND AND TWICKENHAM PCT,HAFS-9743,23000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),STOCKTON-ON-TEES TEACHING PCT,HAFS-9764,23000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-9718,23100000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH STAFFORDSHIRE PCT,HAFS-9728,23500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEREFORDSHIRE PCT,HAFS-9687,24000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),PETERBOROUGH PCT,HAFS-9738,24000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BARNSLEY PCT,HAFS-9628,25000000,,,
