Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,02/01/2015,"4,907,375","35,037.72",BRITISH CHAMBER OF COMMERCE FOR MOROCCO,UKTI HQ Allocation- DSO
FCO,FCO,02/01/2015,"4,907,786","133,343.90",ALPHA ARMOURING PANZERUNG GMBH,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/01/2015,"4,907,789","135,725.10",ALPHA ARMOURING PANZERUNG GMBH,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/01/2015,"4,909,332","781,015",BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/01/2015,"4,909,383","178,675",DE LA RUE INTERNATIONAL LTD TA DE LA RUE IDENTITY SYSTEMS,Information Systems Maintenance
FCO,FCO,02/01/2015,"4,909,466","33,580",CARBON TRUST ADVISORY LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/01/2015,"4,909,475","132,382",NATIONAL ASSEMBLY FOR WALES,Health And Safety
FCO,FCO,02/01/2015,"4,909,485","62,731.67",QUINTESSENTIALLY LIFESTYLE UK LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/01/2015,"4,909,571","29,190",PACE FUELCARE LIMITED,Fuel Oil Non-Residential
FCO,FCO,02/01/2015,"4,909,625","373,080",MEXICHEM UK LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/01/2015,"4,904,075","34,861.06",Peoples Action for Free and Fair Elections PAFFREL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/01/2015,"4,905,599","25,867.99",CHINA SHENZHEN EMISSION EXCHANGE CO. LTD.,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/01/2015,"4,906,229","101,980",POWER ELECTRICS GENERATORS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,05/01/2015,"4,907,016","48,808.47",JAGUAR LAND ROVER OSLO,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,05/01/2015,"4,907,022","32,413.64",JAGUAR LAND ROVER OSLO,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,05/01/2015,"4,908,914","26,980.26",SEHED FASAD AB,Construction Project more than £10k
FCO,FCO,05/01/2015,"4,909,333","394,318.10",STRUCTURE TONE SOUTHWEST INC,Assets Under Construction (Oracle PA Control Account)
