Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,
Cabinet Office,CABINET OFFICE,02/01/2015,CONSULTANTS VAT RECOVERABLE,GPU POLICY AND STRATEGY ADMIN,INVESTMENT PROPERTY DATABANK LTD,3000055844,110000.00,Supply of bench mark data and support,,,,,
Cabinet Office,CABINET OFFICE,02/01/2015,CONSULTANTS VAT RECOVERABLE,GPU POLICY AND STRATEGY ADMIN,INVESTMENT PROPERTY DATABANK LTD,3000055844,110000.00,Supply of bench mark data and support,,,,,
Cabinet Office,CABINET OFFICE,02/01/2015,RESOURCE GRANTS PRIVATE SECTOR,GDS ID ASSURANCE,OPEN IDENTITY EXCHANGE UK LTD,3000055836,200000.00,Open Identity Exchange membership for GOV.UK Verify Identity Assurance Programme,,,,,
Cabinet Office,CABINET OFFICE,02/01/2015,SOFTWARE LEASE/LICENSE,CCS RESILIENT TELECOMMUNICATIONS,ORDNANCE SURVEY,3000055862,480000.00,Resilience Direct Development of Mapping. Development of a multi agency real time mapping application to allow users to overlay data on Ordnance Survey basemaps and access key national datasets,,,,,
Cabinet Office,CABINET OFFICE,02/01/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000055834,2944547.41,Civil Service pension administration services,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,CAPITA BUSINESS SERVICES LTD,3000055890,26218.99,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,"FURNITURE, FIXTURES & FITTINGS (NON-PRIME)",REFURBISHMENT NO 10,BOUYGUES E&S FM UK LTD,3000055872,28231.81,Estate Services,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,CONSULTANTS VAT RECOVERABLE,ERG STRATEGY,PRICEWATERHOUSE COOPERS LLP,3000055889,34667.00,Savings Measurement and Benefits Realisation support costs,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,OTHER TRAVEL COSTS,OVERSEAS MISSIONS,FOREIGN & COMMONWEALTH OFFICE,3000055901,39493.12,Official travel,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,KAINOS SOFTWARE LTD,3000055866,75040.00,Individual Electoral Registration Live Service development costs,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,FM CONTRACT VARIABLE,REFURBISHMENT NO 10,BOUYGUES E&S FM UK LTD,3000055872,78436.95,Estate Services,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,ADDITIONSAUC F/H NON RES BLDGS,MODERNISATION PROGRAMME DS 13/14,BOUYGUES E&S FM UK LTD,3000055872,157998.25,Estate Services,,,,,
