Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/07/2011,External Consultancy Fees,INFORMATICS,QI CONSULTING,13195815,316181.5,
Department of Health,Department of Health,01/07/2011,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,13188084,43166.66,
Department of Health,Department of Health,01/07/2011,External Data Contracts,INFORMATICS,CENTRAL OFFICE OF INFORMATION (COI),13143549,29169.65,
Department of Health,Department of Health,01/07/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,2146001-18-JUL-11,57002.42,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE","ASHTON, LEIGH & WIGAN PCT",HAFS-10882,41000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BARKING AND DAGENHAM PCT,HAFS-10883,30000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BARNET PCT,HAFS-10884,32000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BARNSLEY PCT,HAFS-10885,25000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BASSETLAW PCT,HAFS-10886,12000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BATH & NORTH EAST SOMERSET PCT,HAFS-10887,18000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BEDFORDSHIRE PCT,HAFS-10888,50000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BERKSHIRE EAST PCT,HAFS-10889,40110000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BERKSHIRE WEST PCT,HAFS-10890,51300000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BEXLEY CARE TRUST,HAFS-10891,24000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BIRMINGHAM EAST AND NORTH PCT,HAFS-10892,63000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,HAFS-10893,20800000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BLACKPOOL PCT,HAFS-10894,22322000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BOLTON PCT,HAFS-10895,38000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BOURNEMOUTH & POOLE PCT,HAFS-10896,40000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BRADFORD AND AIREDALE PCT,HAFS-10897,76500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BRENT TEACHING PCT,HAFS-10898,40000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BRIGHTON & HOVE CITY TEACHING PCT,HAFS-10899,34000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BRISTOL PCT,HAFS-10900,65000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BROMLEY PCT,HAFS-10901,35500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BUCKINGHAMSHIRE PCT,HAFS-10902,50000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",BURY PCT,HAFS-10903,22500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",CALDERDALE PCT,HAFS-10904,23500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",CAMBRIDGESHIRE PCT,HAFS-10905,79000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",CAMDEN PCT,HAFS-10906,30000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",CENTRAL & EASTERN CHESHIRE PCT,HAFS-10907,52000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",CENTRAL LANCASHIRE PCT,HAFS-10908,54500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",CITY AND HACKNEY TEACHING PCT,HAFS-10909,45000000,
