Department ,Entity,Payment Date,Transaction number,Invoice Amount ,Supplier,Account Description
FCO,FCO,05/07/2013,4358989,"40,902.09",CENTRE FOR POLICY ALTERNATIVES CPA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/07/2013,4359037,"33,868.21",REDAN PETROLEUM,Fuel Oil Non-Residential
FCO,FCO,05/07/2013,4359134,"167,963",CENTRE FOR HUMANITARIAN DIALOGUE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/07/2013,4359139,"125,969.80",RESPONDING TO CONFLICT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/07/2013,4359168,"160,548.60",NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/07/2013,4359564,"39,423.93",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/07/2013,4359666,"41,997.58",BRIGHT HORIZONS FAMILY SOLUTION LTD,FCO KCS Nursery
FCO,FCO,03/07/2013,4359673,"367,416",FCO SERVICES,Postal Services
FCO,FCO,03/07/2013,4359706,"75,114.75",FCO SERVICES,Postal Services
FCO,FCO,03/07/2013,4359721,"26,995.63",DIVAN OTEL,Sponsorship (Income and Expenditure)
FCO,FCO,03/07/2013,4359726,"125,562",FCO SERVICES,Misc Security Payments
FCO,FCO,05/07/2013,4359728,"108,501.20",AL FUTTAIM CARILLION LLC,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/07/2013,4359730,"105,983",FCO SERVICES,Misc Security Payments
FCO,FCO,03/07/2013,4359839,"100,000",FINANCIAL TIMES LIMITED,Energy Saving Measures
FCO,FCO,03/07/2013,4359864,"27,454",ARTICLE 19,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/07/2013,4359995,"38,491.69",THE CLIMATE GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/07/2013,4360182,"101,865",SINVEST HARMINCAD 6 KFT,Rental Payments - non residential
FCO,FCO,04/07/2013,4360189,"27,601.17",MOSENERGOSBYT OAO,"Electricity Non-Residential, Electricity Residential"
FCO,FCO,03/07/2013,4360928,"67,416.17",LUCONEX SRL,Rental Payments - non residential
FCO,FCO,04/07/2013,4361152,"557,089.20",RAABTA CONSULTANTANTS PVT LTD OPS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,24/07/2013,4361269,"39,681",DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/07/2013,4362054,"61,807.60",HARIS ENTERPRISES PVT LTD,Local Guards
FCO,FCO,07/07/2013,4362315,"98,645.27",DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/07/2013,4362403,"71,302.38",CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,05/07/2013,4362424,"32,990.97",CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,05/07/2013,4362673,"65,368.52",CRANFIELD UNIVERSITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/07/2013,4362762,"25,227",THE CLIMATE GROUP,Programme Spend (Oracle Projects Control Account)
