Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/07/13,Research and Development (VAT recoverable),ERG STRATEGY AND MANAGEMENT INFORMATION,INSTITUTE FOR PUBLIC POLICY RESEARCH,3000037614,27778.11,"Cost of research into how civil services work abroad, particularly regarding accountability, to inform civil service reform (the report can be found at:https://www.gov.uk/government/publications/accountability-and-responsiveness-in-the-senior-civil-service)",WC2N 6DF,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/07/13,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,GOOGLE IRELAND LTD,3000037617,30000.00,Software development ,IRELAND,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/07/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000037600,47048.03,Public Service Network development and support ,SL6 1DP,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/07/13,ADDITIONS IT HARDWARE,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000037599,47326.57,GOV.UK development cost ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/07/13,LEGAL ADVICE FROM TSOL,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000037604,219991.00,Legal services,WC2B 4TS,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/07/13,CONSULTANTS VAT RECOVERABLE,PRIME MINISTERS OFFICE,EVOLVE BUSINESS CONSULTANCY,3000037641,25650.00,Upgrading printing and spell checking services,GU10 1DW,SME,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/07/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,ALPINE CONSORTIUM,3000037656,27000.00,"Commercial, Procurement, communication and technical support for the Government's G-Cloud Service",EC4A 2BA,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/07/13,BRIDGES SOCIAL ENTREPRENEURS FUND ADDITIONS,OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000037654,60953.78,Investment in the risk capital fund for social enterprise ,W2 3EN,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/07/13,INSIGNIA COSTS,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000037675,67422.00,Central Chancery costs for the administration of Honours,SW1A 1AA,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/07/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,YOUTHNET UK,3000037674,162148.00,Do-It Project Grant ,EC1Y 8RT,Large,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
