Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,01/07/2014,PUBLICITY ADVERTISING MEDIA,NCS OTHER,M4C,3000050209,28301.92,Radio advertising for promotion of National Citizen Service ,WC1X8RX,SME,#N/A
Cabinet Office,CABINET OFFICE,01/07/2014,OTHER IS IT COSTS VAT RECOV,G CLOUD,HOME OFFICE,3000050227,84185,G-Cloud Assurance Assessment,SW1P4DF,Government Department,Programme
Cabinet Office,CABINET OFFICE,01/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,AYRSHIRE VALUATION JOINT BOARD,3000050219,149174,Payment to fund the implementation of Individual Electoral Registration in 2014-15,KA72PL,#N/A,Grants
Cabinet Office,CABINET OFFICE,02/07/2014,TELECOM RENTALS,PMO ICTS,BT,3000050256,30133.51,Line rental and call charges  ,SK14LW,large,Admin
Cabinet Office,CABINET OFFICE,02/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA RESOURCING LTD,3000050247,36295.07,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,02/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA RESOURCING LTD,3000050247,38517.2,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,02/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000050247,87499.49,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,02/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,DUNDEE CITY COUNCIL,3000050244,91950,Payment to fund the implementation of Individual Electoral Registration in 2014-15,ERS DD13BY,#N/A,Grants
Cabinet Office,CABINET OFFICE,02/07/2014,OTHER IS IT COSTS VAT RECOV,ERTP ERO DIGITAL,SPECIALIST COMPUTER CENTRE PLC,3000050259,93831.27,Delivery of digital capability to support the business change from household to Individual Electoral Registration ,B112LE,Large,Programme
Cabinet Office,CABINET OFFICE,02/07/2014,GRANT IN AID PRIVATE SECTOR,GRANT PAYMENTS,THE CHEQUERS ESTATE,3000050258,173750,Grant in Aid - Chequers,ERS HP17,Government Department,Grants
Cabinet Office,CABINET OFFICE,03/07/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,DEVONSHIRE APPOINTMENTS LTD,3000050300,26325,Managed services for GOV.UK,EC3V0AA,Large,Programme
Cabinet Office,CABINET OFFICE,03/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DATA GOV UK,CAPITA RESOURCING LTD,3000050306,26392.5,data.gov.uk maintenance charges,SL61DP,Large,Admin
Cabinet Office,CABINET OFFICE,03/07/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,TAYSIDE VALUATION JOINT BOARD,3000050304,26960.4,IT and hardware requirements resulting from the  introduction of Individual Electoral Registration,ERS DD14BU,Large,Programme
Cabinet Office,CABINET OFFICE,03/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA BUSINESS SERVICES LTD,3000050297,28726.52,Payment for interim IT specialists,#N/A,Large,Programme
Cabinet Office,CABINET OFFICE,03/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,SCOTTISH BORDERS COUNCIL,3000050322,38921,Payment to fund the implementation of Individual Electoral Registration in 2014-15,TD60SA,#N/A,Grants
Cabinet Office,CABINET OFFICE,03/07/2014,FM CONTRACT VARIABLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000050305,40117.78,Facilities Management Services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,03/07/2014,OTHER IS IT COSTS VAT RECOV,G CLOUD,6POINT6 LTD,3000050295,68908.25,Managed services to support G-Cloud,SE13UY,SME,Programme
Cabinet Office,CABINET OFFICE,03/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,TAYSIDE VALUATION JOINT BOARD,3000050304,98316,Payment to fund the implementation of Individual Electoral Registration in 2014-15,ERS DD14BU,Non-SME,Grants
Cabinet Office,CABINET OFFICE,03/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,FIFE COUNCIL,3000050323,133919,Payment to fund the implementation of Individual Electoral Registration in 2014-15,KY75LT,#N/A,Grants
Cabinet Office,CABINET OFFICE,03/07/2014,SUNNINGDALE PARK PFI CHARGE,NSG TRANSITION COSTS,DE VERE VENUES LTD,3000050292,138192.99,PFI Service Charge,W1B1PU,large,Admin
Cabinet Office,CABINET OFFICE,03/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,LOTHIAN VALUATION JOINT BOARD,3000050314,596595,Estate services ,EH129FL,Non-SME,Grants
Cabinet Office,CABINET OFFICE,04/07/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,HIGHLAND & WESTERN ISLES VALUATION JOINT BOARD,3000050347,25910.4,IT and hardware requirements resulting from the  introduction of Individual Electoral Registration,IV11QY,#N/A,Programme
Cabinet Office,CABINET OFFICE,04/07/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,DUMFRIES & GALLOWAY,3000050350,29517.16,IT and hardware requirements resulting from the introduction of Individual Electoral Registration,ERS DG12HP,#N/A,Programme
Cabinet Office,CABINET OFFICE,04/07/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,PA CONSULTING SERVICES LTD,3000050337,34025,Support under the mutuals support programme,SW1W9SR,SME,Programme
Cabinet Office,CABINET OFFICE,04/07/2014,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RKCR Y&R,3000050382,35000,GREAT Campaign,NW17QP,Non-SME,Programme
Cabinet Office,CABINET OFFICE,04/07/2014,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000050353,37008.73,Facilities Management Services ,BN11HG,Large,Admin
