Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,02/06/2015,"5,077,587","-88,750",CAPITA GROUP PLC,"HR, Training and Education Consultancy"
FCO,FCO,02/06/2015,"5,077,537","-28,700",TECHUK,Exhibitions
FCO,FCO,02/06/2015,"5,077,143","26,526.73",ELSAM,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/06/2015,"5,076,894","32,730.87",PILGRIMS AFRICA LTD,Local Guards
FCO,FCO,02/06/2015,"5,077,594","37,440",SHIFT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/06/2015,"5,077,614","50,000",ORGANISATION FOR ECONOMIC CO OPERATION AND DEVELOPMENT OECD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/06/2015,"5,077,097","88,517.65",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/06/2015,"5,077,160","107,095.40",BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/06/2015,"5,077,558","109,940.30",ARTICLE 19,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/06/2015,"5,076,961","141,748",CAPITA PROPERTY AND INFRASTRUCTURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/06/2015,"5,077,155","242,000",MAYORS OFFICE FOR POLICING AND CRIME MOPC,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,03/06/2015,"5,078,436","26,480",HEATHROW AIRPORT LIMITED,Inward visits to the UK and UK Conferences
FCO,FCO,03/06/2015,"5,078,747","26,712",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/06/2015,"5,078,247","29,812.36",NATIONAL JUDGES COLLEGE TRAINING CENTRE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/06/2015,"5,078,693","37,320.53",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/06/2015,"5,078,194","41,666.90",HARIS ENTERPRISES PVT LTD,Local Guards
FCO,FCO,03/06/2015,"5,078,722","45,675",FCO SERVICES,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,03/06/2015,"5,079,470","45,899.61",NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/06/2015,"5,078,256","49,580.62",ACACIA HEALTH INSURANCE,Subsidy To Local Medical Schemes
FCO,FCO,03/06/2015,"5,078,678","53,282.19",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/06/2015,"5,078,758","55,061.41",OCDE OECD,Rental Payments - non residential
FCO,FCO,03/06/2015,"5,078,833","69,587.56",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/06/2015,"5,078,547","77,636.51",KOIZA INTERNATIONAL LTD,Property Maintenance Overseas Residential
FCO,FCO,03/06/2015,"5,078,870","78,339.69",FCO SERVICES,Security: Works Non-Residential
FCO,FCO,03/06/2015,"5,078,838","80,105",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/06/2015,"5,078,694","82,152.40",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/06/2015,"5,078,836","84,723",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/06/2015,"5,078,615","91,477.50",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,03/06/2015,"5,078,769","91,754.45",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/06/2015,"5,078,647","193,792",FCO SERVICES,Misc Security Payments
FCO,FCO,03/06/2015,"5,078,616","275,977",COMPUTACENTER UK LTD,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,03/06/2015,"5,078,736","1,166,567",FCO SERVICES,Residential Property Services
FCO,FCO,04/06/2015,"5,079,775","27,467.14",TANESTATES LTD,Rental Payments - residential
FCO,FCO,04/06/2015,"5,080,208","27,537.68",QUEEN MARY & WESTFIELD COLLEGE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/06/2015,"5,080,209","29,237.11",QUEEN MARY & WESTFIELD COLLEGE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/06/2015,"5,080,157","30,267.05",CAPITA BUSINESS SERVICES LTD,Language Exams (excl Hays)
FCO,FCO,04/06/2015,"5,079,968","33,572.14",DX NETWORK SERVICES,Postal Services
FCO,FCO,04/06/2015,"5,079,935","39,999",CENTRE INTERNATIONAL PRIVATE ENTERPRISE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/06/2015,"5,080,140","40,057.18",CAPITA BUSINESS SERVICES LTD,Language Exams (excl Hays)
FCO,FCO,04/06/2015,"5,079,372","43,608.28",INDONESIAN CORRUPTION WATCH,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/06/2015,"5,079,550","51,020.24",GRAEBECK CONSTRUCTION LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,04/06/2015,"5,079,532","111,618.30",AFRICAN SKIES LTD,Local Guards
FCO,FCO,04/06/2015,"5,079,812","154,806",MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,04/06/2015,"5,080,181","178,254",CAPGEMINI UK PLC,Estates Management Services
FCO,FCO,04/06/2015,"5,080,192","178,254",CAPGEMINI UK PLC,Estates Management Services
FCO,FCO,05/06/2015,"5,080,890","33,419",CLIMATE PARLIAMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/06/2015,"5,081,453","47,297.37",IISD INTERNATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/06/2015,"5,081,373","910,558.30",GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,05/06/2015,"5,081,111","1,028,020",BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,08/06/2015,"5,082,948","25,087.77",JORDAN AND BATEMAN ARCHITECTS,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,08/06/2015,"5,083,052","25,757.20",SECURITAS SAC,Local Guards
FCO,FCO,08/06/2015,"5,082,366","30,867.83",G4S SECURITY SERVICE DRC SPRL,Local Guards
FCO,FCO,08/06/2015,"5,082,373","30,867.83",G4S SECURITY SERVICE DRC SPRL,Local Guards
FCO,FCO,08/06/2015,"5,083,117","41,710",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
FCO,FCO,08/06/2015,"5,082,905","43,559.10",CROWN AGENTS FINANCIAL SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/06/2015,"5,083,123","47,262",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
FCO,FCO,08/06/2015,"5,082,738","52,285.10",CONTROL RISKS GROUP,Local Guards
FCO,FCO,08/06/2015,"5,082,681","61,120.56",WORLD RESOURCES INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/06/2015,"5,083,045","71,497.91",FCO SERVICES,Construction Project more than ¶œ10k
FCO,FCO,08/06/2015,"5,082,163","87,493.09",NO LEMON LTD,Vehicles Miscellaneous
FCO,FCO,08/06/2015,"5,082,933","105,963.60",HEALIX INTERNATIONAL LTD,Fco Healthcare Scheme
FCO,FCO,08/06/2015,"5,083,134","144,528.50",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/06/2015,"5,082,886","188,134.60",LONDON ENERGY,Electricity Non-Residential
FCO,FCO,08/06/2015,"5,083,070","216,103.60",NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/06/2015,"5,082,952","359,866",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
FCO,FCO,09/06/2015,"5,084,623","31,004.18",NATIONAL INSTITUTE OF HOSPITAL ADMINISTRATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/06/2015,"5,085,380","32,382.34",FUNDACAO ESCOLA DE SOCIOLOGIA E POLITICA DE SAO PAULO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/06/2015,"5,084,896","32,730.87",PILGRIMS AFRICA LTD,Local Guards
FCO,FCO,09/06/2015,"5,085,063","37,311.19",INTER MEDIATE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/06/2015,"5,085,253","54,886.40",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,09/06/2015,"5,085,218","56,736.17",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,09/06/2015,"5,085,227","59,863.86",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,09/06/2015,"5,085,286","641,012.30",G4S RISK MANAGEMENT LTD,UK Guarding Contracts Overseas
FCO,FCO,09/06/2015,"5,085,405","666,629.70",MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/06/2015,"5,085,282","906,733.20",G4S RISK MANAGEMENT LTD,UK Guarding Contracts Overseas
FCO,FCO,10/06/2015,"5,086,655","-80,105",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/06/2015,"5,086,651","34,240",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/06/2015,"5,086,810","44,919",DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/06/2015,"5,086,575","75,114.75",FCO SERVICES,Postal Services
FCO,FCO,10/06/2015,"5,085,903","87,159.20",ICRIER-INDIAN COUNCIL FOR RESEARCH ON INTERNATIONAL ECONOMIC RELATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/06/2015,"5,086,824","136,292.10",BEI JING YA ZHOU JIE CHENG ZHUANG,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/06/2015,"5,087,754","28,479.52",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,11/06/2015,"5,088,144","31,407.46",FIRST GULF PROPERTIES,Rental Payments - residential
FCO,FCO,11/06/2015,"5,087,682","45,051.65",PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/06/2015,"5,088,551","46,500",CBRE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/06/2015,"5,087,794","63,076.10",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,11/06/2015,"5,088,075","66,572.50",COMPUTACENTER UK LTD,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,11/06/2015,"5,088,070","87,685",COMPUTACENTER UK LTD,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,11/06/2015,"5,087,902","92,894.83",CRISIS MANAGEMENT INITIATIVE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/06/2015,"5,087,848","97,442.54",JOHN SMITH MEMORIAL TRUST,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/06/2015,"5,088,196","100,000",UNDP MULTI PARTNER TRUST FUND OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/06/2015,"5,087,717","103,446.60",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,11/06/2015,"5,088,478","118,597.20",AEGIS DEFENCE SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/06/2015,"5,088,476","119,151.50",AEGIS DEFENCE SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/06/2015,"5,088,543","174,362.80",COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,11/06/2015,"5,087,920","215,957",AEGIS DEFENCE SERVICES LTD,"Misc Security Payments, Payments On Behalf Of Other External Orgns, UK Guarding Contracts Overseas"
FCO,FCO,11/06/2015,"5,087,982","328,834.60",WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/06/2015,"5,089,566","27,416.06",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,12/06/2015,"5,089,324","30,296.32",INTERSERVE FM LTD,Construction Project more than ¶œ10k
FCO,FCO,12/06/2015,"5,089,445","32,905.25",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,12/06/2015,"5,089,451","33,035.10",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
