Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type,
DEFRA,MMO Marine Management Organisation,27/04/2012,Rents to Landlords,MMO Operations Support Directorate,D T Z,34939,"£81,252.19",Marine Management Organisation January to March 2012 estates charges including rent and utilities,B4 6AJ,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,10/04/2012,Internal audit contract,MMO Operations Support Directorate,DEFRA,195656,"£86,016.00",Internal audit work carried out by Defra's internal audit division in 2011/12,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,17/04/2012,Other Current Payments E,MMO Operations Directorate - Marine Planning,Natural England,8000007765,"£29,000.00",MMO contribution to the Marina Protected areas in the Atlantic Arc (MAIA) study - Anthropogenic Impact on Seagrass, YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,03/04/2012,Other Pay Costs,MMO Decision Support Directorate,DEFRA,1000013237,"£31,600.36",SALARY RECHARGE OF STAFF COSTS RELATING TO LOANS AND SECONDMENTS from Defra January 2012,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,03/04/2012,Other Pay Costs,MMO Decision Support Directorate,DEFRA,1000013240,"£25,290.67",SALARY RECHARGE OF STAFF COSTS RELATING TO LOANS AND SECONDMENTS from Defra March 2012,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,03/04/2012,Other Pay Costs,MMO Decision Support Directorate,DEFRA,1000013238,"£25,290.67",SALARY RECHARGE OF STAFF COSTS RELATING TO LOANS AND SECONDMENTS from Defra February 2012,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,11/04/2012,Other Current Payments E,MMO Operations Support Directorate,A M Seafoods Ltd,FEF0674,"£30,511.56",European Fisheries Fund grant payment,FY7 6NS,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,27/04/2012,Other Current Payments E,MMO Operations Support Directorate,Western Training Association,FEF0560190412,"£27,556.20",European Fisheries Fund grant payment,PL6 5BX,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,11/04/2012,Other Current Payments E,MMO Operations Support Directorate,North Shields Fish Quay Co Ltd,FEF0178020412,"£27,113.49",European Fisheries Fund grant payment,NE30 1HZ,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,12/04/2012,Other Current Payments E,MMO Operations Support Directorate,Great Grimsby Seafood Village Ltd,FEF0354030412,"£241,500.00",European Fisheries Fund grant payment,DN37 9SZ,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,23/04/2012,Other Current Payments E,MMO Operations Directorate - Director,IBM United Kingdom Ltd,5803121245,"£75,706.90",IBM charges for business process review,GU1 2LD,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,23/04/2012,Other Current Payments E,MMO Operations Directorate - Director,Directflight Ltd,MMO260,"£52,766.13",Marine Management aerial surveillance hours incurred in relation to coastal enforcement - March 2012,MK43 0AL,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,17/04/2012,Other Current Payments E,MMO Operations Directorate - Director,The Scottish Government,86004133,"£61,790.33",Marine Management surface surveillance hours incurred in relation to coastal enforcement - March 2012,EH6 6QQ,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,03/04/2012,Other Current Payments E,MMO Operations Directorate - Director,IBM United Kingdom Ltd,5802120356,"£30,096.01",IBM charges for business process review of coastal operations and compliance,GU1 2LD,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,03/04/2012,Other Current Payments E,MMO Operations Directorate - Director,IBM United Kingdom Ltd,5803120280,"£96,278.16",IBM charges for business process review of coastal operations and compliance,GU1 2LD,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,03/04/2012,Lab & Technical Equipment,MMO Operations Directorate - Director,Datum Electronics Ltd,INV11378,"£59,520.00",Provision of mobilisation and enabling for services and test equipment for the English Fishing Fleet Sea Power Trials,PO32 6RF,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,17/04/2012,Other Current Payments E,MMO Operations Directorate - Director,The Scottish Government,86004316,"£109,630.86",Marine Management surface surveillance hours incurred in relation to coastal enforcement - February 2012,EH6 6QQ,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,05/04/2012,Clearing Construction in Progress (I.T.),MMO Operations Support Directorate,Blue Finger Ltd,741,"£31,199.96",Capital work on the Electronic reporting system,BA5 1AF,SME,,00000000,Asset,
DEFRA,MMO Marine Management Organisation,17/04/2012,Agency IT Services (IBM),MMO Operations Support Directorate,DEFRA,1000014303,"£542,122.06",Recharge of the payment for the services provided by IBM August to November 2012,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,10/04/2012,Other Current Payments E,MMO Operations Support Directorate,DEFRA,1000014081,"£3,283,560.00",Recharge of the payment for the Cefas Higher Level Agreement projects 2011/12,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,10/04/2012,Other Current Payments E,MMO Operations Directorate - Regulation & Licensing,DEFRA,1000014323,"£30,225.60",Recharge of the payment for the Environmental Risk Assessment  provided by Cefas 2011/12,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,03/04/2012,Software Services/Non-Standard Software,MMO Operations Directorate - Regulation & Licensing,Department Of Energy and Climate Change,40008579,"£38,225.48",Quarter 3 recharge by Department Of Energy and Climate Change for the Shared Services Division charges,CF3 0LW,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,10/04/2012,Other Current Payments E,MMO Operations Directorate - Regulation & Licensing,DEFRA,1000014325,"£41,815.20",Recharge for pre-application aggregates licence checks ,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,10/04/2012,Other Current Payments E,MMO Operations Directorate - Regulation & Licensing,C E F A S,8001853,"£100,163.10",Licensing guidance project costs,NR33 0HT,,,00000000,Expense,
