Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
DEFRA,MMO Marine Management Organisation,21/08/2012,FM Projects Non Capital Works,MMO Operations Support Directorate,D T Z,36642," £42,132.04 ",Marine Management Organisation April to July 2012 estates charges including rent and utilities,B4 6AJ,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,07/08/2012,Other Current Payments E,MMO Operations Directorate - Marine Planning,DEFRA,1000018086," £44,613.60 ",Recharge of the payment for the evaluation of distribution of Fisheries Tasks  provided by Cefas 2012,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,21/08/2012,Other Current Payments E,MMO Operations Support Directorate,Warners Fish Merchants Ltd,FEF05239285472," £92,854.72 ",European Fisheries Fund grant payment,DN5 9EL,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,07/08/2012,Other Current Payments E,MMO Operations Support Directorate,Warners Fish Merchants Ltd,FEF0523010812B," £68,344.64 ",European Fisheries Fund grant payment,DN5 9EL,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,07/08/2012,Other Current Payments E,MMO Operations Support Directorate,Warners Fish Merchants Ltd,FEF05230108126317406," £63,174.06 ",European Fisheries Fund grant payment,DN5 9EL,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,07/08/2012,Other Current Payments E,MMO Operations Support Directorate,Warners Fish Merchants Ltd,FEF0523010812," £35,830.16 ",European Fisheries Fund grant payment,DN5 9EL,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,23/08/2012,Other Current Payments E,MMO Operations Support Directorate,Nigel Stead Fishing Ltd,FEF0151," £25,200.44 ",European Fisheries Fund grant payment,DN31 3TN,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,07/08/2012,Other Current Payments E,MMO Operations Support Directorate,Warners Fish Merchants Ltd,FEF0523010812A," £70,622.20 ",European Fisheries Fund grant payment,DN5 9EL,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,21/08/2012,Other Current Payments E,MMO Operations Support Directorate,Warners Fish Merchants Ltd,FEF05233541480," £35,414.80 ",European Fisheries Fund grant payment,DN5 9EL,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,09/08/2012,Other Current Payments E,MMO Operations Support Directorate,The Blue Sea Food Company Ltd,FEF0544," £80,705.20 ",European Fisheries Fund grant payment,TQ4 7HP,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,09/08/2012,Other Current Payments E,MMO Operations Support Directorate,Cornwall Council,030812," £161,224.61 ",European Fisheries Fund grant payment,TR1 3AY,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,01/08/2012,Other Current Payments E,MMO Operations Support Directorate,Grimsby Fish Dock Enterprises Ltd.,FEF052410399902," £103,999.02 ",European Fisheries Fund grant payment,DN31 3QJ,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,07/08/2012,Other Current Payments E,MMO Operations Directorate - Director,The Scottish Government,86004825," £109,010.81 ",Marine Management aerial surveillance hours incurred in relation to coastal enforcement - March to June 2012,EH6 6QQ,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,13/08/2012,Other Current Payments E,MMO Operations Directorate - Director,Ministry Of Defence,7271094," £2,062,500.00 ",Marine Management offshore surveillance hours incurred in relation to coastal enforcement - April to June 2012,L2 3YL,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,13/08/2012,Other Current Payments E,MMO Operations Directorate - Director,IBM United Kingdom Ltd,5806121859," £163,786.19 ",Payment of the Strategic Business Process Review completed by IBM for the Marine Management Organisation,GU1 2LD,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,17/08/2012,Other Current Payments E,MMO Operations Directorate - Director,Directflight Ltd,MMO269," £35,546.54 ",Marine Management aerial surveillance hours incurred in relation to coastal enforcement  July 2012,MK43 0AL,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,07/08/2012,Agency IT Services (IBM),MMO Operations Support Directorate,DEFRA,1000017969," £279,628.45 ",Recharge of the payment for the services provided by IBM January to February 2012,YO1 7PX,,,00000000,Expense,
