,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,MMO Marine Management Organisation,06/09/2012,Software Services/Non-Standard Software,MMO Decision Support Directorate,University Of Plymouth,6037475," £50,000.00 ",Contribution to a project being administered by University of Plymouth,PL4 8AA,,,00000000,Expense,,
DEFRA,MMO Marine Management Organisation,28/09/2012,Redfern Suspense,MMO Balance Sheet Directorate,Redfern Travel Ltd,038742," £40,980.58 ","Hotel, rail and air charges for Marine Management Organisation for July 2012",BD1 3AZ,SME,,00000000,Asset,,
DEFRA,MMO Marine Management Organisation,04/09/2012,Redfern Suspense,MMO Balance Sheet Directorate,Redfern Travel Ltd,034634," £38,225.18 ","Hotel, rail and air charges for Marine Management Organisation for May 2012",BD1 3AZ,SME,,00000000,Asset,,
DEFRA,MMO Marine Management Organisation,18/09/2012,Redfern Suspense,MMO Balance Sheet Directorate,Redfern Travel Ltd,040499," £31,102.02 ","Hotel, rail and air charges for Marine Management Organisation for August 2012",BD1 3AZ,SME,,00000000,Asset,,
DEFRA,MMO Marine Management Organisation,10/09/2012,Contracted out services non IT,MMO Operations Support Directorate,DEFRA,1000016748," £156,051.60 ",Recharge of the payment for the services provided by Shared Services Directorate April to June 2012,YO1 7PX,,,00000000,Expense,,
DEFRA,MMO Marine Management Organisation,12/09/2012,Other Current Payments E,MMO Operations Directorate - Marine Planning,Hyder Consulting UK Ltd,IUG00011498," £32,316.00 ",Provision of the development; management and production of Sustainability Appraisal (SA) for the Marine Management Organisation ,CF3 0EY,,15407,00000000,Expense,,
DEFRA,MMO Marine Management Organisation,04/09/2012,Other Pay Costs,MMO Decision Support Directorate,DEFRA,1000018567," £25,310.61 ",Salary recharge of staff costs relating to loans and secondments from Defra July 2012,YO1 7PX,,,00000000,Expense,,
DEFRA,MMO Marine Management Organisation,14/09/2012,Other Current Payments E,MMO Operations Directorate - Director,Directflight Ltd,MMO270," £34,022.58 ",Marine Management aerial surveillance hours incurred in relation to coastal enforcement  August 2012,MK43 0AL,SME,,00000000,Expense,,
DEFRA,MMO Marine Management Organisation,25/09/2012,Other Current Payments E,MMO Operations Directorate - Director,Trackwell Ltd,R122336," £28,080.00 ",Provision of Vessel Monitoring System for the Marine Management Organisation,105,SME,,00000000,Expense,,
DEFRA,MMO Marine Management Organisation,18/09/2012,Clearing Construction in Progress (I.T.),MMO Operations Support Directorate,IBM United Kingdom Ltd,5808120298," £195,268.54 ",Marine Management Organisation business requirements review completed by IBM 6/4/12-25/5/12 ,GU1 2LD,,,00000000,Asset,,
DEFRA,MMO Marine Management Organisation,18/09/2012,Clearing Construction in Progress (I.T.),MMO Operations Support Directorate,IBM United Kingdom Ltd,5808120299," £145,444.84 ",Marine Management Organisation project support resources provided by IBM 6/4/12-25/5/12 ,GU1 2LD,,,00000000,Asset,,
DEFRA,MMO Marine Management Organisation,18/09/2012,Clearing Construction in Progress (I.T.),MMO Operations Support Directorate,IBM United Kingdom Ltd,5808120300," £65,499.04 ",Marine Management Organisation project support resources provided by IBM 01/06/2012 to 22/06/2012 ,GU1 2LD,,,00000000,Asset,,
DEFRA,MMO Marine Management Organisation,18/09/2012,Clearing Construction in Progress (I.T.),MMO Operations Support Directorate,IBM United Kingdom Ltd,5808120297," £85,621.91 ",Marine Management Organisation business requirements review completed by IBM 01/06/2012 to 22/06/2012 ,GU1 2LD,,,00000000,Asset,,
