Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01-Mar-11,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),732417,90983,
Department of Health,Department of Health,01-Mar-11,Other programme expenditure,Health Protection and Improvement,HEALTH PROTECTION AGENCY (HPA),5291452,60601,
Department of Health,Department of Health,01-Mar-11,Revenue Grant in Aid to NDPBs,Health Protection and Improvement,HUMAN FERTILISATION AND EMBRYOLOGY AUTHORITY (HFEA),Feb-11,72025,
Department of Health,Department of Health,01-Mar-11,Capital Grant in AID to NDPBs,Health Protection and Improvement,HUMAN FERTILISATION AND EMBRYOLOGY AUTHORITY (HFEA),Feb-11,15000,
Department of Health,Department of Health,01-Mar-11,Revenue Grants to Other Bodies,Health Protection and Improvement,RURAL PAYMENTS AGENCY (RPA),328799,59538.59,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,ATOS ORIGIN IT SERVICES UK LTD,5584074472,67752.29,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,BT GROUP PLC,CHAPS1/3/11,149244.93,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,BT GROUP PLC,260715,122265.32,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,BT GROUP PLC,260726,155610.44,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,BT GROUP PLC,260734,57704.25,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201222076,88323.68,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201197121,190053.04,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201201134,190053.04,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201204789,190053.04,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201211727,190053.04,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201214452,190053.04,
Department of Health,Department of Health,01-Mar-11,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201217447,190053.04,
Department of Health,Department of Health,01-Mar-11,Addition Clearing - IT,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201222076,78018.12,
Department of Health,Department of Health,01-Mar-11,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1853003-18-MAR-11,83268.93,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance","ASHTON, LEIGH & WIGAN PCT",HAFS-10021,45111000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BARKING AND DAGENHAM PCT,HAFS-10022,18000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BARNET PCT,HAFS-10023,46500000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BARNSLEY PCT,HAFS-10024,40000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BASSETLAW PCT,HAFS-10025,19500000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BATH & NORTH EAST SOMERSET PCT,HAFS-10026,25000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BEDFORDSHIRE PCT,HAFS-10027,47000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BERKSHIRE EAST PCT,HAFS-10028,43650000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BERKSHIRE WEST PCT,HAFS-10029,61460000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BEXLEY CARE TRUST,HAFS-10030,28000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BIRMINGHAM EAST AND NORTH PCT,HAFS-10031,64000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,HAFS-10032,22000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BLACKPOOL PCT,HAFS-10033,17528000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BOLTON PCT,HAFS-10034,39000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BOURNEMOUTH & POOLE PCT,HAFS-10035,47660000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BRADFORD AND AIREDALE PCT,HAFS-10036,85091000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BRENT TEACHING PCT,HAFS-10037,43000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BRIGHTON & HOVE CITY TEACHING PCT,HAFS-10038,36500000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BRISTOL PCT,HAFS-10039,24000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BROMLEY PCT,HAFS-10040,45000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BUCKINGHAMSHIRE PCT,HAFS-10041,50000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",BURY PCT,HAFS-10042,28000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",CALDERDALE PCT,HAFS-10043,27300000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",CAMBRIDGESHIRE PCT,HAFS-10044,64000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",CAMDEN PCT,HAFS-10045,50370000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",CENTRAL & EASTERN CHESHIRE PCT,HAFS-10046,53000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",CENTRAL LANCASHIRE PCT,HAFS-10047,72000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",CITY AND HACKNEY TEACHING PCT,HAFS-10048,37500000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",CORNWALL & ISLES OF SCILLY PCT,HAFS-10049,67200000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",COUNTY DURHAM PCT,HAFS-10050,81200000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",COVENTRY TEACHING PCT,HAFS-10051,43000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",CROYDON PCT,HAFS-10052,35000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",CUMBRIA PCT,HAFS-10053,38000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",DARLINGTON PCT,HAFS-10054,17600000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",DERBY CITY PCT,HAFS-10055,32000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",DERBYSHIRE COUNTY PCT,HAFS-10056,80000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",DEVON PCT,HAFS-10057,87991000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",DONCASTER PCT,HAFS-10058,37200000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",DORSET PCT,HAFS-10059,44000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",DUDLEY PCT,HAFS-10060,43100000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",EALING PCT,HAFS-10061,50500000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",EAST LANCASHIRE PCT,HAFS-10062,49000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",EAST MIDLANDS SHA,HAFS-10063,56987000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",EAST OF ENGLAND SHA,HAFS-10064,45000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",EAST RIDING OF YORKSHIRE PCT,HAFS-10065,38000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",EAST SUSSEX DOWNS & WEALD PCT,HAFS-10066,42000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",EASTERN & COASTAL KENT PCT,HAFS-10067,78000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",ENFIELD PCT,HAFS-10068,50000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",GATESHEAD PCT,HAFS-10069,35011000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",GLOUCESTERSHIRE PCT,HAFS-10070,75000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",GREAT YARMOUTH AND WAVENY PCT,HAFS-10071,38500000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",GREENWICH TEACHING PCT,HAFS-10072,23000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",HALTON & ST HELENS PCT,HAFS-10073,37000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",HAMMERSMITH AND FULHAM PCT,HAFS-10074,20000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",HAMPSHIRE PCT,HAFS-10075,165000000,
Department of Health,Department of Health,01-Mar-11,CASH FUNDING Rev Inside RAB,"Policy, Strategy and Finance",HARINGEY TEACHING PCT,HAFS-10076,22000000,
