Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier,Account  Description
FCO,FCO,03/03/2015,"4,971,176","Ł37,170.96",BUSINESS + HUMAN RIGHTS RESOURCE CENTRE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/03/2015,"4,971,035","Ł37,249.00",LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,Training Courses
FCO,FCO,03/03/2015,"4,970,982","Ł70,702.09",ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/03/2015,"4,970,729","Ł96,792.92",DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/03/2015,"4,973,555","Ł30,881.88",SUPPLY PLUS,Estates - Other Machinery and Equipment
FCO,FCO,04/03/2015,"4,974,677","Ł43,909.57",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,04/03/2015,"4,973,549","Ł44,977.26",CAPGEMINI UK PLC,Information Systems Maintenance
FCO,FCO,04/03/2015,"4,973,545","Ł45,867.60",CAPGEMINI UK PLC,Information Systems Maintenance
FCO,FCO,04/03/2015,"4,973,648","Ł156,073.00",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,04/03/2015,"4,973,713","Ł210,683.10",OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,05/03/2015,"4,975,011","Ł25,094.35",BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/03/2015,"4,974,934","Ł25,242.23",PACE FUELCARE LIMITED,Fuel Oil Non-Residential
FCO,FCO,05/03/2015,"4,974,692","Ł27,019.99",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,05/03/2015,"4,974,977","Ł28,364.24",PACE FUELCARE LIMITED,Fuel Oil Non-Residential
FCO,FCO,05/03/2015,"4,974,735","Ł32,426.98",TEARFUND,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/03/2015,"4,975,028","Ł43,500.00",VISITBRITAIN,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/03/2015,"4,973,591","Ł45,397.65",ASSOCIATION OF MIDDLE EAST STUDIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/03/2015,"4,975,332","Ł48,888.98",DANISH REFUGEE COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/03/2015,"4,974,981","Ł61,545.00",IISS - INTERNATIONAL INSTITUTE FOR STRATEGIC STUDIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/03/2015,"4,974,681","Ł71,832.28",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,05/03/2015,"4,975,183","Ł103,404.00",COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,05/03/2015,"4,975,341","Ł117,936.60",DANISH REFUGEE COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/03/2015,"4,974,820","Ł118,608.10",PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/03/2015,"4,975,016","Ł156,850.00",JAGUAR LAND ROVER LIMITED,Security: Works Residential
FCO,FCO,05/03/2015,"4,976,304","Ł413,755.90",FIDUCIARIA BOGOTA SA,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,06/03/2015,"4,974,849","-Ł105,071.80",COMPUTACENTER UK LTD,Estates Management Services
FCO,FCO,06/03/2015,"4,974,922","-Ł105,071.80",COMPUTACENTER UK LTD,Estates Management Services
FCO,FCO,06/03/2015,"4,977,469","Ł27,558.08",BRITISH INSTITUTE OF INTERNATIONAL & COMPARATIVE LAW,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06/03/2015,"4,973,229","Ł31,038.40",UAB MOLLER AUTO,"Assets Under Construction (Oracle PA Control Account), Overseas Reclaimable Taxes"
FCO,FCO,06/03/2015,"4,974,548","Ł40,232.95",HARIS ENTERPRISES PVT LTD,Local Guards
FCO,FCO,06/03/2015,"4,973,675","Ł79,447.00",DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06/03/2015,"4,977,095","Ł83,835.22",CAPITA GROUP PLC,"HR, Training and Education Consultancy"
FCO,FCO,06/03/2015,"4,975,348","Ł967,017.00",BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/03/2015,"4,978,475","Ł26,418.02",ALTIOS INTERNATIONAL INC,UKTI HQ Allocation- DSO
FCO,FCO,09/03/2015,"4,979,983","Ł27,979.06",ROYAL UNITED SERVICES INSTITUTE FOR DEFENCE AND SECURITY STUDIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/03/2015,"4,980,205","Ł30,797.55",THAMES VALLEY POLICE AUTH INCOME,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/03/2015,"4,970,955","Ł40,356.42",CENTRE FOR POLICY ALTERNATIVES CPA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/03/2015,"4,976,366","Ł65,284.06",GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,Dilapidations Non-Residential
FCO,FCO,09/03/2015,"4,980,102","Ł117,372.60",HEALIX INTERNATIONAL LTD,Fco Healthcare Scheme
FCO,FCO,09/03/2015,"4,978,221","Ł258,037.60",MANA AUTOMOTIVE S A L,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/03/2015,"4,979,018","Ł467,224.10",ARTEOS GMBH,"Electricity Non-Residential, Estates - Other Machinery and Equipment, Pfi : Public/Private Partnership Consultants Fees Non-Residential, Waste Disposal, Water Residential"
FCO,FCO,10/03/2015,"4,981,545","Ł26,380.19",FENIX INSIGHT LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/03/2015,"4,981,390","Ł30,457.51",G4S SECURITY SERVICE DRC SPRL,Local Guards
FCO,FCO,10/03/2015,"4,981,391","Ł30,457.51",G4S SECURITY SERVICE DRC SPRL,Local Guards
FCO,FCO,10/03/2015,"4,980,211","Ł33,527.35",RANGER PROTECTION AND SECURITY COMPANY LTD,Local Guards
FCO,FCO,10/03/2015,"4,980,007","Ł35,982.20",BRYTYJSKO POLSKIE USLUGI SP Z O O,UKTI HQ Allocation- DSO
FCO,FCO,10/03/2015,"4,983,114","Ł42,980.48", ELIXIR SOLUTIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/03/2015,"4,983,115","Ł42,980.48", ELIXIR SOLUTIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/03/2015,"4,979,938","Ł57,134.95",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/03/2015,"4,980,088","Ł103,835.00",PHYSICIANS FOR HUMAN RIGHTS INC,Programme Spend (Oracle Projects Control Account)
