Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,05/05/2015,"5,049,460","585,318",JUAN GAVIRIA RESTREPO & CIA,Rental Payments - non residential
FCO,FCO,05/05/2015,"5,049,693","451,237",ARTEOS GMBH,"Electricity Non-Residential, Estates - Other Machinery and Equipment, Pfi : Public/Private Partnership Consultants Fees Non-Residential, Waste Disposal, Water Residential"
FCO,FCO,05/05/2015,"5,049,897","30,219.75",FCO SERVICES,Information Systems Implementation
FCO,FCO,05/05/2015,"5,049,944","56,472",RIGHT START FOUNDATION INTERNATIONAL - RSFI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/05/2015,"5,049,966","42,177.98",UNIVERSITY OF OXFORD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/05/2015,"5,049,969","212,329",ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/05/2015,"5,049,981","52,656",CONCILIATION RESOURCES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/05/2015,"5,050,056","27,922.94",COMPUTACENTER UK LTD,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,05/05/2015,"5,050,069","156,118",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,05/05/2015,"5,050,074","49,950",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,06/05/2015,"5,050,728","106,871.40",AFRICAN SKIES LTD,Local Guards
FCO,FCO,06/05/2015,"5,050,741","134,505.60",BRITISH BUSINESS GROUP,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,06/05/2015,"5,050,770","30,023.92",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,06/05/2015,"5,050,843","350,422.90",RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06/05/2015,"5,050,936","55,117.60",INTERSERVE FM LTD,Construction Project more than ¶œ10k
FCO,FCO,06/05/2015,"5,050,991","211,353.40",LONDON ENERGY,Electricity Non-Residential
FCO,FCO,06/05/2015,"5,051,019","80,000",FIDA MANAGEMENT,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,06/05/2015,"5,051,040","73,522",OECD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06/05/2015,"5,051,276","61,966",ADROIT CONSULTANTS LLP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06/05/2015,"5,051,280","105,963.60",HEALIX INTERNATIONAL LTD,Fco Healthcare Scheme
FCO,FCO,07/05/2015,"5,052,021","46,075",PHYSICIANS FOR HUMAN RIGHTS INC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/05/2015,"5,052,126","63,319.09",PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/05/2015,"5,052,183","136,099.40",NO PEACE WITHOUT JUSTICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/05/2015,"5,052,223","-43,559.10",CROWN AGENTS FINANCIAL SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/05/2015,"5,052,254","61,834.29",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/05/2015,"5,052,286","32,157.76",CAPGEMINI UK PLC,Information Systems Maintenance
FCO,FCO,07/05/2015,"5,052,336","26,208.41",ALBERTSLUND TOEMRER AND SNEDKER AS,Building Fabric Services
FCO,FCO,07/05/2015,"5,052,410","79,892.38",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
FCO,FCO,07/05/2015,"5,052,417","55,749.06",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
FCO,FCO,07/05/2015,"5,052,437","80,716.82",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,07/05/2015,"5,052,462","175,111.80",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,07/05/2015,"5,052,474","36,381.73",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,07/05/2015,"5,052,491","61,784.66",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,07/05/2015,"5,052,492","61,834.52",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,07/05/2015,"5,052,493","40,686.94",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,07/05/2015,"5,052,520","234,904.30",GILBERT ASH LIMITED,Construction Project more than ¶œ10k
FCO,FCO,07/05/2015,"5,052,525","500,000",NERC NATURAL ENVIRONMENT RESEARCH COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/05/2015,"5,052,529","1,108,927",MERCY CORPS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/05/2015,"5,052,602","26,004",LA INTERNATIONAL COMPUTER CONSULTANTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,07/05/2015,"5,052,617","48,229.40",CONTROL RISKS GROUP,Local Guards
FCO,FCO,07/05/2015,"5,052,620","55,599.26",CONTROL RISKS GROUP,Local Guards
FCO,FCO,07/05/2015,"5,052,652","29,820",COFELY LTD,Construction Project more than ¶œ10k
FCO,FCO,07/05/2015,"5,052,656","183,652.80",THE HALO TRUST,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/05/2015,"5,053,820","70,700",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
FCO,FCO,08/05/2015,"5,053,871","155,349.20",WTG TECHNOLOGIES LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/05/2015,"5,054,449","94,590",COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,11/05/2015,"5,054,453","50,440",COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,11/05/2015,"5,054,456","77,400",COMPUTACENTER UK LTD,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,11/05/2015,"5,054,537","25,217.55",PILGRIMS AFRICA LTD,Local Guards
FCO,FCO,11/05/2015,"5,054,572","77,030.53",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,11/05/2015,"5,054,586","115,787.50",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,11/05/2015,"5,054,589","62,000",V PRODUCTIONS LLC,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,11/05/2015,"5,054,597","29,063.26",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,11/05/2015,"5,054,611","31,587.29",DAL MOTORS CO,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/05/2015,"5,054,633","25,183.35",FUNDACAO ESCOLA DE SOCIOLOGIA E POLITICA DE SAO PAULO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/05/2015,"5,054,682","63,774.85",HOTELLINE,Rental Payments - residentia
FCO,FCO,11/05/2015,"5,054,913","143,619",UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/05/2015,"5,054,964","3,294,250",MAYDAY RESCUE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/05/2015,"5,055,061","161,901.60",KELLOGG BROWN AND ROOT,Estates Management Services
FCO,FCO,12/05/2015,"5,055,681","31,544.11",BRITISH CHAMBER OF COMMERCE,UKTI HQ Allocation- DSO
FCO,FCO,12/05/2015,"5,055,799","40,989.97",AARIA MIDDLE EAST CO LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/05/2015,"5,055,857","50,399.14",FOXFIRE COMPUTER SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/05/2015,"5,056,102","53,338.47",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,12/05/2015,"5,056,190","853,064.10",GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,12/05/2015,"5,056,237","67,910.02",FCO SERVICES,Information Systems Under ¶œ3000 (non-capitalised)
FCO,FCO,12/05/2015,"5,056,308","46,629.97",RTKL-UK LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,12/05/2015,"5,056,405","28,755.75",SECURITAS SAC,Security: Works Residential
FCO,FCO,12/05/2015,"5,056,442","37,233",AFGHANISTAN ANALYSTS NETWORK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/05/2015,"5,056,451","25,745",SFW LIMITED,Information Systems Maintenance
FCO,FCO,13/05/2015,"5,056,954","51,704.17",BEIJING NORMAL UNIVERSITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/05/2015,"5,057,005","161,296",ORGANISATION FOR ECONOMIC CO OPERATION AND DEVELOPMENT OECD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/05/2015,"5,057,054","948,660",MACE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,13/05/2015,"5,057,147","30,187.62",KIDMAH LLC,Rental Payments - residential
FCO,FCO,13/05/2015,"5,057,280","1,915,755",UNMAS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/05/2015,"5,057,325","151,280",FCO SERVICES,Misc Security Payments
FCO,FCO,13/05/2015,"5,057,341","25,830.39",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,13/05/2015,"5,057,345","63,784.94",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,13/05/2015,"5,057,371","46,010",COMPUTACENTER UK LTD,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,13/05/2015,"5,057,380","33,892.68",FENIX INSIGHT LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/05/2015,"5,057,391","36,267.49",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,13/05/2015,"5,057,394","45,065.49",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,13/05/2015,"5,057,477","98,596.68",KOMATSUBARA KOMUTEN LTD,Construction Project more than ¶œ10k
FCO,FCO,13/05/2015,"5,057,485","251,006.60",KOMATSUBARA KOMUTEN LTD,Construction Project more than ¶œ10k
FCO,FCO,13/05/2015,"5,057,488","28,272.90",KOMATSUBARA KOMUTEN LTD,Construction Project more than ¶œ10k
FCO,FCO,13/05/2015,"5,057,514","51,161.43",REGIONAL DIALOGUE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/05/2015,"5,057,641","60,669",RIGHT START FOUNDATION INTERNATIONAL - RSFI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,14/05/2015,"5,058,223","37,140.49",INTERSERVE FM LTD,Construction Project more than ¶œ10k
FCO,FCO,14/05/2015,"5,058,267","26,318.99",INTERSERVE FM LTD,Construction Project more than ¶œ10k
FCO,FCO,14/05/2015,"5,058,270","27,662.64",INTERSERVE FM LTD,FM Interserve Works
FCO,FCO,14/05/2015,"5,058,294","227,083",INTERSERVE FM LTD,Construction Project more than ¶œ10k
FCO,FCO,14/05/2015,"5,058,352","48,613.98",INTERSERVE FM LTD,Construction Project more than ¶œ10k
