Department family,Entity,Date,Expense type,Expense area,Supplier_,Transaction number,Amount
Defra,Natural England,23-Jun-11,Grants & contributions,Delivery with Communities,South West Food & Drink Ltd,1654,"149,623.50"
Defra,Natural England,23-Jun-11,Grants & contributions,Delivery with Communities,Lancashire Wildlife Trust Ltd,5938,"200,000.00"
Defra,Natural England,03-Jun-11,Rent & Management Charges,Capability,D T Z,27616,"39,909.87"
Defra,Natural England,29-Jun-11,"Monitoring, Evaluation & Surveillance costs",Science & Evidence,T N S Uk Ltd,134203,"65,455.20"
Defra,Natural England,15-Jun-11,Legal costs,Capability,Browne Jacobson,198907,"49,950.10"
Defra,Natural England,07-Jun-11,Science & Evidence Studies,Science and Evidence,University Of Durham,228974,"35,000.00"
Defra,Natural England,03-Jun-11,"IT services, equipment & consumables",Capability,Skillsoft,808198,"42,453.66"
Defra,Natural England,21-Jun-11,Grants & contributions,Delivery with Communities,Norfolk County Council,1203292,"91,611.90"
Defra,Natural England,07-Jun-11,"IT services, equipment & consumables",Capability,Oracle Corporation UK Ltd,1331091,"72,210.73"
Defra,Natural England,09-Jun-11,Other programme expenditure,Delivering with Communities,A E A Technology plc,6143497,"94,457.38"
Defra,Natural England,07-Jun-11,"IT services, equipment & consumables",Capability,Computacenter (UK) Ltd,7461669,"60,000.00"
Defra,Natural England,29-Jun-11,Grants & contributions,Delivering with Communities,Suffolk County Council,9051079,"72,603.00"
Defra,Natural England,27-Jun-11,"IT services, equipment & consumables",Capability,Insight Direct UK Ltd,11170564,"31,824.86"
Defra,Natural England,29-Jun-11,Grants & contributions,Delivery with Communities,East Riding Of Yorkshire Council,29827702,"39,391.24"
Defra,Natural England,23-Jun-11,Grants & contributions,Delivering with Communities,Lincolnshire County Council,90648488,"62,400.07"
Defra,Natural England,03-Jun-11,Science & Evidence Studies,Science and Evidence,E F T E C,655310311,"31,368.00"
Defra,Natural England,13-Jun-11,Rent & Management Charges,Capability,DEFRA,1000007878,"37,750.17"
Defra,Natural England,27-Jun-11,"IT services, equipment & consumables",Capability,Atos Origin IT Services UK Ltd,5584084719,"1,011,624.00"
Defra,Natural England,03-Jun-11,"IT services, equipment & consumables",Capability,IBM United Kingdom Ltd,5805111234,"39,453.62"
Defra,Natural England,29-Jun-11,Grants & contributions,Delivering with Communities,Cornwall County Council,2.00612E+12,"84,913.88"
Defra,Natural England,09-Jun-11,Rail travel costs,Capability,Redfern Travel Ltd,3.06112E+12,"166,262.21"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Lancashire County Council,ERS-976913-34110,"35,000.00"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Somerset County Council,ERS-976922-34123,"79,117.95"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Somerset County Council,ERS-976923-34124,"82,450.05"
Defra,Natural England,03-Jun-11,Grants & contributions,Science and Evidence,Devon Wildlife Trust,ERS-976926-34092,"33,113.56"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,North York Moors National Park,ERS-976930-34113,"26,093.00"
Defra,Natural England,03-Jun-11,Grants & contributions,Customers,London Borough Of Lewisham,ERS-976937-34144,"68,535.08"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Kent County Council,ERS-976940-34106,"40,484.00"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Hampshire County Council,ERS-976941-34104,"54,919.00"
Defra,Natural England,03-Jun-11,Grants & contributions,Science and Evidence,Eden Rivers Trust,ERS-976946-34151,"56,051.32"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Cornwall County Council,ERS-976954-34087,"58,227.00"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Devon County Council,ERS-976959-34090,"52,357.00"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Devon County Council,ERS-976960-34091,"88,036.16"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Dorset County Council,ERS-976962-34142,"30,945.66"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Cornwall County Council,ERS-976969-34088,"107,372.06"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Peak District National Park Auth,ERS-976970-34134,"35,745.00"
Defra,Natural England,03-Jun-11,Grants & contributions,Science and Evidence,R S P B,ERS-976992-34120,"37,959.61"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Surrey County Council,ERS-977003-34125,"56,213.00"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Wiltshire Council,ERS-977008-34178,"122,789.11"
Defra,Natural England,03-Jun-11,Grants & contributions,Science and Evidence,The Woodland Trust,ERS-977014-34163,"27,419.75"
Defra,Natural England,03-Jun-11,Grants & contributions,Science and Evidence,The Greensand Trust,ERS-977017-34161,"41,084.50"
Defra,Natural England,03-Jun-11,Grants & contributions,Science and Evidence,Kent Wildlife Trust,ERS-977022-34172,"66,994.16"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Isle Of Wight Council,ERS-977023-34130,"59,847.00"
Defra,Natural England,03-Jun-11,Grants & contributions,Science and Evidence,Butterfly Conservation,ERS-977037-34127,"39,316.83"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Council Of The Isles Of Scilly,ERS-977043-34089,"73,571.50"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Chichester Harbour Conservancy,ERS-977045-34150,"67,963.00"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Kent County Council,ERS-977046-34107,"72,135.25"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Hampshire County Council,ERS-977047-34103,"59,754.30"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,Harrogate Borough Council,ERS-977048-34129,"86,928.46"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivering with Communities,East Sussex County Council,ERS-977050-34101,"147,647.25"
Defra,Natural England,03-Jun-11,Grants & contributions,Delivery with Communities,University Of Kent,ERS-977052-34143,"41,989.00"
Defra,Natural England,09-Jun-11,Grants & contributions,Delivering with Communities,Herefordshire Council,ERS-977055-34206,"38,998.00"
Defra,Natural England,15-Jun-11,Grants & contributions,Delivering with Communities,North Yorkshire County Council,ERS-977067-34468,"37,446.00"
Defra,Natural England,15-Jun-11,Grants & contributions,Delivering with Communities,South Hams District Council,ERS-977068-34470,"48,066.00"
Defra,Natural England,15-Jun-11,Grants & contributions,Delivering with Communities,Devon County Council,ERS-977070-34467,"50,701.75"
Defra,Natural England,15-Jun-11,Grants & contributions,Customers,Plymouth City Council,ERS-977081-34469,"46,591.39"
Defra,Natural England,15-Jun-11,Grants & contributions,Delivering with Communities,Wiltshire Council,ERS-977101-34478,"96,398.89"
Defra,Natural England,15-Jun-11,Grants & contributions,Customers,Birmingham City Council,ERS-977102-34466,"31,884.27"
Defra,Natural England,23-Jun-11,Grants & contributions,Delivering with Communities,East Devon District Council,ERS-977113-34488,"46,678.83"
Defra,Natural England,23-Jun-11,Grants & contributions,Delivering with Communities,Dorset County Council,ERS-977114-34489,"144,149.00"
Defra,Natural England,23-Jun-11,Grants & contributions,Delivering with Communities,Devon County Council,ERS-977126-34487,"45,759.12"
Defra,Natural England,23-Jun-11,Grants & contributions,Customers,Octopus Community Network Ltd,ERS-977131-34510,"24,562.96"
Defra,Natural England,23-Jun-11,Grants & contributions,Delivering with Communities,Shropshire Council,ERS-977136-34508,"67,729.20"
Defra,Natural England,29-Jun-11,Grants & contributions,Science and Evidence,Sheffield Wildlife Trust,ERS-977162-34597,"28,414.03"
Defra,Natural England,29-Jun-11,Grants & contributions,Customers,Community Forests Northwest Ltd.,ERS-977175-34604,"44,360.66"
Defra,Natural England,29-Jun-11,Grants & contributions,Customers,The Woodland Trust,ERS-977176-34598,"139,050.07"
Defra,Natural England,27-Jun-11,Grants & contributions,Delivering with Communities,Lundy Island,L101868,"24,966.06"
Defra,Natural England,07-Jun-11,Barclaycard purchases,Capability,Barclaycard Business Issuing,NEMAY2011BILL,"311,844.56"
Defra,Natural England,23-Jun-11,Grants & contributions,Delivery with Communities,Humber Inca Ltd,NETGRAINGRANT4,"151,097.00"
