Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount 
DFID,DFID,01/11/2010,Technical & Advisory services,Asia Division,ADAM SMITH INTERNATIONAL  LTD,400125816,"94,791.00"
DFID,DFID,01/11/2010,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ADAM SMITH INTERNATIONAL  LTD,400125823,"101,663.81"
DFID,DFID,01/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,Triple Line Consulting Limited,400126171,"472,479.52"
DFID,DFID,01/11/2010,Aid to international organisations,Asia Division,UNDP CONTRIBUTIONS GBP,400126178,"125,000.00"
DFID,DFID,01/11/2010,Aid to international organisations,Policy and Research Directorate,United Nations General Trust Fund Account,400126182,"349,000.00"
DFID,DFID,01/11/2010,Aid to international organisations,Policy and Research Directorate,Global Forum for Health Research,400126186,"500,000.00"
DFID,DFID,01/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,UK CONSORTIUM ON AIDS AND INT.DEV.,400126199,"69,250.00"
DFID,DFID,01/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,OVERSEAS DEVELOPMENT INSTITUTE,400126205,"264,581.07"
DFID,DFID,01/11/2010,Aid to civil society organisations / NGOs,East and Central Africa,REFUGEE EDUCATION TRUST,400126212,"376,633.80"
DFID,DFID,01/11/2010,Aid to civil society organisations / NGOs,East and Central Africa,CARBON FOUNDATION OF EAST AFRICA LIMITED,400126222,"72,688.39"
DFID,DFID,01/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,CAFOD,400126237,"1,135,000.00"
DFID,DFID,01/11/2010,Aid to international organisations,International Relations Division,BRITISH COUNCIL,400126241,"177,316.31"
DFID,DFID,01/11/2010,Aid to international organisations,International Relations Division,BRITISH COUNCIL,400126244,"802,055.28"
DFID,DFID,01/11/2010,Aid to partner government,Asia Division,THE CROWN AGENTS,400126248,"3,631,278.24"
DFID,DFID,01/11/2010,Emergency / Humanitarian Assistance,Western Asia and Stabilisation Division,THE CROWN AGENTS,400126249,"280,339.57"
DFID,DFID,01/11/2010,Aid to civil society organisations / NGOs,Asia Division,IUCN,400126259,"100,419.00"
DFID,DFID,03/11/2010,Technical & Advisory services,West and Southern Africa,BRITISH COUNCIL,400126270,"30,510.17"
DFID,DFID,01/11/2010,Technical & Advisory services,East and Central Africa,HAREWELLE INTERNATIONAL LIMITED,400126271,"36,266.91"
DFID,DFID,02/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,THE TIMBER TRADE FEDERATION,400126414,"35,963.79"
DFID,DFID,01/11/2010,Technical & Advisory services,Asia Division,OPTIONS CONSULTANCY SERVICES LIMITED,400126474,"65,051.00"
DFID,DFID,01/11/2010,Technical & Advisory services,West and Southern Africa,ADAM SMITH INTERNATIONAL  LTD,400126476,"184,242.39"
DFID,DFID,01/11/2010,Aid to partner government,Asia Division,THE CROWN AGENTS,400126482,"22,755,713.09"
DFID,DFID,02/11/2010,Aid to partner government,Asia Division,THE CROWN AGENTS,400126484,"2,697,888.02"
DFID,DFID,01/11/2010,Technical & Advisory services,Asia Division,RTI INTERNATIONAL,400126505,"39,927.93"
DFID,DFID,02/11/2010,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400126522,"174,494.46"
DFID,DFID,02/11/2010,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400126522,"175,201.68"
DFID,DFID,02/11/2010,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400126522,"71,229.54"
DFID,DFID,02/11/2010,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400126522,-30.4
