Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,03/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA RESOURCING LTD,3000054024,34405.07,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,ADVALUS LTD,3000054100,26268.00,Managed services for the Public Service Network,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000054074,26754.88,Interim support to deliver Shared Services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/11/2014,GRANT FUND MANAGEMENT VAT RECOVERABLE,COMMUNITY FIRST,THE YOUNG FOUNDATION,3000054108,50850.00,Management of Matched Funding Grants,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,04/11/2014,Maintenance & Repairs - IT,IT,SPECIALIST COMPUTER CENTRES PLC,PINDOH 40795,58521.00,"Video Conferencing Hosting, Connectivity and Support / Maintenance",,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/11/2014,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,CORNWALL COUNCIL,3000054161,40000.00,Grant for work delivered under the one Public estate project,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/11/2014,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,BRITISH COUNCIL,3000054149,75000.00,Great Campaign,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/11/2014,FM CONTRACT VARIABLE,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000054113,135622.82,Facilities Management Services ,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/11/2014,ADDITIONSAUC F/H NON RES BLDGS,MISC AGREED BY FD - PROG,BOUYGUES E&S FM UK LTD,3000054113,235216.13,Facilities Management Services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/11/2014,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000054152,394963.75,Administration services for the Royal Mail Statutory Pension Scheme,,,,,,,,,,,,,,,,,,
