Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,"ASHTON, LEIGH & WIGAN PCT",HAFS-9050,"39,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BARKING & DAGENHAM PCT,HAFS-9051,"25,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BARNET PCT,HAFS-9052,"40,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BARNSLEY PCT,HAFS-9053,"55,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BASSETLAW PCT,HAFS-9054,"13,200,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BATH & NORTH EAST SOMERSET PCT,HAFS-9055,"19,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BEDFORDSHIRE PCT,HAFS-9056,"46,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BERKSHIRE EAST PCT,HAFS-9057,"29,900,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BERKSHIRE WEST PCT,HAFS-9058,"46,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BEXLEY CARE TRUST,HAFS-9059,"22,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BIRMINGHAM EAST & NORTH PCT,HAFS-9060,"49,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BLACKBURN & DARWEN TEACHING CARE TRUST PLUS,HAFS-9061,"20,538,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BLACKPOOL PCT,HAFS-9062,"17,394,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BOLTON PCT,HAFS-9063,"33,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BOURNEMOUTH & POOLE PCT,HAFS-9064,"40,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BRADFORD & AIREDALE PCT,HAFS-9065,"73,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BRENT TEACHING PCT,HAFS-9066,"39,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BRIGHTON & HOVE CITY TEACHING PCT,HAFS-9067,"36,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BRISTOL PCT,HAFS-9068,"57,000,000.00",
