Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
Defra,Core Defra,01/03/2013,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,50051,"274,321.90",Travel costs January 2013,BD1 3AZ,SME,,0,Asset,
Defra,Core Defra,05/03/2013,Mobile Phones,Central Finance Group,Vodafone Ltd,66623177,"71,846.80",Vodafone quarterly bill February 2013,RG14 5FF,,,0,Asset,
Defra,Core Defra,05/03/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5802130410,"50,983.85",Data Centre Disaster Recovery investigations and scoping costs.,GU1 2LD,SME,FRW10040-00,B196P010,Asset,
Defra,Core Defra,05/03/2013,Other recharges,Chief Operating Officer DG,H M Revenue & Customs,948TZ03485250113,"78,748.00",Final payment to Her Majesty's Revenue and Customs for Animal Health and Veterinary Laboratories Agency Tax issue,CF14 5XZ,,,0,Asset,
Defra,Core Defra,07/03/2013,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024090,"72,423.78",Costs incurred for the undertaking of estates maintenance projects over multiple sites which have been invoiced for February 2013,BS32 4NH,,16816,0,Asset,
Defra,Core Defra,07/03/2013,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024089,"55,690.97",Costs incurred for the undertaking of estates maintenance projects over multiple sites which have been invoiced for February 2013,BS32 4NH,,17436,B0870000,Asset,
Defra,Core Defra,11/03/2013,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.71532E+21,"45,559.47",Barclaycard Monthly Bill March 2013,TS17 6YG,SME,,0,Asset,
Defra,Core Defra,13/03/2013,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.71532E+21,"43,558.26",Barclaycard Monthly Bill February 2013,TS17 6YG,SME,,0,Asset,
Defra,Core Defra,13/03/2013,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,52222,"203,672.98",Travel costs February 2013,BD1 3AZ,SME,,0,Asset,
Defra,Core Defra,15/03/2013,Other recharges,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024105,"62,386.20",Costs associated with staff moves and renovation of the Weybridge site. February 2013 payment.,BS32 4NH,,17016,0,Asset,
Defra,Core Defra,19/03/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024129,"48,850.45",Refurbishment works to ground and first floor of Ergon House,BS32 4NH,,17759,B196P010,Asset,
Defra,Core Defra,19/03/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024125,"47,027.81",Decoration of lift lobbies and stairwells in Nobel House ,BS32 4NH,,17638,B196P010,Asset,
Defra,Core Defra,19/03/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024106,"42,903.48","Works in connection with the complete moves of staff and furniture at Nobel House, London. March 2013 Payment",BS32 4NH,,17056,B196P010,Asset,
Defra,Core Defra,19/03/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024126,"45,228.66",Decoration to lift lobbies and stairwells in Nobel House. February 2013 payment.,,,17639,B196P010,Asset,
Defra,Core Defra,19/03/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024135,"241,354.28","Costs associated with staff moves and the renevation of London properties, Nobel House",BS32 4NH,,18126,EXITLOND,Asset,
Defra,Core Defra,19/03/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024112,"168,439.63",New lighting for Nobel House including removal of the existing set up and rewiring where required. February 2013 payment,BS32 4NH,,17567,B196P010,Asset,
Defra,Core Defra,19/03/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024138,"86,970.79","Space plan and fit study for Toothill Close, Unex House. February 2013 payment",BS32 4NH,,18236,EXITTOUT,Asset,
Defra,Core Defra,19/03/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00023362,"616,526.38","Replacement of existing ceilings, decoration and renewal of partitioning in Nobel House January 2013 payment.",BS32 4NH,,16986,B196P010,Asset,
