Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
Defra,MMO    ,13/11/2012,Agency IT Services (IBM),,DEFRA,1000020230,"140,230.80",Recharge for IBM services March 2012,YO1 7PX,,,00000000,Expense,
Defra,MMO    ,07/11/2012,Business Rates,,D T Z,38725,"70,356.04",Marine Management Organisation Estates Charges Jul  Sep 12 ,B4 6AJ,,,00000000,Expense,
Defra,MMO    ,19/11/2012,Clearing Construction in Progress (I.T.),,IBM United Kingdom Ltd,5810121181,"108,653.12",Marine Management Organisation business requirements review completed by IBM 29/6/12-27/7/12 ,GU1 2LD,,,00000000,Asset,
Defra,MMO    ,21/11/2012,Clearing Construction in Progress (I.T.),,IBM United Kingdom Ltd,5810121182,"40,011.08",Marine Management Organisation business requirements review completed by IBM 3/8/12-24/8/12 ,GU1 2LD,,,00000000,Asset,
Defra,MMO    ,01/11/2012,Other Current Payments E,,Waveney District Council,FEF0465251012,"791,653.51",European Fisheries Fund grant payment,NR32 1HS,SME,,00000000,Expense,
Defra,MMO    ,01/11/2012,Other Current Payments E,,Interfish Ltd,FEF0488251012,"26,058.40",European Fisheries Fund grant payment,PL4 0RW,SME,,00000000,Expense,
Defra,MMO    ,01/11/2012,Other Current Payments E,,Swansea University,R106413,"25,843.26",Fisheries Challenge Fund grant payment ,SA2 8PP,,,00000000,Expense,
Defra,MMO    ,05/11/2012,Other Current Payments E,,Vistgate Ltd T/A Ocean Fish,FEF0185301012,"35,251.73",European Fisheries Fund grant payment,PL26 8LX,SME,,00000000,Expense,
Defra,MMO    ,09/11/2012,Other Current Payments E,,URS Infrastructure & Environment UK Ltd,5289092,"50,420.40","Provision of the development, management and production of Sustainability Appraisal (SA) report for the Marine Management Organisation",RG21 7PP,,,00000000,Expense,
Defra,MMO    ,13/11/2012,Other Current Payments E,,The Scottish Government,86005300,"79,487.20",Marine Management aerial surveillance hours incurred in relation to coastal enforcement - July to September 2012,EH6 6QQ,,,00000000,Expense,
Defra,MMO    ,15/11/2012,Other Current Payments E,,North Sunderland Harbour Comrs,FEF0716,"29,750.00",European Fisheries Fund grant payment,NE68 7RN,SME,,00000000,Expense,
Defra,MMO    ,15/11/2012,Other Current Payments E,,Sparsholt College Hampshire,FEF0647,"74,372.68",European Fisheries Fund grant payment,SO21 2NF,,,00000000,Expense,
Defra,MMO    ,23/11/2012,Other Current Payments E,,Directflight Ltd,10020,"39,081.66",Marine Management aerial surveillance hours incurred in relation to coastal enforcement - October 2012,MK43 0AL,SME,,00000000,Expense,
Defra,MMO    ,23/11/2012,Other Current Payments E,,Falfish Limited,FEF0714,"147,347.31",European Fisheries Fund grant payment,TR15 1SS,SME,,00000000,Expense,
Defra,MMO    ,23/11/2012,Other Current Payments E,,Channel Fisheries Ltd,FEF0744,"28,432.56",European Fisheries Fund grant payment,TQ5 9QL,SME,,00000000,Expense,
Defra,MMO    ,23/11/2012,Other Current Payments E,,Albert Darnell Ltd,FEF0637,"95,803.98",European Fisheries Fund grant payment,DN37 9TU,SME,,00000000,Expense,
Defra,MMO    ,23/11/2012,Other Current Payments E,,Sustain,FEF0634,"27,125.12",European Fisheries Fund grant payment,N1 9PF,SME,,00000000,Expense,
Defra,MMO    ,23/11/2012,Other Current Payments E,,CNV Systems Ltd,FEF0522151112,"30,600.00",European Fisheries Fund grant payment,NE30 1JE,SME,,00000000,Expense,
Defra,MMO    ,23/11/2012,Other Current Payments E,,Newlyn Pier Harbour Commissioners,FEF0698,"197,652.00",European Fisheries Fund grant payment,TR18 5HW,,,00000000,Expense,
Defra,MMO    ,27/11/2012,Other Current Payments E,,Plymouth Trawler Agents Ltd.,FEF0351,"74,326.20",European Fisheries Fund grant payment,PL4 0LH,SME,,00000000,Expense,
Defra,MMO    ,29/11/2012,Other Current Payments E,,Channel Fisheries Ltd,FEF0744231112,"29,905.04",European Fisheries Fund grant payment,TQ5 9QL,SME,,00000000,Expense,
Defra,RPA,27/11/2012,IT Outsourced Services,Service Management ,Accenture,3003198644,"401,673.60",Service Evolution III - November 2012 Payment: Prepayment for March ,EC3M 3BD,No,64175,PPS03700,ADMIN,
