Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
Defra,AHDB,05/04/2013,Invoice,,The University of Liverpool,21298357,"£29,267.00",DairyCo Studentship year 2 costs,L69 7ZX,,,,,673598875
Defra,AHDB,05/04/2013,Invoice,,University of Nottingham,6980283,"£40,631.00",Research Partnership on dairy cattle health - staff costs February 2013,HG7 2RD,,,,,690391225
Defra,AHDB,05/04/2013,Invoice,,University of Nottingham,6980284,"£40,631.00",Research Partnership on dairy cattle health - staff costs March 2014,HG7 2RD,,,,,690391225
Defra,AHDB,05/04/2013,Invoice,,Arlington BPP No1 Rent Account,SIAS1Q1819,"£42,212.50",Rent for Oxford Business Park premises (being sublet to another tenant therefore costs recovered),RG7 4SA,,,,,844289303
Defra,AHDB,05/04/2013,Invoice,,Animal Health & Veterinary Laboratories Agency,5000024369,"£56,178.27",BPEX (pigs) welfare project Stage 1 and 60% of stage 2,YO1 7PX,,,,,888800181
Defra,AHDB,12/04/2013,Invoice,,Warwick HRI,90664747,"£42,600.00",Project looking at Intramammary infections (mastitis) in meat ewes - the role of chronic infection and udder conformation,CV4 8UW,,,,,545270058
Defra,AHDB,12/04/2013,Invoice,,Reaseheath College,6588,"£25,000.00",Stage 3 of Lean management for dairy farming project ,CW5 6DF,,,,,625021777
Defra,AHDB,12/04/2013,Invoice,,TLR Ltd,BPEX/086,"£25,545.27",Hosting licensing and Support for electronic pig movement licencing services from April 2013 to June 30th 2013 (under crontract from DEFRA),AL1 3AF,,,,,600511996
Defra,AHDB,12/04/2013,Invoice,,UH Ventures Limited,45327,"£34,765.00",Development of Ihub ,AL10 9AB,,,,,539959572
Defra,AHDB,12/04/2013,Invoice,,Animal Health & Veterinary Laboratories Agency,5000024873,"£37,005.00",Research and Development - Reportable Diseases and Zoonoses 2012-13,YO1 7PX,,,,,888800181
Defra,AHDB,12/04/2013,Invoice,,SAC Commercial Ltd,20711568,"£48,631.80",Project for development of an effective methodology for monitoring health and welfare status in the pig industry,EH9 3JG,,,,,435882817
Defra,AHDB,12/04/2013,Invoice,,OMD UK Ltd,291652,"£61,643.08",Media and advertising for Simply Beef and Lamb,WC1E 7EY,,,,,918213926
Defra,AHDB,12/04/2013,Invoice,,Animal Health & Veterinary Laboratories Agency,5000024874,"£95,000.00",Research and Development - Reportable Diseases and Zoonoses 2012-13,YO1 7PX,,,,,888800181
Defra,AHDB,19/04/2013,Invoice,,University of Reading,96676,"£30,000.00","Desktop study to evaluate the environmental, nutritional and value benefits of including Dairy in the Great British diet",RG6 6AH,,,,,
Defra,AHDB,19/04/2013,Invoice,,National Inst of Ag Botany,NI5248,"£48,343.00",UK Cereal Pathogen Virulence Survey (UKCPVS) Quarter 4,CB3 0LE,,,,,100132207
Defra,AHDB,22/03/2013,Invoice,,National Inst of Ag Botany,NI5023,"£46,310.10",Winter Seed handling as part of cereals and oilseeds trials for Recommended Lists,CB3 0LE,,,,,100132207
Defra,AHDB,23/04/2013,Invoice,,Traineast Ltd,RDPE/4,"£51,663.24","Training provision for producers under sub-contract to contract from Defra for the Rural
Development Programme for England funding",PL23 9AY,,,,,981849564
Defra,AHDB,25/04/2013,Invoice,,Clarion Communications (P.R.) Limited,47018,"£40,347.35","Potato week media buying costs, creation and production of TV commercial and regional roadshows as part of EU funded campaign ",EC1R 5AR,,,,,839733978
Defra,AHDB,29/04/2013,Invoice,,Cambridge University,XM 769396,"£25,056.30",Potato cultivation research,CB23 8YW,,,,,823847609
Defra,AHDB,29/04/2013,Invoice,,University of Warwick,90664422,"£26,000.00",Project looking at Intramammary infections (mastitis) in meat ewes - the role chronic infection and udder conformation Quarter 4,CV4 8UW,,,,,545270058
Defra,AHDB,29/04/2013,Invoice,,Mylnefield Research Service,SLINV/00000986,"£27,351.50",Platform to test and demonstrate sustainable soil management - integration of Major UK field experiments. January to March 2013,DD2 5DA,,,,,108249520
Defra,AHDB,29/04/2013,Invoice,,ADAS UK Ltd,RIRP068170,"£47,983.00",Hortlink project: Sustainable Crop and Environment Protection Targeted research for Edibles (SCEPTRE) January to March 2013 fees,WV9 5AP,,,,,685426895
Defra,AHDB,29/04/2013,Invoice,,Mylnefield Research Service,SLINV/00000985,"£61,888.00",Platform to test and demonstrate sustainable soil management - integration of Major UK field experiments Claim 1 Jan to March 2013,DD2 5DA,,,,,108249520
Defra,GLA,24/04/2013,,,DEFRA,1000023774,"£200,000.00",Defra Agency Recharge for IBM services 2012- 2013,,,,,Invoice,
Defra,Seafish,15/04/2013,Contract,Project,Billingsgate Seafood Training School,13/41,"£30,000.00",Schools Educations Programme - Outreach,,,,,,
Defra,Seafish,22/04/2013,Contract,Overhead,Castle Computer Services,SINV026347,"£46,080.00",Maintenance Charge from 01/07/13 - 30/06/16 for Sun accounting systems and add ons,,,,,,380 0112 06
Defra,Seafish,30/04/2013,Contract,Project,Food Certification International Limited,13151,"£104,520.00",Macro Analysis of English Inshore Fisheries Stage two,,,,,,915 8514 14
Defra,Seafish,05/04/2013,Contract,Overhead,SimplyHealth Access,S18797,"£32,686.00",Contributions to Health insurance due at 1 April 2013,,,,,,
Defra,Seafish,23/04/2013,Contract,Project,Seafood Scotland,69070,"£40,000.00",Annual grant towards Seafood Scotland's project funding,,,,,,
Defra,VMD,28/03/2013,INVESTIGATION SERVICES,AMR CONTROL & SURVEILLANCE,AHVLA,63130,"£69,523.00",Investigation of suspected offenses,,GOVN,,,ADMINISTRATION,
