Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Spend 
Home Office,DBS - Disclosure & Barring Service,04/06/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,HOME OFFICE,9000109," 375,593.90 "
Home Office,DBS - Disclosure & Barring Service,04/06/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,HOME OFFICE,9000109," 1,428.00 "
Home Office,DBS - Disclosure & Barring Service,04/06/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,HOME OFFICE,9000109," 2,856.00 "
Home Office,DBS - Disclosure & Barring Service,04/06/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,HOME OFFICE,9000109," 2,064.78 "
Home Office,DBS - Disclosure & Barring Service,13/06/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA,1001592860," 291,124.60 "
Home Office,DBS - Disclosure & Barring Service,13/06/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA,1001592860," 111,753.43 "
Home Office,DBS - Disclosure & Barring Service,16/06/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001593698," 3,930,558.83 "
Home Office,DBS - Disclosure & Barring Service,16/06/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001593698," 293,974.67 "
Home Office,DBS - Disclosure & Barring Service,16/06/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001593698," 101,344.06 "
Home Office,DBS - Disclosure & Barring Service,16/06/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001593698,"-200,000.00 "
Home Office,DBS - Disclosure & Barring Service,16/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,CUMBRIA POLICE & CRIME COMMISSIONER,1001593612," 40,983.33 "
Home Office,DBS - Disclosure & Barring Service,16/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,1001593655," 90,063.22 "
Home Office,DBS - Disclosure & Barring Service,16/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001593673," 38,403.39 "
Home Office,DBS - Disclosure & Barring Service,16/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DERBYSHIRE,1001593675," 44,392.31 "
Home Office,DBS - Disclosure & Barring Service,16/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001593677," 43,821.36 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,AVON & SOMERSET POLICE & CRIME COMMISSIONER,1001598917," 43,918.14 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,BRITISH TRANSPORT POLICE,1001598923," 25,713.03 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001598962," 493,929.13 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001598973," 28,002.38 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER,1001598974," 56,131.99 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER,1001598974," 55,853.14 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,1001598975," 100,769.07 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE),1001598977," 29,358.52 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE,1001598978," 91,888.09 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORFOLK,1001598979," 26,153.01 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORFOLK,1001598979," 28,112.06 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001598980," 26,647.92 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001598983," 57,703.25 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR ESSEX,1001598990," 118,856.22 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HERTFORDSHIRE,1001598991," 36,394.32 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR WILTSHIRE,1001598993," 27,188.36 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THAMES VALLEY POLICE,1001599020," 65,448.26 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR LANCASHIRE,1001599022," 46,998.24 "
Home Office,DBS - Disclosure & Barring Service,26/06/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE,1001599023," 32,073.08 "
Home Office,DBS - Disclosure & Barring Service,12/06/2014,Fees,DBS - Disclosure & Barring Service,HOME OFFICE,9000112," 33,728.51 "
Home Office,DBS - Disclosure & Barring Service,06/06/2014,IT Running costs,DBS - Disclosure & Barring Service,HOME OFFICE,9000110," 58,993.20 "
Home Office,DBS - Disclosure & Barring Service,06/06/2014,IT Running costs,DBS - Disclosure & Barring Service,HOME OFFICE,9000111," 122,092.78 "
Home Office,DBS - Disclosure & Barring Service,12/06/2014,IT Running costs,DBS - Disclosure & Barring Service,ORACLE CORPORATION UK LIMITED,1001592179," 1,122,598.62 "
Home Office,DBS - Disclosure & Barring Service,18/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001594461,"-218,296.44 "
Home Office,DBS - Disclosure & Barring Service,18/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001594461," 36,399.60 "
Home Office,DBS - Disclosure & Barring Service,18/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001594461," 15,756.60 "
Home Office,DBS - Disclosure & Barring Service,18/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001594461," 32,835.60 "
Home Office,DBS - Disclosure & Barring Service,18/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001594461," 35,512.80 "
Home Office,DBS - Disclosure & Barring Service,18/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001594461," 15,756.60 "
Home Office,DBS - Disclosure & Barring Service,18/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001594461," 35,512.80 "
Home Office,DBS - Disclosure & Barring Service,18/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001594461," 91,260.00 "
Home Office,DBS - Disclosure & Barring Service,18/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001594461," 183,236.72 "
Home Office,DBS - Disclosure & Barring Service,18/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001594461," 371,113.92 "
Home Office,DBS - Disclosure & Barring Service,20/06/2014,IT Running costs,DBS - Disclosure & Barring Service,HOME OFFICE,9000116," 56,142.23 "
Home Office,DBS - Disclosure & Barring Service,24/06/2014,IT Running costs,DBS - Disclosure & Barring Service,CAPITA,1001597651," 231,303.02 "
Home Office,DBS - Disclosure & Barring Service,04/06/2014,Professional & Administration Services,DBS - Disclosure & Barring Service,ADVANTAGE TECHNICAL RESOURCING,1001588278," 31,458.00 "
Home Office,DBS - Disclosure & Barring Service,04/06/2014,Professional & Administration Services,DBS - Disclosure & Barring Service,ADVANTAGE TECHNICAL RESOURCING,1001588278, 134.40 
Home Office,HMPO - HM Passport Office,10/06/2014,IT & Telecoms Components,HMPO - HM Passport Office,MM TELEPERFORMANCE LTD T/A TELEPERFORMANCE,1001590856," 51,705.92 "
Home Office,HMPO - HM Passport Office,11/06/2014,IT & Telecoms Components,HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001591474," 141,967.20 "
Home Office,HMPO - HM Passport Office,11/06/2014,IT & Telecoms Components,HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001591474," 226,176.00 "
Home Office,HMPO - HM Passport Office,11/06/2014,IT & Telecoms Components,HMPO - HM Passport Office,SPECIALIST COMPUTER CENTRES PLC,1001591538," 25,989.60 "
Home Office,HMPO - HM Passport Office,12/06/2014,IT & Telecoms Components,HMPO - HM Passport Office,SPECIALIST COMPUTER CENTRES PLC,1001592238, 392.88 
