Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Spend 
Home Office,DBS - Disclosure & Barring Service,17/09/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001633493," 4,890,481.92 "
Home Office,DBS - Disclosure & Barring Service,17/09/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001633493," 315,821.88 "
Home Office,DBS - Disclosure & Barring Service,17/09/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001633493," 127,834.52 "
Home Office,DBS - Disclosure & Barring Service,17/09/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001633493,"-200,000.00 "
Home Office,DBS - Disclosure & Barring Service,19/09/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001634802," 3,415,429.38 "
Home Office,DBS - Disclosure & Barring Service,19/09/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001634802,"-200,000.00 "
Home Office,DBS - Disclosure & Barring Service,19/09/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001634802," 142,205.70 "
Home Office,DBS - Disclosure & Barring Service,19/09/2014,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001634802," 291,353.99 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001636513," 32,452.25 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001636560," 1,022,185.17 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,1001636569," 99,447.06 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE,1001636570," 47,136.76 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISIONER FOR THAMES VALLEY,1001636577," 137,740.75 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL,1001636580," 34,835.71 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR ESSEX,1001636582," 204,744.01 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HERTFORDSHIRE,1001636584," 36,440.37 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR LANCASHIRE,1001636615," 54,468.96 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,AVON & SOMERSET POLICE & CRIME COMMISSIONER,1001637000," 43,788.29 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001637011," 34,058.03 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER,1001637066," 55,113.16 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER,1001637066," 58,124.73 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE,1001637070," 46,487.87 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORFOLK,1001637071," 26,157.21 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001637073," 31,125.68 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001637076," 70,051.30 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISIONER FOR THAMES VALLEY,1001637084," 69,463.58 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001637085," 38,366.63 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR ESSEX,1001637090," 136,946.74 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001637093," 93,254.99 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR NORTH WALES,1001637096," 45,528.65 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE,1001637097," 72,008.19 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE,1001637098," 46,223.79 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE,1001637098," 41,463.73 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY,1001637099," 39,607.06 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1001637131," 31,828.12 "
Home Office,DBS - Disclosure & Barring Service,25/09/2014,Criminal Record Checks,DBS - Disclosure & Barring Service,WEST MERCIA PCC,1001637139," 28,611.94 "
Home Office,DBS - Disclosure & Barring Service,18/09/2014,"IT, Telecomms Components",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001634082," 2,876,406.28 "
Home Office,DBS - Disclosure & Barring Service,18/09/2014,"IT, Telecomms Components",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001634082," 501,415.00 "
Home Office,DBS - Disclosure & Barring Service,26/09/2014,"IT, Telecomms Managed Service",DBS - Disclosure & Barring Service,MINISTRY OF JUSTICE,3000048967," 82,500.00 "
Home Office,DBS - Disclosure & Barring Service,26/09/2014,"IT, Telecomms Managed Service",DBS - Disclosure & Barring Service,MINISTRY OF JUSTICE,3000048967," 82,500.00 "
Home Office,DBS - Disclosure & Barring Service,26/09/2014,"IT, Telecomms Managed Service",DBS - Disclosure & Barring Service,MINISTRY OF JUSTICE,3000048967," 25,500.00 "
Home Office,DBS - Disclosure & Barring Service,26/09/2014,"IT, Telecomms Managed Service",DBS - Disclosure & Barring Service,MINISTRY OF JUSTICE,3000048967," 25,500.00 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Professional & Admin Services,DBS - Disclosure & Barring Service,HOME OFFICE,9000128," 38,352.00 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Professional & Admin Services,DBS - Disclosure & Barring Service,HOME OFFICE,9000127," 39,550.80 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Professional & Admin Services,DBS - Disclosure & Barring Service,HOME OFFICE,9000126," 38,951.73 "
Home Office,DBS - Disclosure & Barring Service,24/09/2014,Professional & Admin Services,DBS - Disclosure & Barring Service,HOME OFFICE,9000129," 38,951.73 "
Home Office,HMPO - HM Passport Office,11/09/2014,Consultancy & Contingent Labour,HMPO - HM Passport Office,CARILLION (MAPLE OAK) LTD,1001631095," 25,920.00 "
Home Office,HMPO - HM Passport Office,24/09/2014,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001636526," 113,972.95 "
Home Office,HMPO - HM Passport Office,26/09/2014,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001637647," 38,203.68 "
