Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) 
FCO,FCO,22-Nov-12,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1060485,"26,666.00"
FCO,FCO,22-Nov-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1060485,"5,333.20"
FCO,FCO,30-Nov-12,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,BACTEC INTERNATIONAL LTD,1061240,"170,286.00"
FCO,FCO,09-Nov-12,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ABERDAIR AVIATION PLC,751562,"25,526.95"
FCO,FCO,29-Nov-12,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ABERDAIR AVIATION PLC,751563,"25,172.54"
FCO,FCO,27-Nov-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000520,"38,126.00"
FCO,FCO,27-Nov-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000520,762.52
FCO,FCO,27-Nov-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000520,152.5
FCO,FCO,14-Nov-12,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,UNODC,300000702,"25,125.58"
FCO,FCO,14-Nov-12,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,UNODC,300000702,"-25,125.58"
FCO,FCO,14-Nov-12,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,UNODC,300000702,"25,124.88"
FCO,FCO,08-Nov-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,2000518,"40,448.00"
FCO,FCO,08-Nov-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,2000518,"23,260.00"
FCO,FCO,08-Nov-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,2000518,"36,322.00"
FCO,FCO,08-Nov-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,2000518,"4,652.00"
FCO,FCO,08-Nov-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,2000518,"8,089.60"
FCO,FCO,08-Nov-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,2000518,"7,264.40"
FCO,FCO,06-Nov-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,"30,029.07"
FCO,FCO,06-Nov-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,706.93
FCO,FCO,06-Nov-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,"6,147.20"
FCO,FCO,06-Nov-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,"-30,029.07"
FCO,FCO,06-Nov-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,-706.93
FCO,FCO,06-Nov-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,"30,736.00"
FCO,FCO,06-Nov-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,"-30,029.07"
FCO,FCO,06-Nov-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,"-6,005.81"
FCO,FCO,06-Nov-12,Temporary Staff (Admin and Clerical Only),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1059242,"30,029.07"
FCO,FCO,06-Nov-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,-706.93
FCO,FCO,06-Nov-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,-141.39
FCO,FCO,06-Nov-12,Temporary Staff (Admin and Clerical Only),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1059242,706.93
FCO,FCO,06-Nov-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,"30,029.07"
FCO,FCO,06-Nov-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,"6,005.81"
FCO,FCO,06-Nov-12,Temporary Staff (Admin and Clerical Only),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1059242,"-30,029.07"
FCO,FCO,06-Nov-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1059242,706.93
