Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,25/04/2014,4672354,"1,355,123",COMPUTACENTER UK LTD,Information Systems Under £3000 (non-capitalised)
FCO,FCO,30/04/2014,4682168,"1,062,195",DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/04/2014,4660360,"1,000,000",UNMAS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/04/2014,4668351,"911,487.80",GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,22/04/2014,4675445,"880,473.80",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,16/04/2014,4672356,"700,000",COMPUTACENTER UK LTD,Information Systems Under £3000 (non-capitalised)
FCO,FCO,02/04/2014,4660229,"699,006",BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,22/04/2014,4675456,"609,016.20",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,16/04/2014,4673820,"539,987.30",INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Interim Helpdesk, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Rematching / Reinstatement, Waste Disposal"
FCO,FCO,16/04/2014,4673464,"534,002",THALES UK LIMITED,Temporary Staff (Admin and Clerical Only)
FCO,FCO,14/04/2014,4671333,"512,438.60",ARTEOS GMBH,"Electricity Non-Residential, Estates - Other Machinery and Equipment, Pfi : Public/Private Partnership Consultants Fees Non-Residential, Waste Disposal"
FCO,FCO,30/04/2014,4675232,"473,314.10",POPEYES NIGERIA LTD,"Recharge Suspense Account (Oracle PA Control Account), Rental Payments - residential"
FCO,FCO,22/04/2014,4675482,"465,015",HEWLETT PACKARD LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,22/04/2014,4677415,"369,536.90",GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,10/04/2014,4668446,"332,209.70",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,23/04/2014,4675507,"319,819.50",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
