Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,13/11/2014,"4,863,847","£30,000.00",SOLACE ENTERPRISES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/11/2014,"4,865,643","£37,905.65",ARTICLE 19,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/11/2014,"4,865,665","£225,168.00",CAPGEMINI UK PLC,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,17/11/2014,"4,866,954","-£738,251.00",COMPUTACENTER UK LTD,Estates Management Services
FCO,FCO,18/11/2014,"4,866,664","£36,431.00",GUANGDONG ENVIRONMENT EXCHANGE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/11/2014,"4,864,363","£26,630.98",LANKA UNITES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/11/2014,"4,864,319","£184,549.50",THE ASIA FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/11/2014,"4,868,481","£33,115.00",AXIOM INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/11/2014,"4,867,490","£50,000.00",CAMBRIDGE CONSULTANTS,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/11/2014,"4,868,503","£225,168.00",CAPGEMINI UK PLC,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/11/2014,"4,865,594","-£200,000.00",DANISH REFUGEE COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/11/2014,"4,866,305","£267,090.30",DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
FCO,FCO,19/11/2014,"4,864,770","£140,119.10",FCO SERVICES,IT/IS Consultancy
FCO,FCO,19/11/2014,"4,865,669","£49,002.98",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/11/2014,"4,865,783","£26,558.18",FCO SERVICES,Security: Works Non-Residential
FCO,FCO,19/11/2014,"4,866,309","£27,932.87",HOUSE OF COMMONS,Secondments
FCO,FCO,19/11/2014,"4,865,912","£29,020.00",INSTITUT FRANCAIS,Language Tuition: Essential
FCO,FCO,19/11/2014,"4,867,083","£100,856.20",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,19/11/2014,"4,867,069","£49,369.02",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,19/11/2014,"4,868,402","£32,365.17",MEDIA DIVERSITY INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/11/2014,"4,867,528","£67,857.73",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,19/11/2014,"4,867,546","£48,578.45",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,19/11/2014,"4,867,512","£30,303.60",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,19/11/2014,"4,864,647","£91,718.00",PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/11/2014,"4,865,494","£126,131.00",UNITED NATIONS POPULATION FUND,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/11/2014,"4,865,918","£159,867.00",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,20/11/2014,"4,868,585","£857,530.00",GLOBAL RADIODATA COMMUNICATIONS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/11/2014,"4,866,557","£140,885.20",KELLOGG BROWN AND ROOT,Estates Management Services
FCO,FCO,20/11/2014,"4,869,400","£25,485.25",MANCHESTER CENTRAL CONVENTION COMPLEX,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/11/2014,"4,868,383","£33,219.00",OPEN KNOWLEDGE FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/11/2014,"4,868,447","£705,000.00",RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,21/11/2014,"4,870,705","£107,668.90",BMW AG,Vehicle Hire
FCO,FCO,21/11/2014,"4,870,552","£552,407.00",INTERSERVE FM LTD,
FCO,FCO,21/11/2014,"4,870,585","£60,056.49",INTERSERVE FM LTD,
FCO,FCO,21/11/2014,"4,870,423","£53,300.12",INTERSERVE FM LTD,
FCO,FCO,21/11/2014,"4,870,422","£48,199.53",INTERSERVE FM LTD,FM Interserve BES Maintenance
FCO,FCO,21/11/2014,"4,870,450","£46,241.51",INTERSERVE FM LTD,
FCO,FCO,21/11/2014,"4,870,553","£37,341.74",INTERSERVE FM LTD,Energy Saving Measures
FCO,FCO,21/11/2014,"4,870,521","£33,693.34",INTERSERVE FM LTD,Construction Project more than Â£10k
FCO,FCO,21/11/2014,"4,870,589","£30,394.71",INTERSERVE FM LTD,
FCO,FCO,21/11/2014,"4,870,576","£29,774.37",INTERSERVE FM LTD,
FCO,FCO,21/11/2014,"4,870,588","£26,516.10",INTERSERVE FM LTD,
FCO,FCO,21/11/2014,"4,870,474","£26,124.41",INTERSERVE FM LTD,
FCO,FCO,24/11/2014,"4,872,205","£110,459.00",CAPITA PROPERTY AND INFRASTRUCTURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,24/11/2014,"4,868,972","£32,024.55",CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,24/11/2014,"4,870,726","£32,024.55",CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,24/11/2014,"4,870,730","£32,024.55",CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,24/11/2014,"4,865,684","£123,848.00",CROWN AGENTS FINANCIAL SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,24/11/2014,"4,866,541","£150,980.70",FUJITSU SERVICES LIMITED,IT/IS Consultancy
FCO,FCO,24/11/2014,"4,866,532","£50,326.89",FUJITSU SERVICES LIMITED,IT/IS Consultancy
FCO,FCO,24/11/2014,"4,872,128","£965,514.90",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
