Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier,Account Description
FCO,FCO,14/02/2014,4596737,-36138.74,DIPLOMATIC MISSION SUPPLIES LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,12/02/2014,4584176,-47099.33,INTERNATIONAL CENTRE FOR PRISON STUDIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,26/02/2014,4605803,-51000.00,FCO SERVICES,Information Systems Maintenance
FCO,FCO,28/02/2014,4613552,-86568.02,VODAFONE LTD CABLE AND WIRELESS UK,Temporary Staff (Admin and Clerical Only)
FCO,FCO,25/02/2014,4607403,-132915.00,REDR UK - ENGINEERS FOR DISASTER RELIEF,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/02/2014,4593985,-140574.70,MSECURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,27/02/2014,4611085,-285116.60,EXCEL LONDON,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/02/2014,4598219,1510907.00,FCO SERVICES,IT/IS Consultancy
FCO,FCO,19/02/2014,4601869,984242.20,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,11/02/2014,4589213,920913.20,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,27/02/2014,4610796,866723.30,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Non-Residential, Gas Residential, Property Maintenance Overseas Non Residential, Rent Deposits, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,27/02/2014,4596858,817670.90,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Non-Residential, Gas Residential, Rental Payments - residential, Telephone Call Charges, Waste Disposal, Water Non-Residential, Water Residential"
FCO,FCO,19/02/2014,4601865,608538.00,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,12/02/2014,4593999,523501.10,ARTEOS GMBH,"Electricity Non-Residential, Estates - Other Machinery and Equipment, Pfi : Public/Private Partnership Consultants Fees Non-Residential, Waste Disposal, Water Residential"
FCO,FCO,27/02/2014,4610639,417078.10,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/02/2014,4586912,416461.80,FCO SERVICES,Residential Property Services
FCO,FCO,21/02/2014,4605002,376278.00,SIREN ASSOCIATES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/02/2014,4603081,375913.10,INTERSERVE FM LTD,"Construction Project more than £10k, FM Interserve Building Fabric Maintenance, FM Interserve Works"
FCO,FCO,11/02/2014,4589484,367425.60,GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,19/02/2014,4598199,345934.00,FCO SERVICES,Temporary Staff (Admin and Clerical Only)
FCO,FCO,26/02/2014,4609412,344380.00,FCO SERVICES,Freight & Customs Clearance Charges
FCO,FCO,28/02/2014,4613533,337032.00,VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,21/02/2014,4603233,335090.00,ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/02/2014,4603172,332209.70,G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,18/02/2014,4599271,318780.00,XMA LIMITED,Information Systems Under £3000 (non-capitalised)
FCO,FCO,07/02/2014,4589189,305133.80,MINES ADVISORY GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,26/02/2014,4605026,300000.00,FCO SERVICES,Technical Consultancy
FCO,FCO,28/02/2014,4613123,294881.20,FINNCHURCHAID,Programme Spend (Oracle Projects Control Account)
FCO,FCO,27/02/2014,4604834,285116.60,EXCEL LONDON,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/02/2014,4595333,250004.00,BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/02/2014,4590477,240000.00,IFES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/02/2014,4604990,239759.30,ADYAN FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/02/2014,4594693,231921.30,SHELL NIG CLOSED PENSION FUND ADMINISTRATOR LTD,Rental Payments - residential
FCO,FCO,11/02/2014,4588458,230435.80,AFGHANISTAN INDEPENDENT HUMAN RIGHTS COMMISSION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/02/2014,4598323,205536.60,KELLOGG BROWN AND ROOT,Estates Management Services
FCO,FCO,04/02/2014,4583344,200350.40,FREE AND FAIR ELECTION FOUNDATION - CORE COST (FEFA - CORE),Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/02/2014,4599360,194591.90,DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
