Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,02/02/2015,"4,915,423","31,572",WASAFIRI CONSULTING,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/02/2015,"4,937,557","33,933",CONCILIATION RESOURCES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/02/2015,"4,936,374","34,693.97",BRITCHAM BUSINESS SERVICES,UKTI HQ Allocation- DSO
FCO,FCO,02/02/2015,"4,937,567","53,780.40",CROWN AGENTS FINANCIAL SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/02/2015,"4,933,382","96,873.25",THE ASIA FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/02/2015,"4,937,516","102,373.80",BACTEC INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/02/2015,"4,937,535","116,201.80",NORTHERN IRELAND CO OPERATION OVERSEAS NI CO LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/02/2015,"4,937,588","124,085.70",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/02/2015,"4,927,936","237,716.30",DANCHURCHAID,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/02/2015,"4,930,123","249,877.90",CATHOLIC RELIEF SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/02/2015,"4,940,483","-763,459.60",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/02/2015,"4,938,715","-79,205.69",LEVEL 3 COMMUNICATIONS UK LTD,Estates - Other Machinery and Equipment
FCO,FCO,03/02/2015,"4,927,562","28,819.14",INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,03/02/2015,"4,938,789","29,572",COGENT ELECTRICAL SERVICES LTD FORM WES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/02/2015,"4,931,674","30,332.24",G4S SECURITY SERVICE DRC SPRL,Local Guards
FCO,FCO,03/02/2015,"4,938,631","39,766",INSTITUTE FOR HUMAN RIGHTS AND BUSINESS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/02/2015,"4,937,154","39,881.76",SAYARA MEDIA COMMUNICATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/02/2015,"4,932,382","41,874.61",PERMANENT COURT OF ARBITRATION,Legal Consultancy
FCO,FCO,03/02/2015,"4,937,170","42,794.26",Elixir Solutions,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/02/2015,"4,938,617","47,230.40",ARRIYADH DEVELOPMENT AUTHORITY,Rental Payments - non residential
