Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier,Account Description
FCO,FCO,29/01/2014,4573699,-27656.06,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,21/01/2014,4569512,-46059.60,UTTAM TOYOTA,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,06/01/2014,4553122,-63434.00,POWER ELECTRICS BRISTOL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,31/01/2014,4583008,-73676.41,HOTELLINE FOR TOURISTIC INVESTMENT LTD,Rental Payments - residential
FCO,FCO,29/01/2014,4573695,-128079.50,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,23/01/2014,4574019,-143456.70,ALBANY ASSOCIATES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,30/01/2014,4582719,-1742075.00,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,31/01/2014,4582685,3394751.00,VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,08/01/2014,4556056,2344746.00,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,22/01/2014,4567898,1888350.00,FCO SERVICES,Residential Property Services
FCO,FCO,08/01/2014,4556064,1754192.00,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/01/2014,4556073,1510906.00,FCO SERVICES,IT/IS Consultancy
FCO,FCO,31/01/2014,4582683,1202530.00,VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,28/01/2014,4575485,1000000.00,SPECIAL TRIBUNAL FOR LEBANON,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/01/2014,4556067,956768.00,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/01/2014,4559603,931199.10,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,31/01/2014,4582692,899469.70,VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,22/01/2014,4560397,849246.80,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,31/01/2014,4582687,751802.50,VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,22/01/2014,4570836,701866.90,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,22/01/2014,4560399,608104.60,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,17/01/2014,4566044,539987.30,INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Interim Helpdesk, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Rematching / Reinstatement, Waste Disposal"
