Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,20/06/2014,"4,734,497","968,576.80",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,05/06/2014,"4,718,963","883,053.40",GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,11/06/2014,"4,716,961","721,474.20",EXTRASPACE SOLUTIONS,Construction Project more than £10k
FCO,FCO,20/06/2014,"4,734,511","604,404.20",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,12/06/2014,"4,720,186","562,794",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,05/06/2014,"4,717,354","549,111.10",WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/06/2014,"4,727,185","500,000",NERC NATURAL ENVIRONMENT RESEARCH COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/06/2014,"4,726,957","496,097.20",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,20/06/2014,"4,733,949","441,184.70",ARTEOS GMBH,Pfi : Public/Private Partnership Consultants Fees Non-Residential
FCO,FCO,26/06/2014,"4,739,680","432,662.60",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential
FCO,FCO,04/06/2014,"4,717,156","393,075",M INTEGRATED SOLUTIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,27/06/2014,"4,738,588","376,008",BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,20/06/2014,"4,734,101","344,082",VODAFONE LTD CABLE AND WIRELESS UK,Information Systems Implementation
FCO,FCO,16/06/2014,"4,727,203","339,992",MINES ADVISORY GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/06/2014,"4,722,722","329,988.80",GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,19/06/2014,"4,730,996","326,112.70",GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,10/06/2014,"4,720,049","254,200.90",OROSTREAM INTERNATIONAL CONTRACTS LTD,Construction Project more than £10k
FCO,FCO,11/06/2014,"4,725,250","254,061.30",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/06/2014,"4,732,771","240,000",M INTEGRATED SOLUTIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/06/2014,"4,717,522","232,682.80",MINISTRY OF ECONOMY AND FINANCE KOSOVA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06/06/2014,"4,720,462","230,000",LEITHS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/06/2014,"4,715,313","225,168",CAPGEMINI UK PLC,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,24/06/2014,"4,737,386","215,972.80",OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,25/06/2014,"4,736,542","201,597.70",KELLOGG BROWN AND ROOT,Estates Management Services
FCO,FCO,25/06/2014,"4,736,542","201,597.70",KELLOGG BROWN AND ROOT,Estates Management Services
FCO,FCO,19/06/2014,"4,732,771","200,000",M INTEGRATED SOLUTIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/06/2014,"4,732,295","194,943.40",LONDON ENERGY,Electricity Non-Residential
FCO,FCO,12/06/2014,"4,720,182","178,739",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,IT/IS Consultancy
FCO,FCO,05/06/2014,"4,719,072","166,023",CAPGEMINI UK PLC,Estates Management Services
FCO,FCO,16/06/2014,"4,728,813","158,544.30",G4S SECURE SOLUTIONS (UK),Manned Guarding Services
FCO,FCO,04/06/2014,"4,716,641","157,083.30",INTERSERVE FM LTD,Cleaning & Waste
FCO,FCO,11/06/2014,"4,717,288","150,748",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,24/06/2014,"4,737,201","150,000",DANISH REFUGEE COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/06/2014,"4,729,938","147,040.70",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Mobile Guarding Contract overseas
FCO,FCO,23/06/2014,"4,736,548","145,548.30",KELLOGG BROWN AND ROOT,Estates Management Services
FCO,FCO,17/06/2014,"4,729,889","144,590.80",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Mobile Guarding Contract overseas
FCO,FCO,25/06/2014,"4,738,947","142,120.80",LILLEKER ELECTRICAL INSTALLATIONS AND POWER ENGINEERING,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/06/2014,"4,725,232","141,064.20",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,27/06/2014,"4,741,669","140,757",AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/06/2014,"4,716,643","140,140.40",INTERSERVE FM LTD,Construction Project more than £10k
