Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,02/09/2014,"4,803,051","95,091",M INTEGRATED SOLUTIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/09/2014,"4,803,181","35,569.99",G4S SECURITY SERVICES,Local Guards
FCO,FCO,03/09/2014,"4,803,350","95,291.52",CARDIFF INTERNATIONAL AIRPORT LTD,Inward visits to the UK and UK Conferences
FCO,FCO,03/09/2014,"4,803,643","37,859.15",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges
FCO,FCO,03/09/2014,"4,803,729","264,414",VODAFONE LTD CABLE AND WIRELESS UK,Information Systems Implementation
FCO,FCO,03/09/2014,"4,803,770","34,090.67",IOM INTERNATIONAL ORGANIZATION FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/09/2014,"4,803,774","55,018",GROUNDTRUTH CONSULTING LTD,Training
FCO,FCO,09/09/2014,"4,804,175","130,380",MCN PROJECTS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/09/2014,"4,804,349","35,637.66",SPARK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/09/2014,"4,804,791","123,736.50",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Maintenance
FCO,FCO,05/09/2014,"4,805,774","31,863.23",DEMOCRACY REPORTING INTERNATIONAL GMBH,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/09/2014,"4,805,776","26,716.44",DEMOCRACY REPORTING INTERNATIONAL GMBH,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/09/2014,"4,805,783","32,653",NORTEL SECURITY ZAO OP,Local Guards
FCO,FCO,26/09/2014,"4,805,797","53,531.15",TEAM LEYLAND INTERNATIONAL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,26/09/2014,"4,805,803","53,531.15",TEAM LEYLAND INTERNATIONAL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/09/2014,"4,805,805","34,230.85",FCO SERVICES,IT/IS Consultancy
FCO,FCO,05/09/2014,"4,805,835","28,020.86",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges
FCO,FCO,05/09/2014,"4,805,876","588,792.80",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges
FCO,FCO,05/09/2014,"4,806,244","98,000",RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/09/2014,"4,806,270","30,881.88",SUPPLY PLUS,Estates - Other Machinery and Equipment
FCO,FCO,10/09/2014,"4,806,770","31,469.89",GOVERNMENT MEDIA CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/09/2014,"4,806,995","37,333.37",CAPGEMINI UK PLC,Temporary Staff (Admin and Clerical Only)
FCO,FCO,26/09/2014,"4,807,038","144,371.60",INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,09/09/2014,"4,807,049","58,734",INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Rematching / Reinstatement, Residential Property Services, Waste Disposal"
FCO,FCO,08/09/2014,"4,807,206","25,463.10",TRUCOST PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/09/2014,"4,807,312","193,921.10",OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/09/2014,"4,807,708","69,020.44",FCO SERVICES,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,08/09/2014,"4,807,727","47,236",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,12/09/2014,"4,807,746","48,484.11",CENTER FOR THE STUDY OF ISLAM AND DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/09/2014,"4,807,756","29,853.75",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/09/2014,"4,807,758","65,118.93",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/09/2014,"4,807,759","27,927.56",FCO SERVICES,Estates - Other Machinery and Equipment
FCO,FCO,10/09/2014,"4,807,761","82,222.38",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,08/09/2014,"4,807,763","32,110.04",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,15/09/2014,"4,807,793","615,686",JAGUAR LAND ROVER LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,08/09/2014,"4,807,816","185,428",CAPITA PROPERTY AND INFRASTRUCTURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/09/2014,"4,807,826","51,431.41",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,10/09/2014,"4,807,829","26,917.91",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,10/09/2014,"4,807,833","60,533.69",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,10/09/2014,"4,807,848","114,007.50",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/09/2014,"4,807,851","591,045.20",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/09/2014,"4,807,853","336,394.40",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/09/2014,"4,807,854","96,384",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,08/09/2014,"4,807,860","33,887.93",ARTICLE 19,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/09/2014,"4,808,282","58,906.25",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,09/09/2014,"4,808,292","33,427.06",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,10/09/2014,"4,808,385","91,054",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/09/2014,"4,808,447","31,470",LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,Specialist Training (Devolved)
FCO,FCO,10/09/2014,"4,808,452","177,215.60",FCO SERVICES,Residential Property Services
FCO,FCO,10/09/2014,"4,808,484","27,206",FCO SERVICES,Information Systems Maintenance
FCO,FCO,10/09/2014,"4,808,488","109,323.40",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/09/2014,"4,808,525","30,269.28",COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/09/2014,"4,808,526","30,000",PWX LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/09/2014,"4,808,538","258,785",BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/09/2014,"4,808,563","34,274.32",AEGIS DEFENCE SERVICES LTD,Local Guards
FCO,FCO,15/09/2014,"4,808,573","35,269.85",SUMMIT INTERNATIONAL SERVICES,"Construction Project more than £10k, Property Maintenance Overseas Non Residential"
FCO,FCO,24/09/2014,"4,808,626","25,057.70",SECURITAS SAC,Local Guards
FCO,FCO,10/09/2014,"4,808,676","46,841.80",KOIZA INTERNATIONAL LTD,"Freight & Customs Clearance Charges, Property Maintenance Overseas Residential, Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,10/09/2014,"4,809,516","36,078.86",SWAAT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,26/09/2014,"4,809,965","415,879.20",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges
FCO,FCO,10/09/2014,"4,810,037","39,400",AGILE BYTE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,16/09/2014,"4,810,103","25,779.51",UNHAS SOMALIA,"Post - Air Travel, Programme Spend (Oracle Projects Control Account)"
FCO,FCO,16/09/2014,"4,810,106","31,514.99",UNHAS SOMALIA,"Post - Air Travel, Programme Spend (Oracle Projects Control Account)"
FCO,FCO,11/09/2014,"4,810,210","121,165.20",AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/09/2014,"4,810,988","30,155",COUNSELLING SERVICES UNIT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/09/2014,"4,811,258","88,488",MERCY CORPS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/09/2014,"4,811,273","885,929.10",GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,12/09/2014,"4,811,289","296,898.80",GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,11/09/2014,"4,811,303","552,407",INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Interim Helpdesk, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Rematching / Reinstatement, Waste Disposal"
FCO,FCO,12/09/2014,"4,811,357","241,633.90",MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,12/09/2014,"4,811,361","227,495.80",MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,12/09/2014,"4,811,364","275,625.50",MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/09/2014,"4,811,368","309,317.30",MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,12/09/2014,"4,811,400","889,537.40",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,12/09/2014,"4,811,416","604,404.20",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,11/09/2014,"4,811,420","25,228",SAFERWORLD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/09/2014,"4,811,471","158,771",GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,Rental Payments - non residential
FCO,FCO,11/09/2014,"4,811,534","180,801",THE BRITISH RUSSIAN CENTRE AND THE BRITISH EAST WEST CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/09/2014,"4,811,583","25,285.28",TONY GRAHAM MOTORS 1980 LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,16/09/2014,"4,811,921","90,464.99",DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/09/2014,"4,811,970","25,607.80",GUANGDONG ENERGY CONSERVATION CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/09/2014,"4,812,211","126,552.10",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,15/09/2014,"4,812,255","48,790.08",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,15/09/2014,"4,812,262","151,608.30",N A MOVING SERVICES LTD,Heavy Baggage
