Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier,Account Description
FCO,FCO,10/12/2013,165552,-28295.30,SOFUOGLU LAW OFFICE,Legal Consultancy
FCO,FCO,03/12/2013,3403,-29262.12,HEWLETT PACKARD LTD,IT/IS Consultancy
FCO,FCO,17/12/2013,162152,-55679.00,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/12/2013,32928,1510906.00,FCO SERVICES,IT/IS Consultancy
FCO,FCO,10/12/2013,2844,1098727.00,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,09/12/2013,176134,915316.50,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,20/12/2013,12745,885992.00,DETICA LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/12/2013,2549,778571.00,DETICA LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,20/12/2013,13926,710895.60,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/12/2013,2844,601111.20,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,16/12/2013,47424,539987.30,INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Interim Helpdesk, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Rematching / Reinstatement, Waste Disposal"
FCO,FCO,06/12/2013,312192,510610.70,ARTEOS GMBH,"Electricity Non-Residential, Estates - Other Machinery and Equipment, Pfi : Public/Private Partnership Consultants Fees Non-Residential, Waste Disposal, Water Residential"
FCO,FCO,19/12/2013,2549,408131.00,DETICA LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,23/12/2013,176134,402958.30,GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,12/12/2013,58972,402909.50,JUAN GAVIRIA RESTREPO & CIA,Rental Payments - non residential
FCO,FCO,20/12/2013,115248,358185.40,FCO SERVICES,Temporary Staff (Admin and Clerical Only)
FCO,FCO,11/12/2013,7296,337907.60,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,10/12/2013,63118,334962.00,GILBERT ASH FITOUT LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,23/12/2013,32916,332778.70,PERMANENT COURT OF ARBITRATION,Legal Consultancy
FCO,FCO,23/12/2013,1164456,332209.70,G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,12/12/2013,567532,290409.30,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/12/2013,318234,260054.00,CAPITA SYMONDS LIMITED,Residential Property Services
FCO,FCO,19/12/2013,323040,248448.70,NATIONAL RESOURCES INSURANCE SERVICES EST,Medical Supplies
FCO,FCO,31/12/2013,17064,244412.30,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,"Programme Spend (Oracle Projects Control Account), UK Mobile Guarding Contract overseas"
FCO,FCO,03/12/2013,328576,237574.50,SIREN ASSOCIATES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/12/2013,32928,230850.00,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,09/12/2013,71914,229791.40,IOM INTERNATIONAL ORGANIZATION FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/12/2013,3648,215552.80,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,11/12/2013,5016,215532.90,DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
FCO,FCO,16/12/2013,94050,210381.80,NELSON LUXEMBOURG PROPERTIES DEVELOPMENT SARL,Rental Payments - non residential
FCO,FCO,17/12/2013,21365550,190865.30,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Non-Residential, Gas Residential, Property Maintenance Overseas Non Residential, Rent Deposits, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,18/12/2013,423524,190695.00,MERCYCORPS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/12/2013,38880,187655.60,LONDON ENERGY,Electricity Non-Residential
FCO,FCO,16/12/2013,32442,187182.40,KELLOGG BROWN AND ROOT,Estates Management Services
FCO,FCO,13/12/2013,5394784,173644.30,ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,17/12/2013,23359668,173492.20,ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential, Rent Deposits, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,17/12/2013,21650424,157008.70,ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Rent Deposits, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,17/12/2013,7530,155500.00,JAGUAR LAND ROVER LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/12/2013,2292,146666.40,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
