Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) 
FCO,FCO,17-Jan-13,Information Systems Maintenance,DG CHANGE & DELIVERY,3M UNITED KINGDOM PLC,1064844,"61,687.50"
FCO,FCO,17-Jan-13,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,3M UNITED KINGDOM PLC,1064844,"12,337.50"
FCO,FCO,24-Jan-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,GENESIS,2012360,"26,024.91"
FCO,FCO,24-Jan-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,GENESIS,2012360,"1,204.05"
FCO,FCO,04-Jan-13,Rental Payments - non residential,DG CHANGE & DELIVERY,APIA ASSET MANAGEMENT LIMITED,1063597,"35,196.00"
FCO,FCO,04-Jan-13,Rental Payments - non residential,DG CHANGE & DELIVERY,APIA ASSET MANAGEMENT LIMITED,1063597,"7,039.20"
FCO,FCO,29-Jan-13,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ALBANY ASSOCIATES INTERNATIONAL LTD,1065702,"21,000.00"
FCO,FCO,29-Jan-13,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ALBANY ASSOCIATES INTERNATIONAL LTD,1065702,750
FCO,FCO,29-Jan-13,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ALBANY ASSOCIATES INTERNATIONAL LTD,1065702,"-21,000.00"
FCO,FCO,29-Jan-13,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ALBANY ASSOCIATES INTERNATIONAL LTD,1065702,-750
FCO,FCO,29-Jan-13,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ALBANY ASSOCIATES INTERNATIONAL LTD,1065702,"21,000.00"
FCO,FCO,29-Jan-13,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ALBANY ASSOCIATES INTERNATIONAL LTD,1065702,750
FCO,FCO,29-Jan-13,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ALBANY ASSOCIATES INTERNATIONAL LTD,1065702,"4,350.00"
FCO,FCO,04-Jan-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,I TO I RESEARCH LIMITED,1063698,"45,600.00"
FCO,FCO,04-Jan-13,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,I TO I RESEARCH LIMITED,1063698,"9,120.00"
FCO,FCO,04-Jan-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,I TO I RESEARCH LIMITED,1063698,"-45,600.00"
FCO,FCO,04-Jan-13,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,I TO I RESEARCH LIMITED,1063698,"-9,120.00"
FCO,FCO,04-Jan-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,I TO I RESEARCH LIMITED,1063698,"45,600.00"
FCO,FCO,04-Jan-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,I TO I RESEARCH LIMITED,1063698,"-45,600.00"
FCO,FCO,04-Jan-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,I TO I RESEARCH LIMITED,1063698,"38,000.00"
FCO,FCO,04-Jan-13,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,I TO I RESEARCH LIMITED,1063698,"7,600.00"
