Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
Defra,RPA,26/06/12,Supplier Contactors,Strategic Improvement Planning,Accenture,3003185753," £58,060.00 ",ICT managed services charges,EC3M 3BD,No,64349, ,ADMIN,,,
Defra,RPA,20/06/12,Outsourced scanning costs,Managed Document Services,Adare,IS1204570," £70,962.10 ",Single Payment form No.5 scanning and data capture,HD8 9QQ,No,64150,MDSSPS01,ADMIN,,,
Defra,RPA,20/06/12,Printing,Managed Document Services,Adare,IS1204481," £30,046.70 ",Cattle Passport postage costs,HD8 9QQ,No,64149,MDSBCMS,ADMIN,,,
Defra,RPA,21/06/12,Contractor Costs,Future Options Programme (FOP),Amtec,2055," £26,136.00 ",Contractor costs,EC3V 3DG,No,63659,FOP0100,ADMIN,,,
Defra,RPA,22/06/12,Vehicles - Lease Costs,Various,Arval,1035943," £60,017.27 ",Lease vehicle costs,SN5 6PE,No,various, ,ADMIN,,,
Defra,RPA,07/06/12,IT Outsourced Services,Service Management,DSGi Business,11391621," £75,834.00 ",ICT managed services charges,BL9 7BJ,No,64079,OFFS0125,ADMIN,,,
Defra,RPA,12/06/12,Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,30442," £386,818.33 ",Sustainable Workplace Management - Newcastle,B4 6AJ,No,63803, ,ADMIN,,,
Defra,RPA,13/06/12,Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,35205," £42,771.13 ",Sustainable Workplace Management - North Gate House June 12,B4 6AJ,No,64261,,ADMIN,,,
Defra,RPA,18/06/12,Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,34201," £42,771.13 ",Sustainable Workplace Management - North Gate House Apr 12,B4 6AJ,No,64261,,ADMIN,,,
Defra,RPA,18/06/12,Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,34689," £42,771.13 ",Sustainable Workplace Management - North Gate House May 12,B4 6AJ,No,64261,,ADMIN,,,
Defra,RPA,13/06/12,Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,35179," £33,629.84 ",Sustainable Workplace Management - Clyst House June 12,B4 6AJ,No,64261,,ADMIN,,,
Defra,RPA,13/06/12,Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,34664," £33,629.84 ",Sustainable Workplace Management - Clyst House May 12,B4 6AJ,No,64261,,ADMIN,,,
Defra,RPA,15/06/12,Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,34176," £33,629.84 ",Sustainable Workplace Management - Clyst House April 12,B4 6AJ,No,64261,,ADMIN,,,
Defra,RPA,07/06/12,IT Outsourced Services,Service Management,IBM,5805120967," £885,881.05 ",IBM baseline charges,B4 6AJ,No,64136,IBMBS000,ADMIN,,,
Defra,RPA,20/06/12,IT Outsourced Services,Service Management,IBM,5804120855," £56,728.64 ",IBM baseline charges,B4 6AJ,No,64136,IBMBS000,ADMIN,,,
Defra,RPA,20/06/12,IT Outsourced Services,Programmes & Projects,Software AG,1109002350," £55,200.00 ",Single Payment Scheme (SPS) Rollover and Enhancements,DE24 8HS,No,64221,CORS0210,ADMIN,,,
Defra,RPA,20/06/12,IT Outsourced Services,Service Management,Steria Limited,100034472," £554,034.00 ",Fixed price core support services 1/7 to 30/9,M14 0WN,No,64137,CORS0150,ADMIN,,,
Defra,RPA,21/06/12,IT Outsourced Services,Service Management,Steria Limited,100034474," £192,608.40 ",Fixed price enhancement services 1/7 to 30/9,M14 0WN,No,64137,CORS0140,ADMIN,,,
Defra,RPA,18/06/12,IT Outsourced Services,Service Management,Steria Limited,100034473," £34,622.40 ",Fixed price for Accommodation 1/7 to 30/9,M14 0WN,No,64137,CORS0120,ADMIN,,,
