,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,RPA,25/09/2012,IT Outsourced Services,Programmes & Projects,Accenture,3003193324," Ł401,673.60 ",ICT Managed Services Charges,EC3M 3BD,No,64175,PPS03700 & SPSS0110,ADMIN,,
DEFRA,RPA,25/09/2012,Supplier Contractors,Strategic Improvement Planning,Accenture,3003193325," Ł113,942.44 ",ICT Managed Services Charges,EC3M 3BD,No,64349,SIPRLR06,ADMIN,,
DEFRA,RPA,20/09/2012,Downstream Access Mailing & Printing,Managed Document Services,Adare,IS1207205," Ł25,067.93 ",Printing relating to Scheme Payments,HD8 9QQ,No,64352,"MDSBCMS1, MDSSPS01, MDSGIS01, MDSFIN01, MDSDSS01, MDSCREG1",ADMIN,,
DEFRA,RPA,24/09/2012,Contractor cost,Future Options Programe ,Amtec,20912," Ł25,542.00 ",Future Options Programme Management ,EC3V 3DG,Blank,63659,FOP01000,ADMIN,,
DEFRA,RPA,18/09/2012,Vehicles - Lease Costs,Various,Arval,1039508," Ł58,312.07 ",Lease vehicle costs,SN5 6PE,No,Various,n/a,ADMIN,,
DEFRA,RPA,17/09/2012,IT Outsourced Services,Service Management,Cable & Wireless,UK130733136/UK10/09," Ł98,041.82 ",Telecommunications Services,RG12 1XL,No,64133,Blank,ADMIN,,
DEFRA,RPA,05/09/2012,Supplier Contractors,Chief Executive's Office,Deloitte & Touche,1110822025," Ł103,647.60 ",Professional Services provided for the audit support of the RPA Fruit and Vegetable Aid Scheme,MK9 1FD,No,64373,n/a,ADMIN,,
DEFRA,RPA,06/09/2012,Supplier Contractors ,Programmes & Projects,Deloitte & Touche,2410059195," Ł130,982.40 ",Professional Services provided for the Future Option Prgramme - finance requirements,MK9 1FD,No,64373,n/a,ADMIN,,
DEFRA,RPA,06/09/2012,IT Outsourced Services,Service Management,DSGi Business,11505693," Ł75,834.00 ",ICT Managed Services Charges 1/4/12 - 31/03/13,BL9 7BJ,No,64069,OFFS0125,ADMIN,,
DEFRA,RPA,25/09/2012,IT Outsourced Services,Service Management,DSGi Business,11531959," Ł29,700.00 ",Quarterly ICT Managed Services Charges,BL9 7BJ,No,64069,OFFS0125,ADMIN,,
DEFRA,RPA,04/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,36090," Ł33,629.84 ",Sustainable Workplace Management - North Gate House June 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,04/09/2012,Defra Estates - Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,36135," Ł42,771.13 ",Sustainable Workplace Management - Clyst House May 2012,B4 6AJ,No,64261,n/a,ADMIN,,
