Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/09/13,CONSULTANTS VAT RECOVERABLE,SCHEME MANAGEMENT EXECUTIVE,GOVERNMENT ACTUARYS DEPARTMENT ,3000039510,33480.88,Full Pension Scheme Valuation ,EC4A 1AB,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/09/13,ADDITIONSAUC F/H RES CONSULTANCY (FEES) VAT REC,ESTATE MANAGEMENT,BOUYGUES E&S FM UK LTD,3000039522,111420.00,Facilities Management Services ,BN1 1HG,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/09/13,ADDITIONSAUC F/H NON RES BLDGS,ESTATE MANAGEMENT,BOUYGUES E&S FM UK LTD,3000039522,315870.00,Facilities Management Services ,BN1 1HG,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,03/09/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,ALPINE CONSORTIUM,3000039535,37339.54,Provision of services in support of the  Electoral Registration Transformation Project  ,EC4A 2BA,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,03/09/13,NON PRIME PROPERTY COSTS,GOVERNMENT DIGITAL SERVICE,FOOD STANDARDS AGENCY,3000039534,49439.44,Rent for accommodation,YO1 7PX,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,03/09/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000039533,53935.00,Interim IT specialists,SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,03/09/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,CREATIVE CHOICE CIC,3000039537,64558.90,Interim IT specialists,SW1H 0DJ,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,03/09/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000039533,66336.56,"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP -- SW1P ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,03/09/13,INSIGNIA COSTS,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000039552,67422.00,Central chancery costs for the administration of Honours,SW1A 1AA,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,03/09/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000039533,261856.88,Interim IT specialists,SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
