Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplicer,Account Description
FCO,FCO,04/09/2013,4425778,"-1,799,960",ISLAMIC REPUBLIC OF AFGHANISTAN MINISTRY OF FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/09/2013,4434206,"-332,467.90",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,13/09/2013,4434217,"-332,467.90",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,11/09/2013,4433141,"-61,758.51",LOUGH ERNE,Inward visits to the UK and UK Conferences
FCO,FCO,25/09/2013,4447499,"-51,057.21",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,17/09/2013,4437160,"-50,767.50",COMPUTACENTER (UK) LTD,Information Systems Under £3000 (non-capitalised)
FCO,FCO,27/09/2013,4451257,"-37,877.93",INSTITUTE FOR SUSTAINABLE COMMUNITIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,27/09/2013,4451024,"25,007.47",G4S SECURITY SERVICES (UGANDA) LTD,Local Guards
FCO,FCO,27/09/2013,4448060,"25,068.63",BELFAST INTERNATIONAL AIRPORT LTD,"Accommodation, Inward visits to the UK and UK Conferences"
FCO,FCO,12/09/2013,4432940,"25,075",CAPGEMINI UK PLC,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,24/09/2013,4431568,"25,103.64",PICK EVERARD,Residential Property Services
FCO,FCO,27/09/2013,4450543,"25,299.54",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,20/09/2013,4440623,"25,337.42",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Non-Residential, Gas Residential, Telephone Call Charges, Waste Disposal, Water Non-Residential, Water Residential"
FCO,FCO,10/09/2013,4430188,"25,525.56",PREMIER PEOPLE SOLUTIONS LTD,Training Courses
FCO,FCO,26/09/2013,4438953,"25,645.26",INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Rematching / Reinstatement, Residential Property Services, Waste Disposal"
FCO,FCO,05/09/2013,4425630,"25,678.13",MIS LTD,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,20/09/2013,4440536,"25,689.53",COOPERATIVA CERAMICA DE QUELIMANE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,30/09/2013,4451606,"25,756.89",H AND S REAL ESTATE COMPANY WLL,Rental Payments - residential
FCO,FCO,18/09/2013,4439857,"25,772",MACEDONIAN INSTITUTE FOR MEDIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/09/2013,4443462,"25,818.57",LONDON ENERGY,Electricity Non-Residential
FCO,FCO,17/09/2013,4432853,"25,837.30",G4S SECURITY SERVICES OY,Local Guards
FCO,FCO,06/09/2013,4425519,"25,957.38",Taskwork Services Ltd,Estates Management Services
FCO,FCO,25/09/2013,4440537,"25,986.56",FCO SERVICES,Construction Project more than £10k
FCO,FCO,04/09/2013,4422331,"26,131.89","INSTITUTE OF ECONOMIC RESEARCH, NATIONAL DEVELOPMENT AND REFORM COMMISSION",Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/09/2013,4432349,"26,360.65",DOWNTOWN COMMERCIAL BROKER,Rental Payments - residential
FCO,FCO,04/09/2013,4424225,"26,367",TORCHLIGHT SOLUTIONS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,27/09/2013,4447824,"26,526.98",SECURITAS SAC,Local Guards
FCO,FCO,29/09/2013,4451644,"26,586.63",WATAN PAIWASTON,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/09/2013,4424543,"26,721.36",MULTIPOINT MADRID 3 SA,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,26/09/2013,4438958,"26,864.51",INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Residential Property Services, Waste Disposal"
FCO,FCO,23/09/2013,4443593,"27,079.08",CAPITA GROUP PLC,Training Courses
FCO,FCO,17/09/2013,4435478,"27,177",THE ENERGY + RESOURCES INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/09/2013,4435583,"27,301.66",ICLEI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/09/2013,4428042,"27,382.69",FCO SERVICES,Construction Project more than £10k
FCO,FCO,16/09/2013,4435364,"27,425.21",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,20/09/2013,4443269,"27,437.50",G4S ZML,"Security: Works Non-Residential, Security: Works Residential"
FCO,FCO,17/09/2013,4432986,"27,620",VERCO ADVISORY SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,26/09/2013,4444625,"27,948.62",TEAM LEYLAND INTERNATIONAL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,25/09/2013,4446822,"27,952.56",DIPSERVICE,Rental Payments - residential
FCO,FCO,19/09/2013,4438968,"27,999.73",INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Rematching / Reinstatement"
FCO,FCO,24/09/2013,4443641,"28,150",FUNDACAO INSTITUTO PARA O FORTALECIMENTO DAS CAPACIDADES INSTITUCIONAIS IFCI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/09/2013,4439389,"28,444.50",LSE ENTERPRISE LIMITED,Specialist Training (Devolved)
FCO,FCO,24/09/2013,4443548,"28,588.26",CENTER FOR THE STUDY OF ISLAM AND DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/09/2013,4438964,"28,671.41",INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Rematching / Reinstatement, Residential Property Services, Waste Disposal"
FCO,FCO,11/09/2013,4426664,"28,881.98",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,26/09/2013,4444636,"28,981.41",TEAM LEYLAND INTERNATIONAL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,29/09/2013,4450091,"29,162.15",TOLO TV INTERNATIONAL INC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/09/2013,4435376,"29,568.48",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,18/09/2013,4438806,"29,609.79",DUBAI ELECTRICITY AND WATER AUTHORITY,"Electricity Non-Residential, Electricity Residential, Water Non-Residential, Water Residential"
FCO,FCO,12/09/2013,4431591,"29,765",ICARUS INCORPORATED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/09/2013,4422425,"30,000",BELFAST INTERNATIONAL AIRPORT LTD,Accommodation
FCO,FCO,18/09/2013,4437294,"30,000",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/09/2013,4438858,"30,362.63",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,26/09/2013,4444610,"30,467.34",G4S SECURITY SERVICE (DRC) SPRL,Local Guards
FCO,FCO,09/09/2013,4428211,"30,608.42",LIBERTY LIFE PROPERTIES,"Electricity Non-Residential, Rates Taxes Non-Residential, Rental Payments - non residential, Waste Disposal, Water Non-Residential"
FCO,FCO,25/09/2013,4443990,"30,703",LIBERTY LIFE PROPERTIES,"Electricity Non-Residential, Rates Taxes Non-Residential, Rental Payments - non residential, Waste Disposal, Water Non-Residential"
FCO,FCO,25/09/2013,4438639,"30,770.31",THE INSTITUTE FOR THE FUTURE OF STATE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/09/2013,4440820,"30,983.73",PRIVAT BISAMAZA,Rental Payments - residential
FCO,FCO,05/09/2013,4425624,"31,258",IOM INTERNATIONAL ORGANIZATION FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/09/2013,4439867,"31,346.17",NCDIEL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/09/2013,4438971,"31,440.31",INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Rematching / Reinstatement, Residential Property Services, Waste Disposal"
FCO,FCO,11/09/2013,4425988,"31,514.08",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,20/09/2013,4440618,"31,515.55",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Property Maintenance Overseas Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,17/09/2013,4439554,"31,565.52",FONDO DE PENSIONES SKANDIA,Local Staff Pension Contributions
FCO,FCO,17/09/2013,4437458,"31,583.20",MR HISHAM AL KOTOB,Rental Payments - non residential
FCO,FCO,12/09/2013,4431602,"31,831.53",SWAAT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/09/2013,4422456,"31,858.52",N A MOVING SERVICES LTD,Unaccompanied Air Freight
FCO,FCO,27/09/2013,4450807,"31,893.20",FOUNDATION FOR ACADEMIC EXCELLANCE AND ACCESS (FAEA),Programme Spend (Oracle Projects Control Account)
