Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Descriptions,,,,,
Cabinet Office,CABINET OFFICE,01/04/2010,Other Staff Related Costs,CIVIL SERVICE CAPABILITY GROUP,PARITY SOLUTIONS LTD,3000009169,"75,416.35",Fast Stream Recruitment,,,,,
Cabinet Office,CABINET OFFICE,01/04/2010,Consultancy,CIVIL SERVICE PENSIONS,DELOITTE MCS LTD,3000009144,"31,530.25",Professional Services: Programme support work stream February 2010,,,,,
Cabinet Office,CABINET OFFICE,01/04/2010,Supplies and Services,CO SHARED SERVICES,DWP NORCROSS,3000009146,"133,333.33","Provision of Accountancy Services, Employee Services, Civil Service Pensions and Purchase to Pay as per the Service Level Agreement",,,,,
Cabinet Office,CABINET OFFICE,01/04/2010,Agency and Temporary Staff,COMMUNICATION GROUP,CENTRAL OFFICE OF INFORMATION,3000009141,"118,843.03",Digital Engagement innovation projects for 2009-10 including engagement activity and data.gov.uk,,,,,
Cabinet Office,CABINET OFFICE,01/04/2010,Resource Grants to Central Government Bodies,OFFICE FOR CIVIL SOCIETY,DEPARTMENT OF ENERGY & CLIMATE CHANGE,3000009145,"25,000.00",Social enterprise action research programme,,,,,
Cabinet Office,CABINET OFFICE,01/04/2010,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,IMPROVEMENT & DEVELOPMENT AGENCY,3000009157,"171,277.00",National Programme for Third Sector Commissioning - to provide training for commissioners of public services to better engage with civil society organisations,,,,,
Cabinet Office,CABINET OFFICE,06/04/2010,IT Costs,PRIME MINISTER'S OFFICE,BYTES SOFTWARE SERVICES,3000009191,"52,298.20",IT Licences,,,,,
Cabinet Office,CABINET OFFICE,07/04/2010,IT Hardware,PRIME MINISTER'S OFFICE,CCS MEDIA LTD,3000009221,"30,795.29",IT Hardware,,,,,
Cabinet Office,CABINET OFFICE,08/04/2010,Consultancy,CIVIL SERVICE PENSIONS,PRICEWATERHOUSE COOPERS LLP,3000009257,"41,433.61",Professional Services January and February 2010,,,,,
Cabinet Office,CABINET OFFICE,08/04/2010,Land and Buildings,ESTATE MANAGEMENT,AIRSCAPE LTD,3000028,"284,812.22",Rent charges for Cabinet Office Estate,,,,,
Cabinet Office,CABINET OFFICE,08/04/2010,Hire of Plant and Machines,IT AND TELECOMS BRANCH,FUJITSU SERVICES LTD,3000009254,"63,920.00",Information Communication Technology Fujitsu IT contract service charge,,,,,
Cabinet Office,CABINET OFFICE,08/04/2010,Capital grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000009250,"4,000,000.00",Capital grants for the Community Assets Fund - providing investment to refurbish Local Authority assets before transfer into the community,,,,,
Cabinet Office,CABINET OFFICE,09/04/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CHARITY TRUSTEE NETWORKS,3000009275,"31,519.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,09/04/2010,Capital grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000009271,"34,036.00",Investment in the risk capital fund for social enterprise,,,,,
