Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description
Cabinet Office,Cabinet Office,12/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,CHARITIES EVALUATION SERVICES,3000010044,"51,604.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Cabinet Office,12/05/2010,GRANT FUND MANAGEMENT SERVICES,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000010046,"55,727.36",Grassroots Grants programme - management fee
Cabinet Office,Cabinet Office,12/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,DEVELOPMENT TRUSTS ASSOCIATION,3000010048,"48,541.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Cabinet Office,12/05/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,INSTITUTE OF FUNDRAISING,3000010053,"89,767.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Cabinet Office,12/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,MEDIA TRUST,3000010054,"150,000.00",1st Instalment Community Channel Project Grant 2010/11
Cabinet Office,Buying Solutions,12/05/2010,WDHS Cost of Heat,WDHS,COFELY,PINDOH 29494,"95,214.22",Whitehall heating systems management
Cabinet Office,Buying Solutions,12/05/2010,WDHS Cost Elec Gen,WDHS,COFELY,PINDOH 29494,"53,626.02",Whitehall heating systems management
Cabinet Office,Cabinet Office,13/05/2010,Consultancy,EMERGENCY PLANNING COLLEGE,KEROSS CONSULTING LTD,3000010091,"41,178.00",Professional Services : Jan - Mar 2010
Cabinet Office,Cabinet Office,13/05/2010,Other Staff Related Costs,ERG - CIVIL SERVICE CAPABILITY GROUP,PARITY SOLUTIONS LTD,3000010094,"87,715.00",Faststream recruitment
Cabinet Office,Cabinet Office,13/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,CHURCH URBAN FUND,3000010076,"30,179.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Cabinet Office,13/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,DEVELOPMENT TRUSTS ASSOCIATION,3000010082,"75,000.00",1st Instalment Community Alliance Project Grant 10/11 
Cabinet Office,Cabinet Office,13/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,FOYER FEDERATION,3000010087,"39,398.00",1st Instalment 2010/11 Stratgic Grant 
Cabinet Office,Cabinet Office,13/05/2010,Supplies and Services,FINANCIAL MANAGEMENT,HOUSE OF COMMONS,3000010089,"95,161.00",Public Duty Cost Allowance (PCDA) for Ex Prime Ministers
Cabinet Office,Cabinet Office,13/05/2010,Assets Under Construction,PRIME MINISTERS OFFICE,HEWLETT PACKARD LTD,3000010088,"40,116.97",Electrical resilience works
Cabinet Office,Cabinet Office,13/05/2010,Consultancy,SCHEME MANAGEMENT EXECUTIVE,DELOITTE MCS LTD,3000010081,"188,171.00",Phase 2 DATA Centre Consolidation - FEB 2010
Cabinet Office,Cabinet Office,13/05/2010,Consultancy,SCHEME MANAGEMENT EXECUTIVE,PRICEWATERHOUSE COOPERS LLP,3000010096,"118,053.05",Professional Services from PWC to 28/02/10
Cabinet Office,Cabinet Office,14/05/2010,Other Staff Related Costs,ERG - GOVERNMENT CIO,GARTNER GROUP UK LTD,3000010125,"51,400.00",Gartner for IT Executives CIO signature EMEA
Cabinet Office,Cabinet Office,14/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,SOCIAL ENTERPRISE MARK COMPANY,3000010135,"37,500.00",1st Instalment 2010/11 Social Enterprise Mark Project Grant 
Cabinet Office,Cabinet Office,14/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,SOCIAL FIRMS UK,3000010136,"41,333.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Cabinet Office,14/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,THIRD SECTOR EUROPEAN NETWORK,3000010143,"28,104.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Cabinet Office,14/05/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,V,3000010146,"2,711,000.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Cabinet Office,14/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,WOMENS RESOURCE CENTRE,3000010148,"65,664.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Cabinet Office,14/05/2010,Freehold Non Residential Buildings,ESTATE MANAGEMENT,ECOVERT FM LTD,3000010119,"39,646.26",Facilities Management : 70 Whitehall Refurbishment Projects Phrase 2
Cabinet Office,Cabinet Office,17/05/2010,Supplies and Services,CENTRAL BUDGETS,THE TREASURY SOLICITORS,100825,"30,607.34",Treasury  Solicitors Professional work to 30/11/08
Cabinet Office,Cabinet Office,17/05/2010,Grants-in-Aid to NDPB's,ERG - OFFICE FOR CIVIL SOCIETY,CAPACITY BUILDERS UK LTD,3000010164,"300,000.00",Grant-in-aid payment to Capacitybuilders
Cabinet Office,Cabinet Office,17/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,V,3000010181,"8,188,000.00",v project grants
Cabinet Office,Buying Solutions,17/05/2010,Legal Fees,Legal Services,Denton Wilde Sapte L,PINDOH 29433,"28,534.00",Energy procurement legal contract
Cabinet Office,Buying Solutions,17/05/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 17466,"564,448.59",Government Managed Telecoms Contract
