Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Descriptions,
Cabinet Office,CABINET OFFICE,04/05/2010,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000009886,"25,196.72",High Integrity Telecoms System project,
Cabinet Office,CABINET OFFICE,04/05/2010,Grants-in-Aid to NDPB's,OFFICE OF THE THIRD SECTOR NDPBS,CAPACITY BUILDERS UK LTD,3000009878,"400,000.00",Capacitybuilders grant-in-aid - to build sector support services for civil society organisations,
Cabinet Office,CABINET OFFICE,05/05/2010,Other Staff Related Costs,COMMUNICATION GROUP,CENTRAL OFFICE OF INFORMATION,3000009903,"32,519.59",Placement of communication staff in the Cabinet Office,
Cabinet Office,CABINET OFFICE,05/05/2010,Other Staff Related Costs,COMMUNICATION GROUP,NATIONAL SCHOOL OF GOVERNMENT,3000009917,"34,042.56",Diagnosis and design of an integrated learning and development framework for Government Communications,
Cabinet Office,CABINET OFFICE,05/05/2010,Consultancy,GOVERNMENT CIO,DLA PIPER UK,3000009910,"55,979.06",Provision of legal advice to PSN Programme.  This expenditure relates to costs incurred in the financial year 2009/10.,
Cabinet Office,CABINET OFFICE,05/05/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUTHNET UK,3000009925,"200,000.00",Olympics volunteering project grant,
Cabinet Office,CABINET OFFICE,05/05/2010,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY SERVICE VOLUNTEERS CVS,3000009904,"367,933.00",First payment Strategic grant 2010-11,
Cabinet Office,CABINET OFFICE,06/05/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009941,"43,116.00",Facilities Management services ,
Cabinet Office,CABINET OFFICE,06/05/2010,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,CABLE & WIRELESS PLC,3000009937,"176,419.20",High Integrity Telecoms System project ,
Cabinet Office,CABINET OFFICE,06/05/2010,Resource Grants to Local Authorities,INTELLIGENCE SECURITY AND RESILIENCE,LONDON FIRE EMERGENCY PLANNING BODY,1000220,"606,000.00",Contribution to the costs of supporting the Local Authorities in fulfilling their civil contingencies functions in London,
Cabinet Office,Capacity Builders,06/05/2010,Grant,Programmes,Pendle Community Network Limited,2165,"35,745.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,06/05/2010,Grant,Programmes,Social Enterprise South East,2287,"31,250.00",SEP - Social Enterprise Programme,
Cabinet Office,CABINET OFFICE,07/05/2010,Consultancy,GOVERNMENT CIO,DELOITTE MCS LTD,100814,"71,255.00",Consultancy support to the G-Cloud Programme ,
Cabinet Office,CABINET OFFICE,07/05/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CITIZENSHIP FOUNDATION,3000009952,"40,000.00",Promoting giving project grant - supporting giving in schools,
Cabinet Office,CABINET OFFICE,07/05/2010,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUTH ACTION NETWORK,3000009960,"52,533.00",First payment Strategic grant 2010-11,
Cabinet Office,CABINET OFFICE,07/05/2010,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,CITIZENSHIP FOUNDATION,3000009952,"70,033.00",First payment Strategic grant 2010-11,
Cabinet Office,CABINET OFFICE,07/05/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUTHNET UK,3000009961,"200,000.00",Olympics volunteering project grant,
Cabinet Office,Capacity Builders,07/05/2010,Programme Costs,Programmes,Economic Research Services Ltd,1192,"42,240.00",Neighbourhood Watch Network - Project Evaluation,
Cabinet Office,CABINET OFFICE,10/05/2010,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPARTMENT,100819,"27,106.32",Legal advice provided by in-house legal,
Cabinet Office,CABINET OFFICE,10/05/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009976,"140,592.21",Facilities Management services ,
Cabinet Office,CABINET OFFICE,10/05/2010,Accommodation and Utilities,PRIME MINISTER'S OFFICE,ECOVERT FM LTD,3000009976,"37,808.14",Facilities Management services,
Cabinet Office,CABINET OFFICE,10/05/2010,Assets Under Construction,PRIME MINISTER'S OFFICE,ECOVERT FM LTD,3000009976,"35,748.64",Building Renovation,
