Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) 
FCO,FCO,08-Apr-13,Information Systems Maintenance,DG CHANGE & DELIVERY,3M UNITED KINGDOM PLC,1072887,"61,687.50"
FCO,FCO,08-Apr-13,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,3M UNITED KINGDOM PLC,1072887,"12,337.50"
FCO,FCO,04-Apr-13,Non-Capital Expenditure Re: IT Projects (Oracle Projects Control Account),DG FINANCE,BRAVOSOLUTION UK LTD,1072568,"27,426.00"
FCO,FCO,04-Apr-13,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BRAVOSOLUTION UK LTD,1072568,"5,485.20"
FCO,FCO,19-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",DG CHANGE & DELIVERY,TSUNAMI AXIS LTD,1073990,"32,745.23"
FCO,FCO,19-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",DG CHANGE & DELIVERY,TSUNAMI AXIS LTD,1073990,"6,549.05"
FCO,FCO,08-Apr-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,MERCYCORPS,1072925,"99,044.00"
FCO,FCO,08-Apr-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,MERCYCORPS,1072925,"-99,044.00"
FCO,FCO,08-Apr-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,MERCYCORPS,1072925,"94,044.00"
FCO,FCO,30-Apr-13,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ALBANY ASSOCIATES INTERNATIONAL LTD,1074695,"81,465.00"
FCO,FCO,30-Apr-13,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ALBANY ASSOCIATES INTERNATIONAL LTD,1074695,"16,293.00"
FCO,FCO,19-Apr-13,Programme Spend (Oracle Projects Control Account),DG POLITICAL,NON VIOLENCE INTERNATIONAL WASHINGTON,2000307,"25,224.89"
FCO,FCO,26-Apr-13,Language Tuition: Optional: Staff,DG CHANGE & DELIVERY,ROSETTA STONE LTD,1074618,"151,500.00"
FCO,FCO,26-Apr-13,Language Tuition: Optional: Spouses & Partners,DG CHANGE & DELIVERY,ROSETTA STONE LTD,1074618,"151,500.00"
FCO,FCO,26-Apr-13,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ROSETTA STONE LTD,1074618,"60,600.00"
FCO,FCO,17-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,KBC VERZEKERINGEN NV,1020063,"27,884.19"
FCO,FCO,12-Apr-13,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,BACTEC INTERNATIONAL LTD,1073433,"599,075.00"
FCO,FCO,10-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1073083,"59,237.50"
FCO,FCO,10-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1073083,"53,012.00"
FCO,FCO,10-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1073083,"34,042.00"
FCO,FCO,10-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1073083,"12,479.50"
FCO,FCO,10-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1073083,"11,847.50"
FCO,FCO,10-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1073083,"10,602.40"
FCO,FCO,10-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1073083,"6,808.40"
FCO,FCO,10-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1073083,"2,495.90"
FCO,FCO,25-Apr-13,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000574,"39,700.00"
FCO,FCO,25-Apr-13,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000574,794
FCO,FCO,25-Apr-13,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000574,158.8
FCO,FCO,03-Apr-13,Construction Project more than £10k,#N/A,SG ELECTRICAL SOLUTIONS,1072534,"42,231.86"
FCO,FCO,05-Apr-13,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ABUJA METROPOLITAN MANAGEMENT COUNCIL,700005271,"36,228.96"
FCO,FCO,10-Apr-13,Inward visits to the UK and UK Conferences,#N/A,M INTEGRATED SOLUTIONS,1073146,"125,000.00"
FCO,FCO,10-Apr-13,Inward visits to the UK and UK Conferences,#N/A,M INTEGRATED SOLUTIONS,1073146,"25,000.00"
FCO,FCO,18-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1073654,"24,709.00"
FCO,FCO,18-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1073654,"4,941.80"
FCO,FCO,25-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1074421,"27,516.00"
FCO,FCO,25-Apr-13,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1074421,"5,503.20"
FCO,FCO,12-Apr-13,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1073478,"38,322.70"
FCO,FCO,12-Apr-13,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1073478,"-38,322.70"
FCO,FCO,12-Apr-13,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1073478,"6,382.70"
FCO,FCO,12-Apr-13,Temporary Staff (Admin and Clerical Only),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1073478,"31,940.00"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,"20,408.43"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,497.01
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,482.84
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,"1,398.77"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,42.86
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,148.24
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,119.04
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,553.55
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,"29,905.36"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,"14,505.82"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,839.26
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,267.85
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,357.13
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,"1,958.28"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,768.84
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,"1,773.76"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,"1,011.87"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,98.21
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,"1,547.57"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,803.55
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,386.89
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,145.83
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,409.81
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,285.71
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,473.2
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,"1,249.96"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,220.23
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000487,"4,517.72"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"7,182.70"
FCO,FCO,18-Apr-13,FM Interserve Office Support Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"1,172.17"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"3,666.87"
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"1,467.03"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"7,333.73"
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"1,164.89"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"38,944.64"
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"1,057.50"
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"1,601.72"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,127.77
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,231.34
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"2,924.16"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"14,374.29"
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,978.32
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,16.38
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,127.77
FCO,FCO,18-Apr-13,FM Interserve Office Support Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"3,406.81"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,405.82
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"56,622.34"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,207.18
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"1,214.94"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,414.36
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"10,386.08"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"2,200.37"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,7.22
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,"7,312.41"
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,165.21
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,754.9
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,812.15
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,958.3
FCO,FCO,18-Apr-13,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,7.22
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,350.38
FCO,FCO,18-Apr-13,FM Interserve Office Support Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,276.75
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,346.37
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,275.03
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,249.68
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,378.17
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,54.62
FCO,FCO,18-Apr-13,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000491,230.98
