Department,Entity,Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
FCO,FCO,10/11/2016,8336627,13150000,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/11/2016,8336577,9900000,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/11/2016,8427763,7739846.9,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/11/2016,8293828,6073787.62,HMRC HM REVENUE AND CUSTOMS,Multiple Accounts
FCO,FCO,24/11/2016,8487700,5469640,COMMONWEALTH SECRETARIAT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/11/2016,8293841,4686958.01,CABINET OFFICE,Multiple Accounts
FCO,FCO,10/11/2016,8336714,2750000,ISS FACILITY SERVICES LTD FCO OP - POE,FMCU POE Trust Account Debtor
FCO,FCO,01/11/2016,8336748,2505514.92,THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account
FCO,FCO,25/11/2016,8496731,2279784.72,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
FCO,FCO,16/11/2016,8400598,1802031.84,G4S RISK MANAGEMENT LTD,UK Guarding Contracts Overseas
FCO,FCO,09/11/2016,8319377,1505004,FCO SERVICES,Specialist Contractors
FCO,FCO,01/11/2016,8227432,1397358.06,CABINET OFFICE,Early Retirement Costs (Pre VES)
FCO,FCO,23/11/2016,8479425,1350752.97,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/11/2016,8402527,1276461,MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/11/2016,8380551,1246822.5,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/11/2016,8337434,1198516.62,THE ROYAL BANK OF SCOTLAND,Travel Package Advance Overseas Posting (Credit Card Payments Only)
FCO,FCO,03/11/2016,8260504,1173351.64,EUROPEAN BANK FOR CONSTRUCTION + DEVELOPMENT,Protocol - General VAT Refunds to Other Organisations
FCO,FCO,03/11/2016,8260507,1043576.57,EUROPEAN BANK FOR CONSTRUCTION + DEVELOPMENT,Protocol - General VAT Refunds to Other Organisations
FCO,FCO,04/11/2016,8283665,994595.09,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,21/11/2016,8457424,849037.14,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Implementation
FCO,FCO,17/11/2016,8427702,745000,HEDAYAH CENTRE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/11/2016,8259508,707258,NI CO OPERATION OVERSEAS NI CO LTD,Programme Spend (Oracle Projects Control Account)
