Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
28/10/2016,8212449,179292.17,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
28/10/2016,8213446,51186.85,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
31/10/2016,8219636,49796.87,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
28/10/2016,8213433,31191.75,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
28/10/2016,8213473,406037,BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
31/10/2016,8220435,259816,JAGUAR LAND ROVER LIMITED,Assets Under Construction (Oracle PA Control Account)
10/10/2016,7985429,240638.11,GILBERT ASH LIMITED,Assets Under Construction (Oracle PA Control Account)
19/10/2016,8084486,221509.96,ALEXANDER WOLF AND SON,Assets Under Construction (Oracle PA Control Account)
25/10/2016,8155458,143059.53,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
28/10/2016,8213450,118434,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
14/10/2016,8037641,117869.53,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
26/10/2016,8164467,90630,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
25/10/2016,8155456,82000,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
26/10/2016,8162470,81619.93,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
03/10/2016,7908582,80000,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
17/10/2016,8047595,72186.7,CORE M AND E SERVICES LIMITED,Assets Under Construction (Oracle PA Control Account)
13/10/2016,8031492,69542.02,KENT CONSTRUCTION LIMITED,Assets Under Construction (Oracle PA Control Account)
25/10/2016,8155454,65000,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
18/10/2016,8065510,53324.72,GLOBAL LUXURY IMPORTS LIMITED,Assets Under Construction (Oracle PA Control Account)
14/10/2016,8038449,51416.86,S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account)
03/10/2016,7908530,48883.5,TURNER AND TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account)
14/10/2016,8037780,47759.28,S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account)
20/10/2016,8097479,44276.94,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
11/10/2016,7993674,41023,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
10/10/2016,7977453,38683,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
21/10/2016,8114650,37432.6,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
