Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,28/04/2016,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,GU14 6YU,127189,Intangible single use military equipment asset  - in year capital addition,"£33,902,474.21"
Ministry of Defence,Ministry of Defence,21/04/2016,Purchase of buildings and military equipment ,Defence Equipment + Support,HM REVENUE & CUSTOMS,CF14 5XZ,125046,Fiscal asset under construction - capital in year addition,"£31,066,766.44"
Ministry of Defence,Ministry of Defence,18/04/2016,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,123253,Property dwellings private finance initiative - service concession arrangement service charge,"£24,052,763.51"
Ministry of Defence,Ministry of Defence,22/04/2016,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK DSG LTD,SP11 8HT,125281,Equipment support non-project costs,"£14,082,885.50"
Ministry of Defence,Ministry of Defence,27/04/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,WV1 4HY,126763,Estate core services charge,"£11,340,254.34"
Ministry of Defence,Ministry of Defence,11/04/2016,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,CITY OF WESTMINSTER,SW1E 6QY,121444,Rent buildings - non civil estate property and married quarter property,"£11,248,243.69"
Ministry of Defence,Ministry of Defence,29/04/2016,IT and communication services,JFC,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,PR1 1BA,127709,Information technology services,"£11,212,722.19"
Ministry of Defence,Ministry of Defence,19/04/2016,Government Procurement Card,Ministry of Defence,ROYAL BANK OF SCOTLAND PLC,,11754,Monthly GPC,"£11,162,914.50"
Ministry of Defence,Ministry of Defence,27/04/2016,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,126805,Utilities consumed - electricity,"£11,156,238.55"
Ministry of Defence,Ministry of Defence,25/04/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BUNDESKASSE HALLE,,6000014538,Works - estate management,"£10,513,490.29"
Ministry of Defence,Ministry of Defence,11/04/2016,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,WILTSHIRE COUNCIL,BA14 4DS,122000,Rent buildings - non civil estate property and married quarter property,"£8,908,365.45"
Ministry of Defence,Ministry of Defence,08/04/2016,Government Procurement Card,Ministry of Defence,ROYAL BANK OF SCOTLAND PLC,,11743,Monthly GPC,"£8,605,706.72"
Ministry of Defence,Ministry of Defence,28/04/2016,Government Procurement Card,Ministry of Defence,ROYAL BANK OF SCOTLAND PLC,,11762,Monthly GPC,"£8,562,500.84"
Ministry of Defence,Ministry of Defence,14/04/2016,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,ARGYLL & BUTE COUNCIL,PA28 6JU,122790,Rent buildings - non civil estate property and married quarter property,"£8,319,639.74"
Ministry of Defence,Ministry of Defence,22/04/2016,Fees for professional services,HO+CS,SERCO LIMITED,RG27 9UY,125713,Fees for professional services excluding legal fees,"£8,012,884.92"
Ministry of Defence,Ministry of Defence,06/04/2016,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,119867,Property non dwellings private finance initiative - service concession arrangement service charge,"£7,888,788.13"
Ministry of Defence,Ministry of Defence,19/04/2016,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES LIMITED,B75 7RL,124235,Fiscal asset under construction - capital in year addition,"£7,652,777.60"
Ministry of Defence,Ministry of Defence,08/04/2016,Government Procurement Card,Ministry of Defence,ROYAL BANK OF SCOTLAND PLC,,11742,Monthly GPC,"£7,394,324.63"
Ministry of Defence,Ministry of Defence,19/04/2016,Government Procurement Card,Ministry of Defence,Barclays Bank PLC,TS17 6YG,11755,Monthly GPC,"£7,115,375.18"
Ministry of Defence,Ministry of Defence,27/04/2016,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,LAND & PROPERTY SERVICES,BT1 3LP,126882,Rent buildings - non civil estate property and married quarter property,"£6,940,467.93"
Ministry of Defence,Ministry of Defence,26/04/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,126310,Estate core services charge,"£6,607,312.19"
Ministry of Defence,Ministry of Defence,14/04/2016,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,123097,Property dwellings private finance initiative - service concession arrangement service charge,"£6,527,244.55"
Ministry of Defence,Ministry of Defence,20/04/2016,Grants to NDPBs,DEFENCE INFRASTRUCTURE ORGANISATION,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,124560,Grant in aid to the council of reserve forces and cadet associations,"£6,437,850.91"
Ministry of Defence,Ministry of Defence,27/04/2016,Building maintenance and accommodation stores,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,WV1 4HY,126763,Works - civil estate,"£6,153,189.99"
Ministry of Defence,Ministry of Defence,25/04/2016,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,125908,Utilities consumed - gas,"£6,041,061.77"
Ministry of Defence,Ministry of Defence,20/04/2016,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,SKANSKA UK PLC,WD3 9SW,124848,Fees for professional services excluding legal fees,"£5,589,095.20"
Ministry of Defence,Ministry of Defence,05/04/2016,IT and communication services,JFC,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,PR1 1BA,119351,Information technology services,"£5,584,737.17"
Ministry of Defence,Ministry of Defence,25/04/2016,Estate management,Army TLB,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,125995,Estate + facilities management services - accommodation inventory + service,"£5,555,978.48"
Ministry of Defence,Ministry of Defence,26/04/2016,Fees for professional services,Army TLB,CAPITA BUSINESS SERVICES LTD,DL1 9HN,126306,Fees for professional services excluding legal fees,"£5,533,822.94"
Ministry of Defence,Ministry of Defence,28/04/2016,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS MARINE LTD,LA14 1AF,127188,Single use military equipment asset under construction - capital in year addition,"£5,459,991.60"
Ministry of Defence,Ministry of Defence,11/04/2016,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,WEST BERKSHIRE DISTRICT COUNCIL,RG14 5LD,121989,Rent buildings - non civil estate property and married quarter property,"£5,344,148.00"
Ministry of Defence,Ministry of Defence,11/04/2016,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,SOUTH GLOUCESTERSHIRE COUNCIL,BS37 5YU,121890,Rent buildings - non civil estate property and married quarter property,"£5,313,054.25"
Ministry of Defence,Ministry of Defence,22/04/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,125515,Estate core services charge,"£5,262,015.85"
Ministry of Defence,Ministry of Defence,22/04/2016,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,125297,Single use military equipment asset under construction - capital in year addition,"£4,818,885.00"
Ministry of Defence,Ministry of Defence,27/04/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,WV1 4HY,126763,Works services - excluding United States forces/NATO + married quarters,"£4,792,533.27"
Ministry of Defence,Ministry of Defence,11/04/2016,IT and communication services,JFC,HOME OFFICE,NP20 9BB,121579,Line + telephone rental including commercial charge for use of radio frequencies,"£4,780,245.51"
Ministry of Defence,Ministry of Defence,13/04/2016,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,PORTSMOUTH CITY COUNCIL,PO1 2BE,122627,Rent buildings - non civil estate property and married quarter property,"£4,706,590.00"
Ministry of Defence,Ministry of Defence,05/04/2016,Fees for professional services,DES Bespoke Trading Entity,PRICEWATERHOUSECOOPERS LLP,E14 9SQ,119558,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"£4,609,740.60"
Ministry of Defence,Ministry of Defence,12/04/2016,Rental of plant and machinery,Defence Equipment + Support,BOEING DEFENCE U K LTD,BS16 1EJ,122062,Plant + machinery operating lease,"£4,484,315.50"
Ministry of Defence,Ministry of Defence,05/04/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,119372,Works - estate management,"£4,326,313.33"
Ministry of Defence,Ministry of Defence,05/04/2016,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,MEARS LIMITED,RG24 8FW,119516,Rent land - non civil estate property + married quarter property,"£4,271,491.00"
Ministry of Defence,Ministry of Defence,22/04/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,125342,Works - estate management,"£4,236,371.55"
Ministry of Defence,Ministry of Defence,05/04/2016,IT and communication services,JFC,SOFTWARE BOX LIMITED,YO61 1ET,119601,Information technology services,"£4,024,158.27"
Ministry of Defence,Ministry of Defence,28/04/2016,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,127175,Fiscal asset under construction - capital in year addition,"£3,673,125.58"
Ministry of Defence,Ministry of Defence,22/04/2016,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,2000002998,Intangible single use military equipment asset  - in year capital addition,"£3,625,352.11"
