Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Discription,Contract Number,Project Code
,,31/12/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,422352,"109,734",NCCRCD Management,,
,,31/12/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,422351,"25,995",NCCRCD Management,,
,,01/12/2013,Outsourcing Contract,DG: PHD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,,12664682, -   ,Health Visitors data Collection for 2011/12 (ROCR costs for the current financial year),,
,,01/12/2013,Outsourcing Contract,DG: PHD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,,12664682,"33,403",Health Visitor Data Collection for 2011/12.,,
,,31/12/2013,Outsourcing Contract,DG: SFNHS,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,,12666217,"76,500",Services from HSCIC to modify Maternity Minimum Data Set to support payment system,,
,,02/12/2013,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,PUBLIC,DE55 4QJ,9044000026,"3,873,638",NHS Supply Chain - SFVS Distributor funding 2013/14,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,CARE QUALITY COMMISSION (CQC) CQC033,PUBLIC,,HAFS-16218,"7,000,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-16219,"25,000,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,HEALTH EDUCATION ENGLAND T1510,PUBLIC,LS1 4PL,HAFS-16220,"260,000,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,HEALTH RESEARCH AUTHORITY,PUBLIC,SE1 6LH,HAFS-16221,"860,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,HUMAN TISSUE AUTHORITY (HTA033),PUBLIC,,HAFS-16223,"193,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,PUBLIC,,HAFS-16224,"6,100,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-16225,"4,500,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-16226,"15,500,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16227,"3,053,630,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,NHS LITIGATION AUTHORITY,PUBLIC,LS1 4AD,HAFS-16228,"67,535,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,NHS TRUST DEVELOPMENT AUTHORITY,PUBLIC,SW1E 6QT,HAFS-16229,"2,500,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,PUBLIC HEALTH ENGLAND PHE033,PUBLIC,SP4 0JG,HAFS-16230,"60,000,000",,,
,,02/12/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical ,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16231,"4,565,671,000",,,
,,02/12/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical ,BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST,PUBLIC,B70 8NY,HAFS-16232,"250,000",,,
,,02/12/2013,Additions PDC Capital Support NHS T Permenant,DG: Central Technical ,DEVON PARTNERSHIP NHS TRUST,PUBLIC,EX2 5DW,HAFS-16233,"295,000",,,
,,02/12/2013,Additions PDC Capital Support NHS T Permenant,DG: Central Technical ,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,PUBLIC,SM5 1AA,HAFS-16234,"1,500,000",,,
,,02/12/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical ,MID YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,WF1 4TU,HAFS-16235,"500,000",,,
,,02/12/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical ,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,PUBLIC,MK6 5LD,HAFS-16236,"661,000",,,
